code,H,hm,mean,sd,n,se,t
IF0000,30,09:31,-1.9723116648442949,29.700931283827366,19,6.813860947118381,-0.28945581369376144
IF0000,30,09:32,-8.277231977163563,31.065895641858948,19,7.127005247023356,-1.1613899092638675
IF0000,30,09:33,-0.01135211395288774,31.001151393007024,19,7.112151897659094,-0.001596157410055344
IF0000,30,09:34,-15.36875422569426,27.605490201749195,19,6.333133793490893,-2.426721861061905
IF0000,30,09:35,-2.297390600355765,31.80280336801225,19,7.296063473813703,-0.31488084068913713
IF0000,30,09:36,-5.784088890013875,29.40222032743858,18,6.930169791824258,-0.8346244123538717
IF0000,30,09:37,-3.5934499968118043,33.531609772006604,19,7.6926788637061945,-0.4671259596920889
IF0000,30,09:38,3.9928976761028565,32.19472591331227,18,7.58836967058179,0.5261864997935355
IF0000,30,09:39,-1.4744467851461154,31.20170605007543,18,7.354312644199221,-0.20048736795397165
IF0000,30,09:40,-0.0961497773194743,32.421811933014254,19,7.438073778025801,-0.01292670390061581
IF0000,30,09:41,5.088700197822877,31.2288039884459,18,7.3606996895252,0.6913337607108819
IF0000,30,09:42,-1.845667195660913,29.81520433176227,19,6.8400769822719925,-0.269831348454774
IF0000,30,09:43,1.993026538437111,28.094543362187014,19,6.445330283194453,0.3092202340093767
IF0000,30,09:44,2.592435414940803,27.646947614159462,19,6.342644776183369,0.4087309799652344
IF0000,30,09:45,6.128024177810808,24.352413824489442,19,5.5868268890648585,1.0968702448621128
IF0000,30,09:46,-1.3758842766720847,26.3057251834195,19,6.034947247951502,-0.22798613146769656
IF0000,30,09:47,-0.941195125433929,21.869190387786556,18,5.154617607421179,-0.18259261833096532
IF0000,30,09:48,6.978484331662023,24.07093293333517,18,5.6735733022159645,1.229998091138858
IF0000,30,09:49,-0.527775925712318,24.4262917965822,18,5.75733218953487,-0.09167022300218472
IF0000,30,09:50,-0.0003127717350174545,23.272572191757874,19,5.3390942284277605,-5.858142254768905e-05
IF0000,30,09:51,-10.293252970390071,20.709730256013824,19,4.751137964944788,-2.1664815979532785
IF0000,30,09:52,-3.970370420723383,25.505515039049392,19,5.851366450430166,-0.6785373048087767
IF0000,30,09:53,5.262589763575639,25.387271805997333,19,5.824239592344299,0.9035668399516181
IF0000,30,09:54,1.684556741693682,23.051278664786924,19,5.288326011536915,0.3185425289626025
IF0000,30,09:55,3.3339714483261234,21.082513007369176,19,4.836660193421263,0.6893127313059806
IF0000,30,09:56,-2.4454831767205993,20.253289394790844,18,4.773746090796731,-0.5122775971338793
IF0000,30,09:57,0.8468730001584128,21.326900648863507,18,5.026798690167722,0.16847163619559158
IF0000,30,09:58,4.342125855022334,18.742443309858707,19,4.299811386458636,1.0098410057466611
IF0000,30,09:59,-1.0592581940441859,20.684719685039777,19,4.7454001464502555,-0.22321788708093507
