hm,mean,sd,n,se,t
09:31,-0.5828695688103096,46.15748648759579,5,20.642255491358437,-0.028236719047214535
09:32,-38.15161594653884,36.77288108691748,2,26.002353580325888,-1.467237026397696
09:33,5.235906684507402,7.404690244550314,2,5.235906684507402,1.0
09:34,-4.161793059975654,19.673374552425813,2,13.91117655484315,-0.29916902021682223
09:35,-35.07599799565827,,1,,
09:36,12.679069433468333,43.86037598146572,4,21.93018799073286,0.57815598474697
09:37,-26.065335134494468,28.29002306874341,5,12.651682933349493,-2.060226712272954
09:38,-7.612578321719005,,1,,
09:39,33.91879977480677,6.323066728860424,2,4.471083361872247,7.58625975620446
09:40,25.080198308544503,,1,,
09:41,45.29297098956594,,1,,
09:43,15.72968249344623,,1,,
09:44,30.649239184962617,28.758387820657408,5,12.861142018058398,2.3830884646112964
09:45,16.800922754750008,9.102498461472791,2,6.436438387847526,2.610282541734789
09:47,10.539875863684006,,1,,
09:51,-14.39167358297193,1.269936085628094,2,0.8979804178211253,-16.026712050015664
09:52,-32.407520881139725,56.516872676420256,2,39.96346392095346,-0.8109287259292847
09:53,28.1172892637853,,1,,
09:54,10.433405016861386,9.133197022228753,3,5.273053759345659,1.9786267110153797
09:57,-11.090163025396471,,1,,
09:58,30.9138294532418,20.222799668370328,2,14.299678780081722,2.1618548170677947
10:02,20.374667496746483,,1,,
10:03,10.13985508301731,65.51001781537538,2,46.32257783290346,0.21889660630706206
10:05,41.42641213681836,,1,,
10:06,-12.275061999673072,16.552543887066776,2,11.704416028432851,-1.0487547580207321
10:10,-6.141477304449272,,1,,
10:11,-30.59143439836897,,1,,
10:12,9.370973409862417,,1,,
10:14,36.41864634692963,,1,,
10:17,34.75531139637897,,1,,
10:20,-1.1611030478957647,,1,,
10:21,-25.479870901987432,,1,,
10:22,17.00487473075615,,1,,
10:29,16.2715016271499,,1,,
10:42,-3.32428389384529,,1,,
10:43,-6.748397255652038,,1,,
10:45,-11.193977072193999,31.08821645863864,2,21.982688672898618,-0.5092178322115122
10:51,22.166805209199225,,1,,
10:52,11.049723756906607,,1,,
10:57,22.184016416172145,,1,,
13:01,12.390875809631346,,1,,
13:02,33.67948358125175,,1,,
13:04,-15.542603386066913,,1,,
13:07,-2.2718914301754616,38.11416618264485,2,26.95078536701916,-0.08429778202143501
13:08,-20.847515392695943,26.210522095980984,2,18.533637912507995,-1.1248474525676557
13:13,6.4323723758839195,,1,,
13:20,-29.854109164647973,,1,,
13:21,17.487448524849867,,1,,
13:23,20.864727019820965,,1,,
13:26,8.605851979345955,,1,,
13:27,1.1150758251563642,,1,,
13:35,-17.99044697931374,24.89683130815007,3,14.374192257729145,-1.25157968230459
13:45,19.628736470192365,,1,,
14:00,-16.21308627678028,,1,,
14:01,-58.987200890372335,,1,,
14:02,11.816340310600435,,1,,
14:03,-21.214379909409125,,1,,
14:06,61.34252497517088,,1,,
14:11,-26.167808028505195,,1,,
14:12,-10.309868835557332,,1,,
14:14,-37.00223188065419,,1,,
14:17,-17.949293246578673,,1,,
14:20,-2.891008962127783,,1,,
14:21,-17.816874330526975,2.1157393284910277,2,1.496053626399078,-11.90924844947654
14:24,5.4802064161271025,8.225666673507058,3,4.749090868213434,1.1539485278766013
14:25,-1.7551141194829762,1.6590755433357312,2,1.1731435671934511,-1.4960778617077464
14:28,-17.58705592683785,,1,,
14:29,41.03428892636287,,1,,
