hm,mean,sd,n,se,t
09:31,4.45346888475337,57.39326035261532,80,6.41676157993957,0.6940368329526294
09:32,1.5405537867463057,52.888366621916376,75,6.107022541232607,0.25225939094624156
09:33,-10.80718630723518,60.597325247753865,64,7.574665655969233,-1.4267542355111806
09:34,11.451395037378498,49.45323612088949,68,5.997085766324646,1.909493291171749
09:35,-8.182281435298961,54.43633293725068,62,6.91342119645549,-1.183535792596293
09:36,-8.027411303391393,61.98991528774925,59,8.0703995631056,-0.9946733418366631
09:37,-10.417994510661211,53.11536932587187,49,7.587909903695981,-1.3729728796050582
09:38,5.084507644891109,49.68199569376312,54,6.760863269603933,0.7520500625638257
09:39,-13.898931294944026,53.14754975073014,44,8.012294593178115,-1.7347004822785663
09:40,-6.376664826489418,59.997173382123094,50,8.484881630104853,-0.7515325616169636
09:41,-5.089697572325522,61.40491234498871,46,9.053660393665126,-0.5621701445623914
09:42,4.3167908461986135,69.4916795722344,47,10.136403249978384,0.42587007834438895
09:43,-26.623575233332,86.08959908127635,30,15.71773846113036,-1.6938553405231642
09:44,12.476274805797365,84.40908538370667,36,14.068180897284444,0.8868435014370364
09:45,-1.8196378723186628,72.95674975413786,37,11.99401577667064,-0.1517121459734954
09:46,-19.1090602165261,67.83413042458497,40,10.72551776193066,-1.781644545343268
09:47,-11.893418754733922,68.95566252646583,52,9.56242988356782,-1.2437653294767368
09:48,19.504924725718684,65.7203165247547,38,10.661243143809244,1.8295169205520632
09:49,-0.1425820181239428,73.10578537354537,34,12.537538757294948,-0.011372408961924978
09:50,5.231632719702769,73.54416635001148,40,11.628353714217416,0.44990312887595674
09:51,-16.630369660948922,72.57301213365243,44,10.94079323423795,-1.520033264947015
09:52,-0.052496486500057025,87.5670781274772,22,18.669363785945844,-0.002811905488690299
09:53,-5.60937426266825,84.63590552411439,31,15.201057373968153,-0.3690121104518898
09:54,17.336804493876027,84.25884083566659,27,16.215621479359314,1.0691421550474556
09:55,-2.1442953946074548,87.21009604459563,26,17.103306981295926,-0.12537314549475392
09:56,14.720816281124831,57.200547666382185,30,10.443343419509004,1.4095884516854214
09:57,-4.239751066096116,89.22080293008057,24,18.212120135009307,-0.23279832521783161
09:58,-9.95131264089318,65.38503416201925,22,13.940136122278565,-0.7138605070713329
09:59,14.869516650691349,96.94021998427091,26,19.011541282760565,0.7821310450076369
10:00,24.090889774844516,69.46649537317808,46,10.242275965046487,2.3521031709220477
10:01,1.3442369362166746,40.934059999000155,43,6.242385627756585,0.2153402587369105
10:02,0.4507331112165022,46.65861061747224,37,7.670628334587429,0.05876091130424262
10:03,-3.4287730786923976,95.6569669705698,35,16.168978525920448,-0.21205873167533373
10:04,-21.293922097521566,90.96705450266079,40,14.383154213254178,-1.4804765200875805
10:05,4.569263798003343,37.30654817650628,35,6.3059575841217335,0.7245947561570429
10:06,-3.140294089977188,47.42203701459647,37,7.796134861156829,-0.4028014068385697
10:07,28.924882814242242,102.4138459703746,32,18.10438124326161,1.5976730950143898
