product,code,entry_date,exit_date,window_d,entry_basis_pct,fut_ret_pct,spot_ret_pct,carry_pct,ann_pct,exp_month
IC,IC1506,2015-05-15,2015-06-19,35,-2.0046120582823477,18.961980465745132,16.577254260557318,2.384726205187815,24.86928756838721,6
IC,IC1507,2015-06-19,2015-07-17,28,-2.1231152086374707,-20.572072072072068,-22.25841848981551,1.686346417743445,21.98273008844134,7
IC,IC1508,2015-07-17,2015-08-21,35,-0.9735533753001001,-1.4039910405212908,-2.363875813657479,0.9598847731361881,10.01022691984882,8
IC,IC1509,2015-08-21,2015-09-18,28,-6.968639315992195,-16.612231872797402,-22.423224667238053,5.810992794440651,75.75044178467276,9
IC,IC1510,2015-09-18,2015-10-16,28,-2.9964609514998966,19.706861063464842,16.119891715431866,3.5869693480329756,46.758707572572725,10
IC,IC1511,2015-10-16,2015-11-20,35,-2.8644874342841486,15.130992771795238,11.833079950880588,3.29791282091465,34.39251941810992,11
IC,IC1512,2015-11-20,2015-12-18,28,-4.639878637697898,3.4393894606723485,-1.3600726738785318,4.799462134550881,62.5644171111097,12
IC,IC1601,2015-12-18,2016-01-15,28,-2.740505391903436,-20.66483252310487,-22.8390170654848,2.174184542379931,28.342048498881244,1
IC,IC1602,2016-01-15,2016-02-19,35,-6.233691901082439,7.1520646319569,0.4725350571519904,6.67952957480491,69.65795128010835,2
IC,IC1603,2016-02-19,2016-03-18,28,-3.3605490276239527,3.059918859877242,-0.40346024123839586,3.463379101115638,45.14762042525742,3
IC,IC1604,2016-03-18,2016-04-15,28,-2.4341006242965872,9.910683495413464,7.235346862282976,2.6753366331304873,34.87492396759385,4
IC,IC1605,2016-04-15,2016-05-20,35,-2.5065967199947248,-8.448814082965928,-10.743633106278573,2.294819023312644,23.93168410026043,5
IC,IC1606,2016-05-20,2016-06-17,28,-2.227596607107073,7.161860933342923,4.774726955078967,2.3871339782639556,31.11799650236942,6
IC,IC1607,2016-06-17,2016-07-15,28,-2.526336979131709,10.82710907651534,8.027242837012682,2.7998662395026575,36.49825633637393,7
IC,IC1608,2016-07-15,2016-08-19,35,-1.874615666519666,2.7001107770216803,0.7748784108625895,1.9252323661590909,20.077423247087662,8
IC,IC1609,2016-08-19,2016-09-19,31,-1.6028673481652167,-0.8644450012528337,-2.4534564427501238,1.58901144149729,18.709328262790674,9
IC,IC1610,2016-09-19,2016-10-21,32,-1.6839378238341882,3.6452006812558224,1.8998799443953107,1.7453207368605117,19.90756465481521,10
IC,IC1611,2016-10-21,2016-11-18,28,-0.838207504026709,3.4397961417002687,2.572756008290611,0.8670401334096578,11.302487453375898,11
IC,IC1612,2016-11-18,2016-12-16,28,-1.659908442817566,-2.9974795598450843,-4.607632586377052,1.6101530265319686,20.989494810148877,12
IC,IC1701,2016-12-16,2017-01-20,35,-1.7009518739622638,-1.3780542840564736,-3.0555661178498617,1.677511833793388,17.49405198098819,1
IC,IC1702,2017-01-20,2017-02-17,28,-0.5899753223618536,3.7987439994739303,3.1863570249554662,0.612386974518464,7.982901632115691,2
IC,IC1703,2017-02-17,2017-03-17,28,-1.5975938687366051,5.0659906647352315,3.3874628397480455,1.678527824987186,21.88080914715439,3
IC,IC1704,2017-03-17,2017-04-21,35,-1.803837463138141,-1.4751950078003229,-3.2524223507334082,1.7772273429330854,18.533942290587888,4
IC,IC1705,2017-04-21,2017-05-19,28,-0.8746817323891888,-4.7404236286380685,-5.573641741509694,0.8332181128716254,10.861593257076546,5
IC,IC1706,2017-05-19,2017-06-16,28,-0.8357592262184115,1.71756628787878,0.8674523429430092,0.8501139449357709,11.081842496484155,6
IC,IC1707,2017-06-16,2017-07-21,35,-0.9570801822724829,2.7798106620115393,1.796125462788245,0.9836851992232942,10.25843136332864,7
IC,IC1708,2017-07-21,2017-08-18,28,-1.3393301879243111,5.110905118188436,3.7031230351400657,1.40778208304837,18.351445011166252,8
IC,IC1709,2017-08-18,2017-09-15,28,-0.9978015609547095,5.447936881621218,4.3957757214218685,1.0521611601993497,13.715672266884381,9
IC,IC1710,2017-09-15,2017-10-20,35,-0.6198437492928915,-0.5878870673952541,-1.2040868354479928,0.6161997680527387,6.426083295407132,10
IC,IC1711,2017-10-20,2017-11-17,28,-0.29423126546928796,-1.4724349157733463,-1.7623338173567427,0.2898989015833964,3.77903925278356,11
IC,IC1712,2017-11-17,2017-12-15,28,-1.7135929497890063,-1.4126446960592065,-3.102030665930977,1.6893859698717706,22.02235282154272,12
IC,IC1801,2017-12-15,2018-01-19,35,-0.4374209009234511,1.1912357016271802,0.7486040867655586,0.4426316148616216,4.616015412128339,1
IC,IC1802,2018-01-19,2018-02-22,34,-0.7791827337946168,-5.863928112965333,-6.597420131381593,0.7334920184162597,7.87425255064514,2
IC,IC1803,2018-02-22,2018-03-16,22,-0.708421971308576,5.994506437768243,5.243618065783018,0.7508883719852255,12.457920717027605,3
IC,IC1804,2018-03-16,2018-04-20,35,-1.450880926697957,-2.8744699733754153,-4.28364576348601,1.409175790110595,14.695690382581919,4
IC,IC1805,2018-04-20,2018-05-18,28,-1.2301808890468182,2.244303580606477,0.986513697818836,1.257789882787641,16.39618954348175,5
IC,IC1806,2018-05-18,2018-06-15,28,0.12064343163538568,-8.239222118088085,-8.128518766756033,-0.11070335133205322,-1.4430972584356938,6
IC,IC1807,2018-06-15,2018-07-20,35,-0.8442627884199749,-5.130780267078694,-5.931725786948128,0.8009455198694337,8.352717564352666,7
IC,IC1808,2018-07-20,2018-08-17,28,-0.24158242303680424,-6.027754023167208,-6.25477445198015,0.2270204288129407,2.959373447025834,8
IC,IC1809,2018-08-17,2018-09-21,35,-2.0074207972600218,1.100464330941331,-0.9290474161644302,2.029511747105761,21.164908219817224,9
IC,IC1810,2018-09-21,2018-10-19,28,0.7861983157068448,-15.26761671983098,-14.601452149624027,-0.6661645702069507,-8.683931004483465,10
IC,IC1811,2018-10-19,2018-11-16,28,-0.25203448790063204,14.412312518380531,14.123954032429564,0.288358485950968,3.758958834717976,11
IC,IC1812,2018-11-16,2018-12-21,35,-0.442970731372939,-9.191445415035071,-9.593700733429278,0.4022553183942068,4.194948320396728,12
IC,IC1901,2018-12-21,2019-01-18,28,-0.34592238070417386,3.056585829767,2.7000900345922396,0.3564957951747605,4.647177329956699,1
IC,IC1902,2019-01-18,2019-02-15,28,0.14857332693513525,4.18981801428242,4.344616293233905,-0.15479827895148457,-2.0179061363318525,2
IC,IC1903,2019-02-15,2019-03-15,28,-0.44838686854393095,18.84577799493623,18.312889132588083,0.5328888623481465,6.946586955609766,3
IC,IC1904,2019-03-15,2019-04-19,35,-0.3840296011137657,8.426818744606601,8.010427665081355,0.4163910795252468,4.342364115049002,4
