date,product,ann_pct,pair
2015-04-16,IC,7.549825638268555,1-2
2015-04-17,IC,11.332449798598702,1-2
2015-04-20,IC,16.285523936423314,1-2
2015-04-21,IC,8.44617425917731,1-2
2015-04-22,IC,8.110227084952037,1-2
2015-04-23,IC,7.830326669917159,1-2
2015-04-24,IC,11.036061026352382,1-2
2015-04-27,IC,10.677718186250654,1-2
2015-04-28,IC,12.041931249778283,1-2
2015-04-29,IC,11.839966587195333,1-2
2015-04-30,IC,13.196234703047283,1-2
2015-05-04,IC,15.313763354218612,1-2
2015-05-05,IC,16.33324901399825,1-2
2015-05-06,IC,14.171183663179148,1-2
2015-05-07,IC,10.249668130297152,1-2
2015-05-08,IC,11.118650057425546,1-2
2015-05-11,IC,11.90203887130254,1-2
2015-05-12,IC,10.992067201752027,1-2
2015-05-18,IC,13.895817470527891,1-2
2015-05-19,IC,11.127837839545409,1-2
2015-05-20,IC,11.869964763043004,1-2
2015-05-21,IC,9.170013980391982,1-2
2015-05-22,IC,8.21448494275502,1-2
2015-05-25,IC,7.1542428234181346,1-2
2015-05-26,IC,6.218024024400548,1-2
2015-05-27,IC,-3.6956286956286957,1-2
2015-05-28,IC,-10.600670330762691,1-2
2015-05-29,IC,-6.280727630285153,1-2
2015-06-01,IC,0.3547905472133875,1-2
2015-06-02,IC,-7.098656294200892,1-2
2015-06-03,IC,-3.6527723605607085,1-2
2015-06-04,IC,-5.8503233133666726,1-2
2015-06-05,IC,0.524067968286992,1-2
2015-06-08,IC,9.012516856920495,1-2
2015-06-09,IC,11.97471066140306,1-2
2015-06-10,IC,16.166726337459217,1-2
2015-06-11,IC,14.635293302504856,1-2
2015-06-12,IC,3.1788847117793657,1-2
2015-06-15,IC,0.6969355204167101,1-2
2015-06-16,IC,15.184121472971695,1-2
2015-06-23,IC,2.9265741883942575,1-2
2015-06-24,IC,8.803923422223447,1-2
2015-06-25,IC,13.763002230937602,1-2
2015-06-26,IC,13.416102408285003,1-2
2015-06-29,IC,13.709635348740054,1-2
2015-06-30,IC,17.817710817784025,1-2
2015-07-01,IC,18.285327138985625,1-2
2015-07-02,IC,21.91249762221802,1-2
2015-07-03,IC,18.489866602788894,1-2
2015-07-06,IC,16.546055326469837,1-2
2015-07-07,IC,13.914708705079473,1-2
2015-07-08,IC,15.277095064510318,1-2
2015-07-09,IC,15.277237009769133,1-2
2015-07-10,IC,15.298135246890713,1-2
2015-07-13,IC,23.901158301158354,1-2
2015-07-14,IC,18.718162346827388,1-2
2015-07-20,IC,48.82823942974319,1-2
2015-07-21,IC,42.75435073627844,1-2
2015-07-22,IC,44.07190737123702,1-2
2015-07-23,IC,25.51671732522796,1-2
2015-07-24,IC,40.420819490586936,1-2
2015-07-27,IC,38.42420830795855,1-2
2015-07-28,IC,52.976962510036444,1-2
2015-07-29,IC,49.82920761576149,1-2
2015-07-30,IC,53.244519649487884,1-2
2015-07-31,IC,54.89688128772635,1-2
2015-08-03,IC,57.36376916224424,1-2
2015-08-04,IC,65.5826521095079,1-2
2015-08-05,IC,63.243297318927496,1-2
2015-08-06,IC,55.776239570705876,1-2
2015-08-07,IC,36.456852564006546,1-2
2015-08-10,IC,29.935878317924246,1-2
2015-08-11,IC,38.0535534997132,1-2
2015-08-12,IC,41.60936354317524,1-2
2015-08-13,IC,46.22341368309099,1-2
2015-08-14,IC,52.82129580456718,1-2
2015-08-17,IC,50.055592103009126,1-2
2015-08-18,IC,61.55491511253777,1-2
2015-08-24,IC,0.0,1-2
2015-08-25,IC,0.0,1-2
2015-08-26,IC,28.565886652897525,1-2
2015-08-27,IC,53.093039469922296,1-2
2015-08-28,IC,56.327947153052406,1-2
2015-08-31,IC,68.49515469170105,1-2
2015-09-01,IC,70.96528657777569,1-2
2015-09-02,IC,95.77047029632377,1-2
2015-09-07,IC,85.8849480787017,1-2
2015-09-08,IC,83.95132165726477,1-2
2015-09-09,IC,37.522844958879034,1-2
2015-09-10,IC,46.933187807700136,1-2
2015-09-11,IC,48.5237910596576,1-2
2015-09-14,IC,50.756119061365936,1-2
2015-09-15,IC,86.54477230545777,1-2
2015-09-21,IC,32.30612790497826,1-2
2015-09-22,IC,28.159609906821835,1-2
2015-09-23,IC,39.527941686914204,1-2
2015-09-24,IC,40.93537646761029,1-2
2015-09-25,IC,44.56879288777236,1-2
2015-09-28,IC,40.858074038852074,1-2
2015-09-29,IC,44.68599642290349,1-2
2015-09-30,IC,39.848120300751916,1-2
2015-10-08,IC,32.92355706102865,1-2
2015-10-09,IC,42.310494443026556,1-2
2015-10-12,IC,28.184456626894576,1-2
2015-10-13,IC,31.7468142703084,1-2
2015-10-19,IC,38.75374086788135,1-2
2015-10-20,IC,47.37175968151183,1-2
2015-10-21,IC,43.84059622572708,1-2
2015-10-22,IC,41.98427691041732,1-2
2015-10-23,IC,41.07116192751552,1-2
2015-10-26,IC,44.37522862737504,1-2
2015-10-27,IC,42.70871624336409,1-2
2015-10-28,IC,44.66275368085946,1-2
2015-10-29,IC,52.17484172015686,1-2
2015-10-30,IC,50.790052903570334,1-2
2015-11-02,IC,53.393035535892786,1-2
2015-11-03,IC,55.45374808132056,1-2
2015-11-04,IC,50.531057720480575,1-2
2015-11-05,IC,51.587476724293744,1-2
2015-11-06,IC,40.80803041198391,1-2
2015-11-09,IC,33.416517234508895,1-2
2015-11-10,IC,42.56515181140195,1-2
2015-11-11,IC,40.25237639802471,1-2
2015-11-12,IC,47.50975735592386,1-2
2015-11-13,IC,56.835422822007494,1-2
2015-11-16,IC,47.402597402597394,1-2
2015-11-17,IC,53.88383002207512,1-2
2015-11-23,IC,37.32926376177029,1-2
2015-11-24,IC,43.07986330594184,1-2
2015-11-25,IC,43.4229616017023,1-2
2015-11-26,IC,40.65629400719765,1-2
2015-11-27,IC,46.83763786822239,1-2
2015-11-30,IC,46.27031924753841,1-2
2015-12-01,IC,42.196662575470214,1-2
2015-12-02,IC,41.80151079428082,1-2
2015-12-03,IC,45.49425886219268,1-2
2015-12-04,IC,47.0400793088798,1-2
2015-12-07,IC,47.5317944496897,1-2
2015-12-08,IC,51.698973282333014,1-2
2015-12-09,IC,49.2975553198313,1-2
2015-12-10,IC,50.538322074309626,1-2
2015-12-11,IC,54.96240601503752,1-2
2015-12-14,IC,47.66277478282733,1-2
2015-12-15,IC,49.68859668341022,1-2
2015-12-21,IC,28.387633493267302,1-2
2015-12-22,IC,26.646723788585113,1-2
2015-12-23,IC,25.324622231220552,1-2
2015-12-24,IC,26.109031252308256,1-2
2015-12-25,IC,28.983932824049813,1-2
2015-12-28,IC,31.805907104970387,1-2
2015-12-29,IC,30.352287410719264,1-2
2015-12-30,IC,30.64116368762108,1-2
2015-12-31,IC,29.444897502318618,1-2
2016-01-04,IC,30.607116144887247,1-2
2016-01-05,IC,26.40023439276525,1-2
2016-01-06,IC,28.649403128459827,1-2
2016-01-07,IC,5.439273860326492,1-2
2016-01-08,IC,36.70630427448395,1-2
2016-01-11,IC,43.98295739348364,1-2
2016-01-12,IC,45.58155060526041,1-2
2016-01-18,IC,51.043029699563526,1-2
2016-01-19,IC,46.02768533809636,1-2
2016-01-20,IC,49.43637777427662,1-2
2016-01-21,IC,45.122712958384305,1-2
2016-01-22,IC,49.63489041580927,1-2
2016-01-25,IC,47.03848313173072,1-2
2016-01-26,IC,49.91761410446527,1-2
2016-01-27,IC,48.7622789783889,1-2
2016-01-28,IC,46.35037020030994,1-2
2016-01-29,IC,42.89659468438543,1-2
2016-02-01,IC,42.53525147158261,1-2
2016-02-02,IC,43.25569029003257,1-2
2016-02-03,IC,47.35839505515004,1-2
2016-02-04,IC,40.15853191841458,1-2
2016-02-05,IC,37.97505627388368,1-2
2016-02-15,IC,40.77228884254423,1-2
2016-02-16,IC,39.97984577637575,1-2
2016-02-22,IC,37.8012402759062,1-2
2016-02-23,IC,43.79815586712138,1-2
2016-02-24,IC,44.36753781010321,1-2
2016-02-25,IC,50.778654485049834,1-2
2016-02-26,IC,44.84946758602627,1-2
2016-02-29,IC,40.19217265652661,1-2
2016-03-01,IC,48.47009637188199,1-2
2016-03-02,IC,44.38675429459692,1-2
2016-03-03,IC,43.46039356181349,1-2
2016-03-04,IC,45.582189366121895,1-2
2016-03-07,IC,46.02372757696399,1-2
2016-03-08,IC,45.46843416537399,1-2
2016-03-09,IC,43.34626016478355,1-2
2016-03-10,IC,50.12385424513523,1-2
2016-03-11,IC,45.095070634040866,1-2
2016-03-14,IC,44.24404936820457,1-2
2016-03-15,IC,50.061236582178616,1-2
2016-03-21,IC,22.67705758987029,1-2
2016-03-22,IC,25.622138951781142,1-2
2016-03-23,IC,26.273602323921093,1-2
2016-03-24,IC,26.76151693563752,1-2
2016-03-25,IC,28.383229964793355,1-2
2016-03-28,IC,27.035007381828198,1-2
2016-03-29,IC,34.197527717599115,1-2
2016-03-30,IC,31.476284990760483,1-2
2016-03-31,IC,31.113022737492358,1-2
2016-04-01,IC,32.1724174997312,1-2
2016-04-05,IC,28.415443041575568,1-2
2016-04-06,IC,30.244236583522238,1-2
2016-04-07,IC,32.41898125993001,1-2
2016-04-08,IC,33.15574027376647,1-2
2016-04-11,IC,29.221314370482,1-2
2016-04-12,IC,35.06824807845215,1-2
2016-04-18,IC,39.8175083719513,1-2
2016-04-19,IC,37.44455200913189,1-2
2016-04-20,IC,41.76892448535893,1-2
2016-04-21,IC,42.55781414860161,1-2
2016-04-22,IC,39.6775070205635,1-2
2016-04-25,IC,40.349519824948715,1-2
2016-04-26,IC,36.478504551624965,1-2
2016-04-27,IC,38.10622543514888,1-2
2016-04-28,IC,37.99534210804894,1-2
2016-04-29,IC,34.758851722666975,1-2
2016-05-03,IC,34.29872539334506,1-2
2016-05-04,IC,32.934280012948925,1-2
2016-05-05,IC,34.06917932316985,1-2
2016-05-06,IC,34.82494731230471,1-2
2016-05-09,IC,37.72759422309825,1-2
2016-05-10,IC,37.50260118614088,1-2
2016-05-11,IC,38.40051625687682,1-2
2016-05-12,IC,37.36652498444951,1-2
2016-05-13,IC,40.66534777176173,1-2
2016-05-16,IC,38.55096726190481,1-2
2016-05-17,IC,40.08270569410605,1-2
2016-05-23,IC,31.073504983388663,1-2
2016-05-24,IC,31.965481723926985,1-2
2016-05-25,IC,32.364465688883826,1-2
2016-05-26,IC,32.135964501597144,1-2
2016-05-27,IC,28.483539617436886,1-2
2016-05-30,IC,21.58606213700777,1-2
2016-05-31,IC,17.576043489738694,1-2
2016-06-01,IC,16.830095015721454,1-2
2016-06-02,IC,19.79092885230691,1-2
2016-06-03,IC,22.979766182695197,1-2
2016-06-06,IC,21.560567461397802,1-2
2016-06-07,IC,22.57037541606895,1-2
2016-06-08,IC,21.211372782612486,1-2
2016-06-13,IC,24.560713016098727,1-2
2016-06-14,IC,23.086829952294458,1-2
2016-06-20,IC,19.06602590890096,1-2
2016-06-21,IC,19.378220594679917,1-2
2016-06-22,IC,19.554692683885875,1-2
2016-06-23,IC,17.28492501973165,1-2
2016-06-24,IC,15.5088011143569,1-2
2016-06-27,IC,14.96686553821631,1-2
2016-06-28,IC,15.426362173714669,1-2
2016-06-29,IC,16.137663819849685,1-2
2016-06-30,IC,17.66485178463403,1-2
2016-07-01,IC,17.235857585258387,1-2
2016-07-04,IC,17.34997029114679,1-2
2016-07-05,IC,16.63788463788457,1-2
2016-07-06,IC,17.021792557979023,1-2
2016-07-07,IC,18.456451978866134,1-2
2016-07-08,IC,17.638247351920867,1-2
2016-07-11,IC,16.6867996060138,1-2
2016-07-12,IC,19.313404737534757,1-2
2016-07-18,IC,19.28943306386207,1-2
2016-07-19,IC,19.966613358213003,1-2
2016-07-20,IC,22.05435752941679,1-2
2016-07-21,IC,21.895575269164322,1-2
2016-07-22,IC,21.678035270605005,1-2
2016-07-25,IC,21.732045601258484,1-2
2016-07-26,IC,22.40737503470537,1-2
2016-07-27,IC,20.60758638786247,1-2
2016-07-28,IC,20.09675062718662,1-2
2016-07-29,IC,19.25502608665752,1-2
2016-08-01,IC,19.780549833339208,1-2
2016-08-02,IC,20.039672694874085,1-2
2016-08-03,IC,18.499448603038324,1-2
2016-08-04,IC,19.374517990585893,1-2
2016-08-05,IC,20.223074599109488,1-2
2016-08-08,IC,19.734783822884058,1-2
2016-08-09,IC,18.806188269018794,1-2
2016-08-10,IC,19.613500056344144,1-2
2016-08-11,IC,20.139711870743184,1-2
2016-08-12,IC,17.48340242887193,1-2
2016-08-15,IC,10.796566322926218,1-2
2016-08-16,IC,14.618531572852419,1-2
2016-08-22,IC,15.733768004362748,1-2
2016-08-23,IC,14.798564501107968,1-2
2016-08-24,IC,14.562882943572863,1-2
2016-08-25,IC,16.472050366684908,1-2
2016-08-26,IC,15.801599283107858,1-2
2016-08-29,IC,15.939503205128172,1-2
2016-08-30,IC,17.75078212738649,1-2
2016-08-31,IC,15.825301301109334,1-2
2016-09-01,IC,17.48508295333272,1-2
2016-09-02,IC,14.963124818249346,1-2
2016-09-05,IC,16.09716060693738,1-2
2016-09-06,IC,14.588472597574103,1-2
2016-09-07,IC,14.918354081311064,1-2
2016-09-08,IC,15.71010455143054,1-2
2016-09-09,IC,17.611666929257918,1-2
2016-09-12,IC,17.964056665043028,1-2
2016-09-13,IC,19.35699912723041,1-2
2016-09-14,IC,20.858540130574664,1-2
2016-09-20,IC,20.356326130582985,1-2
2016-09-21,IC,21.28868398916213,1-2
2016-09-22,IC,20.23617418566584,1-2
2016-09-23,IC,18.641042039541226,1-2
2016-09-26,IC,18.116407479901152,1-2
2016-09-27,IC,18.114564007421226,1-2
2016-09-28,IC,18.732031972059207,1-2
2016-09-29,IC,16.979045107462163,1-2
2016-09-30,IC,16.25077828849785,1-2
2016-10-10,IC,16.012076796036485,1-2
2016-10-11,IC,15.696814944227963,1-2
2016-10-12,IC,16.2516598776176,1-2
2016-10-13,IC,17.33407406743671,1-2
2016-10-14,IC,17.15494281685728,1-2
2016-10-17,IC,19.37629890665944,1-2
2016-10-18,IC,17.011225506771638,1-2
2016-10-24,IC,15.779860583582748,1-2
2016-10-25,IC,15.041990599452006,1-2
2016-10-26,IC,16.52414486921529,1-2
2016-10-27,IC,15.523084292474158,1-2
2016-10-28,IC,13.601126681917213,1-2
2016-10-31,IC,14.814246931173505,1-2
2016-11-01,IC,14.639996961056875,1-2
2016-11-02,IC,15.457368718238282,1-2
2016-11-03,IC,15.206420576028137,1-2
2016-11-04,IC,16.366606579540406,1-2
2016-11-07,IC,16.185503962737705,1-2
2016-11-08,IC,17.232313468569384,1-2
2016-11-09,IC,15.361814193641642,1-2
2016-11-10,IC,17.563635877580225,1-2
2016-11-11,IC,14.703292639438553,1-2
2016-11-14,IC,17.083133742622618,1-2
2016-11-15,IC,16.516597128482097,1-2
2016-11-21,IC,13.472937000887283,1-2
2016-11-22,IC,14.952046907003643,1-2
2016-11-23,IC,14.371791419654691,1-2
2016-11-24,IC,14.20698318339039,1-2
2016-11-25,IC,11.856856746704256,1-2
2016-11-28,IC,13.743302131469001,1-2
2016-11-29,IC,15.037175214166334,1-2
2016-11-30,IC,12.866797162165664,1-2
2016-12-01,IC,13.762421594192745,1-2
2016-12-02,IC,12.799820164100256,1-2
2016-12-05,IC,14.703881110845693,1-2
2016-12-06,IC,14.733987196064119,1-2
2016-12-07,IC,14.337941532267065,1-2
2016-12-08,IC,15.329419439008479,1-2
2016-12-09,IC,13.051660863837425,1-2
2016-12-12,IC,18.84536568130968,1-2
2016-12-13,IC,17.701508545314653,1-2
2016-12-19,IC,17.909715407262023,1-2
2016-12-20,IC,19.77377942673289,1-2
2016-12-21,IC,18.082274232006927,1-2
2016-12-22,IC,19.738219286412058,1-2
2016-12-23,IC,19.386971301562397,1-2
2016-12-26,IC,20.003218238550765,1-2
2016-12-27,IC,18.417673135100692,1-2
2016-12-28,IC,18.325427630199435,1-2
2016-12-29,IC,17.340717383102774,1-2
2016-12-30,IC,17.786611951782586,1-2
2017-01-03,IC,15.93721198156686,1-2
2017-01-04,IC,14.742254473503838,1-2
2017-01-05,IC,14.719079425663395,1-2
2017-01-06,IC,16.53517340222553,1-2
2017-01-09,IC,15.689221067912754,1-2
2017-01-10,IC,16.64682729714815,1-2
2017-01-11,IC,16.645262524295156,1-2
2017-01-12,IC,17.019672435391747,1-2
2017-01-13,IC,15.456693650273658,1-2
2017-01-16,IC,20.03665292885616,1-2
2017-01-17,IC,15.397026649570813,1-2
2017-01-23,IC,12.614651845281227,1-2
2017-01-24,IC,13.551980198019804,1-2
2017-01-25,IC,11.753512880562063,1-2
2017-01-26,IC,14.611450606189418,1-2
2017-02-03,IC,11.77733196784553,1-2
2017-02-06,IC,13.296980842198453,1-2
2017-02-07,IC,15.045798923806917,1-2
2017-02-08,IC,15.24323936623123,1-2
2017-02-09,IC,15.701633310329003,1-2
2017-02-10,IC,16.56940128348933,1-2
2017-02-13,IC,16.13619955402829,1-2
2017-02-14,IC,16.469237623083774,1-2
2017-02-20,IC,13.21385036981367,1-2
2017-02-21,IC,12.010956756362546,1-2
2017-02-22,IC,12.252588909649548,1-2
2017-02-23,IC,11.970186335403788,1-2
2017-02-24,IC,12.278589466089525,1-2
2017-02-27,IC,12.90598913717062,1-2
2017-02-28,IC,12.948370736310116,1-2
2017-03-01,IC,12.470342602258768,1-2
2017-03-02,IC,12.753227003638838,1-2
2017-03-03,IC,11.211744776962169,1-2
2017-03-06,IC,12.878411355139171,1-2
2017-03-07,IC,13.628915274270609,1-2
2017-03-08,IC,14.425840758838746,1-2
2017-03-09,IC,16.106157729394003,1-2
2017-03-10,IC,15.385659107561187,1-2
2017-03-13,IC,14.909144537499754,1-2
2017-03-14,IC,14.512272658075986,1-2
2017-03-20,IC,13.774018050882066,1-2
2017-03-21,IC,14.355072203945854,1-2
2017-03-22,IC,14.5160203118681,1-2
2017-03-23,IC,13.353001194839292,1-2
2017-03-24,IC,12.011511261689128,1-2
2017-03-27,IC,10.62616951201636,1-2
2017-03-28,IC,10.935251638310897,1-2
2017-03-29,IC,9.496080752138354,1-2
2017-03-30,IC,8.159168706364648,1-2
2017-03-31,IC,9.300935843950802,1-2
2017-04-05,IC,8.589066341768124,1-2
2017-04-06,IC,10.778635778635852,1-2
2017-04-07,IC,11.6354482697973,1-2
2017-04-10,IC,11.450696783567796,1-2
2017-04-11,IC,12.116235493494221,1-2
2017-04-12,IC,10.503297176422112,1-2
2017-04-13,IC,10.536721932939717,1-2
2017-04-14,IC,11.051317185289996,1-2
2017-04-17,IC,9.004197084365824,1-2
2017-04-18,IC,9.116169987814382,1-2
2017-04-24,IC,6.994375814119599,1-2
2017-04-25,IC,7.359008983664282,1-2
2017-04-26,IC,6.4412868783103026,1-2
2017-04-27,IC,7.192176926269878,1-2
2017-04-28,IC,8.577245230339615,1-2
2017-05-02,IC,8.583396198299308,1-2
2017-05-03,IC,8.568275249929888,1-2
2017-05-04,IC,8.527917232181052,1-2
2017-05-05,IC,9.275620472627995,1-2
2017-05-08,IC,9.531869619885828,1-2
2017-05-09,IC,10.668458074325054,1-2
2017-05-10,IC,11.525273207193386,1-2
2017-05-11,IC,10.64508156203654,1-2
2017-05-12,IC,12.603403977247455,1-2
2017-05-15,IC,11.18599770518491,1-2
2017-05-16,IC,7.899639365589506,1-2
2017-05-22,IC,8.950634069166753,1-2
2017-05-23,IC,6.868393115003128,1-2
2017-05-24,IC,7.25725875746861,1-2
2017-05-25,IC,6.719486907937521,1-2
2017-05-26,IC,7.514785578184223,1-2
2017-05-31,IC,7.789850555741196,1-2
2017-06-01,IC,8.160361779426335,1-2
2017-06-02,IC,7.522008803521375,1-2
2017-06-05,IC,7.383510044642924,1-2
2017-06-06,IC,7.196607532980977,1-2
2017-06-07,IC,6.736302015141307,1-2
2017-06-08,IC,8.246028244670859,1-2
2017-06-09,IC,7.821428571428507,1-2
2017-06-12,IC,7.49974315948084,1-2
2017-06-13,IC,7.442429044945417,1-2
2017-06-19,IC,8.256258168291987,1-2
2017-06-20,IC,10.417064712737952,1-2
2017-06-21,IC,9.794742742647236,1-2
2017-06-22,IC,8.030939002098828,1-2
2017-06-23,IC,9.306498779515149,1-2
2017-06-26,IC,7.627004590015418,1-2
2017-06-27,IC,6.440912019403901,1-2
2017-06-28,IC,8.722589205461432,1-2
2017-06-29,IC,8.423515544004658,1-2
2017-06-30,IC,9.562280503002073,1-2
2017-07-03,IC,9.830210772833723,1-2
2017-07-04,IC,9.527964216338681,1-2
2017-07-05,IC,8.689624266528337,1-2
2017-07-06,IC,8.496076844257345,1-2
2017-07-07,IC,9.770625971825217,1-2
2017-07-10,IC,10.400949235519759,1-2
2017-07-11,IC,10.671608710824279,1-2
2017-07-12,IC,9.537485457004717,1-2
2017-07-13,IC,10.194905905868078,1-2
2017-07-14,IC,10.95909518608341,1-2
2017-07-17,IC,9.738912166969886,1-2
2017-07-18,IC,11.683224926819413,1-2
2017-07-24,IC,12.896792460884038,1-2
2017-07-25,IC,12.858637426872757,1-2
2017-07-26,IC,13.01402424530544,1-2
2017-07-27,IC,11.67313345091115,1-2
2017-07-28,IC,10.538030976129823,1-2
2017-07-31,IC,10.613147914032947,1-2
2017-08-01,IC,11.322958903604103,1-2
2017-08-02,IC,8.939257410873054,1-2
2017-08-03,IC,8.969528178243854,1-2
2017-08-04,IC,8.826839544985141,1-2
2017-08-07,IC,10.462049988534739,1-2
2017-08-08,IC,9.67314487632505,1-2
2017-08-09,IC,10.399618889582829,1-2
2017-08-10,IC,10.934943424054573,1-2
2017-08-11,IC,8.549130565132664,1-2
2017-08-14,IC,10.11427655384044,1-2
2017-08-15,IC,10.356410631910451,1-2
2017-08-21,IC,7.89868030875798,1-2
2017-08-22,IC,7.626618214853509,1-2
2017-08-23,IC,7.385721152745638,1-2
2017-08-24,IC,8.140751220006821,1-2
2017-08-25,IC,6.968751988799085,1-2
2017-08-28,IC,6.705109593705755,1-2
2017-08-29,IC,7.628175966921839,1-2
2017-08-30,IC,7.0170026512154,1-2
2017-08-31,IC,7.212507732773103,1-2
2017-09-01,IC,6.331839275807805,1-2
2017-09-04,IC,6.634848431627471,1-2
2017-09-05,IC,6.999899294624551,1-2
2017-09-06,IC,6.781516453322342,1-2
2017-09-07,IC,6.66628617088057,1-2
2017-09-08,IC,6.469019250004328,1-2
2017-09-11,IC,6.775073599875678,1-2
2017-09-12,IC,6.790668293484939,1-2
2017-09-18,IC,7.222872285507652,1-2
2017-09-19,IC,6.111297147553995,1-2
2017-09-20,IC,5.3782233847584555,1-2
2017-09-21,IC,6.875544425087181,1-2
2017-09-22,IC,8.193257892860482,1-2
2017-09-25,IC,8.310267857142895,1-2
2017-09-26,IC,6.870474123613171,1-2
2017-09-27,IC,6.269666215902701,1-2
2017-09-28,IC,5.835574556062654,1-2
2017-09-29,IC,5.5952380952380585,1-2
2017-10-09,IC,5.6409617968653105,1-2
2017-10-10,IC,5.261050608584241,1-2
2017-10-11,IC,6.055806938159915,1-2
2017-10-12,IC,6.144648522651206,1-2
2017-10-13,IC,7.293416424104801,1-2
2017-10-16,IC,5.826947637292573,1-2
2017-10-17,IC,6.199345878643467,1-2
2017-10-23,IC,7.6966864205299235,1-2
2017-10-24,IC,8.157318141980754,1-2
2017-10-25,IC,8.028826678398394,1-2
2017-10-26,IC,7.562789103248514,1-2
2017-10-27,IC,7.90693471975462,1-2
2017-10-30,IC,8.969155844155807,1-2
2017-10-31,IC,7.575623758004048,1-2
2017-11-01,IC,8.910539514858296,1-2
2017-11-02,IC,7.737537376712635,1-2
2017-11-03,IC,8.330847525038793,1-2
2017-11-06,IC,9.817455130684447,1-2
2017-11-07,IC,8.134736749194508,1-2
2017-11-08,IC,7.617363414687726,1-2
2017-11-09,IC,7.748237527705324,1-2
2017-11-10,IC,7.486553830259236,1-2
2017-11-13,IC,7.685455134434727,1-2
2017-11-14,IC,8.23961909414893,1-2
2017-11-20,IC,5.545890592619595,1-2
2017-11-21,IC,6.211374832064488,1-2
2017-11-22,IC,4.138582677165325,1-2
2017-11-23,IC,7.103240245207745,1-2
2017-11-24,IC,7.727117249540111,1-2
2017-11-27,IC,6.017009478850517,1-2
2017-11-28,IC,6.13070953589432,1-2
2017-11-29,IC,5.481333614145644,1-2
2017-11-30,IC,6.226820946447146,1-2
2017-12-01,IC,4.168760564667185,1-2
2017-12-04,IC,5.58379143032238,1-2
2017-12-05,IC,6.1239301738114715,1-2
2017-12-06,IC,6.330716043595452,1-2
2017-12-07,IC,5.5126583473352335,1-2
2017-12-08,IC,6.971652186066013,1-2
2017-12-11,IC,5.954404857372039,1-2
2017-12-12,IC,6.742465525681404,1-2
2017-12-18,IC,7.1203839308709815,1-2
2017-12-19,IC,6.235408006377769,1-2
2017-12-20,IC,6.771174759651796,1-2
2017-12-21,IC,6.382004192585276,1-2
2017-12-22,IC,5.600301561984942,1-2
2017-12-25,IC,6.061970435594088,1-2
2017-12-26,IC,6.704348190220856,1-2
2017-12-27,IC,5.679864290338692,1-2
2017-12-28,IC,3.714634642784386,1-2
2017-12-29,IC,-0.9221880982992938,1-2
2018-01-02,IC,2.713931203702843,1-2
2018-01-03,IC,4.421010780923467,1-2
2018-01-04,IC,4.475703324808246,1-2
2018-01-05,IC,5.631165366231392,1-2
2018-01-08,IC,5.501666308222016,1-2
2018-01-09,IC,5.0282408045185285,1-2
2018-01-10,IC,4.475843628987707,1-2
2018-01-11,IC,5.2400058897150545,1-2
2018-01-12,IC,4.953351440076895,1-2
2018-01-15,IC,6.4041973953056335,1-2
2018-01-16,IC,5.5278163972917636,1-2
2018-01-22,IC,6.085134393225773,1-2
2018-01-23,IC,4.719434300015228,1-2
2018-01-24,IC,5.088917342438564,1-2
2018-01-25,IC,3.1751441756461043,1-2
2018-01-26,IC,2.233451540007267,1-2
2018-01-29,IC,5.009014058464259,1-2
2018-01-30,IC,5.493328702497805,1-2
2018-01-31,IC,8.246943115364266,1-2
2018-02-01,IC,5.352985389282979,1-2
2018-02-02,IC,7.461092788474791,1-2
2018-02-05,IC,8.029208230855064,1-2
2018-02-06,IC,6.090556108205297,1-2
2018-02-07,IC,7.948093425382282,1-2
2018-02-08,IC,8.122844108156226,1-2
2018-02-09,IC,5.382927742666779,1-2
2018-02-12,IC,6.827292399678737,1-2
2018-02-13,IC,7.525412351361771,1-2
2018-02-14,IC,6.394533987386125,1-2
2018-02-23,IC,5.64386664696896,1-2
2018-02-26,IC,5.973756245094976,1-2
2018-02-27,IC,4.941454351677284,1-2
2018-02-28,IC,5.854021608643393,1-2
2018-03-01,IC,4.807865434731138,1-2
2018-03-02,IC,7.518596223536111,1-2
2018-03-05,IC,5.889092028698436,1-2
2018-03-06,IC,5.3854539644949115,1-2
2018-03-07,IC,7.418628395851091,1-2
2018-03-08,IC,7.235603132124097,1-2
2018-03-09,IC,6.228033569805754,1-2
2018-03-12,IC,5.042958706572332,1-2
2018-03-13,IC,6.557792417192611,1-2
2018-03-19,IC,7.677200710882436,1-2
2018-03-20,IC,9.292786421499253,1-2
2018-03-21,IC,6.899499255779047,1-2
2018-03-22,IC,10.53478997209161,1-2
2018-03-23,IC,4.478992191967417,1-2
2018-03-26,IC,9.659412619088648,1-2
2018-03-27,IC,10.591025505750663,1-2
2018-03-28,IC,8.964438910990202,1-2
