code,bucket,active,hit,mean_bp,total_bp
IC0000,09:30,639,0.5179968701095462,0.6975997189497126,445.7662204088664
IC0000,10:00,569,0.5026362038664324,0.19267806629663106,109.63381972278307
IC0000,10:30,535,0.4953271028037383,-0.17943335553271894,-95.99684521000462
IC0000,11:00,509,0.4911591355599214,-0.13474569990518623,-67.77708705230867
IC0000,13:00,494,0.5,0.022459907677030568,11.0951943924531
IC0000,13:30,512,0.462890625,-0.37485747476771747,-191.92702708107134
IC0000,14:00,492,0.49796747967479676,0.06992808862134156,34.40461960170005
IC0000,14:30,409,0.4400977995110024,-0.2273091557413333,-90.01442567356798
IF0000,09:30,500,0.498,0.11483356339218709,57.416781696093544
IF0000,10:00,394,0.5152284263959391,0.163944636347425,64.59418672088546
IF0000,10:30,308,0.5487012987012987,0.04821549672845931,14.850372992365468
IF0000,11:00,282,0.5390070921985816,0.12924780913656556,36.318634367374926
IF0000,13:00,243,0.49382716049382713,0.05396436171380439,13.113339896454468
IF0000,13:30,262,0.4847328244274809,-0.16431068107506872,-43.049398441668
IF0000,14:00,259,0.4826254826254826,-0.19262329437620196,-49.88943324343631
IF0000,14:30,163,0.4785276073619632,0.21933404288678598,35.09344686188576
IH0000,09:30,398,0.49748743718592964,-0.15277385526033796,-60.8039943936145
IH0000,10:00,212,0.5283018867924528,-0.03167469548830048,-6.715035443519701
IH0000,10:30,171,0.5087719298245614,0.241535289882776,41.302534569954695
IH0000,11:00,155,0.47096774193548385,-0.7285384249732778,-112.92345587085806
IH0000,13:00,110,0.44545454545454544,-0.31226534894483615,-34.349188383931974
IH0000,13:30,113,0.46017699115044247,-0.741567232741645,-83.79709729980588
IH0000,14:00,137,0.48175182481751827,-0.49307557328825885,-67.55135354049146
IH0000,14:30,83,0.46987951807228917,0.09597141878662689,7.869656340503406
IM0000,09:30,718,0.5181058495821727,0.463505548306794,332.79698368427813
IM0000,10:00,604,0.5033112582781457,0.07386212602828784,44.612724121085854
IM0000,10:30,605,0.5074380165289256,-0.10287820343614351,-62.241313078866824
IM0000,11:00,559,0.481216457960644,-0.05156003096920181,-28.5126971259686
IM0000,13:00,543,0.5285451197053407,0.0490945796252788,26.65835673652639
IM0000,13:30,544,0.4319852941176471,-0.46189898300341786,-251.27304675385932
IM0000,14:00,536,0.47201492537313433,-0.29539825515246404,-158.33346476172073
IM0000,14:30,420,0.45,-0.14697416028338672,-60.55335403675532
IM0000,15:00,1,0.0,,0.0
