product,thr_ticks,window,month,minute,active,hit_rate,mean_ret,total
IM0000,5,neg_pm,all,13:30,26,0.38461538461538464,-5.313862269934039e-05,-0.0013816041901828502
IM0000,5,neg_pm,all,13:31,29,0.5517241379310345,3.935008672833837e-05,0.0011411525151218127
IM0000,5,neg_pm,all,13:32,29,0.3793103448275862,-5.0602584936276784e-05,-0.0014674749631520267
IM0000,5,neg_pm,all,13:33,22,0.6363636363636364,8.714329665222464e-05,0.001917152526348942
IM0000,5,neg_pm,all,13:34,23,0.5217391304347826,9.668254509558714e-05,0.002223698537198504
IM0000,5,neg_pm,all,13:35,27,0.5925925925925926,9.73312708242631e-05,0.002627944312255104
IM0000,5,neg_pm,all,13:36,25,0.44,-5.187955045048209e-05,-0.0012969887612620523
IM0000,5,neg_pm,all,13:37,27,0.25925925925925924,-0.0001931742023439643,-0.005215703463287036
IM0000,5,neg_pm,all,13:38,25,0.6,5.1773092391420585e-05,0.0012943273097855146
IM0000,5,neg_pm,all,13:39,25,0.44,-8.420498918392915e-05,-0.002105124729598229
IM0000,5,neg_pm,all,13:40,28,0.42857142857142855,-3.4985845218267674e-05,-0.0009796036661114949
IM0000,5,neg_pm,all,13:41,22,0.2727272727272727,-0.0003336152024591295,-0.007339534454100849
IM0000,5,neg_pm,all,13:42,27,0.6296296296296297,0.00015921160133270241,0.004298713235982965
IM0000,5,neg_pm,all,13:43,21,0.5238095238095238,4.736865703876203e-05,0.0009947417978140027
IM0000,5,neg_pm,all,13:44,31,0.41935483870967744,-6.272196511238821e-05,-0.0019443809184840344
IM0000,5,neg_pm,all,13:45,33,0.3333333333333333,-5.379146581937466e-05,-0.0017751183720393637
IM0000,5,neg_pm,all,13:46,25,0.44,-7.269275001591246e-06,-0.00018173187503978117
IM0000,5,neg_pm,all,13:47,20,0.45,-8.397141751895765e-05,-0.001679428350379153
IM0000,5,neg_pm,all,13:48,23,0.43478260869565216,-0.00016984622405193648,-0.003906463153194539
IM0000,5,neg_pm,all,13:49,23,0.34782608695652173,-0.000152590576699836,-0.0035095832640962277
IM0000,5,neg_pm,all,13:50,22,0.5,8.24061357041444e-06,0.0001812934985491177
IM0000,5,neg_pm,all,13:51,26,0.34615384615384615,-0.00014694793997106236,-0.0038206464392476214
IM0000,5,neg_pm,all,13:52,27,0.4444444444444444,4.540493243342668e-05,0.0012259331757025205
IM0000,5,neg_pm,all,13:53,23,0.5217391304347826,4.790272038883135e-05,0.001101762568943121
IM0000,5,neg_pm,all,13:54,25,0.48,-1.6987032504118814e-05,-0.0004246758126029704
IM0000,5,neg_pm,all,13:55,29,0.4827586206896552,-3.369839452367964e-05,-0.0009772534411867095
IM0000,5,neg_pm,all,13:56,22,0.4090909090909091,-8.402962486184975e-07,-1.8486517469606945e-05
IM0000,5,neg_pm,all,13:57,20,0.55,8.131518219483546e-05,0.0016263036438967093
IM0000,5,neg_pm,all,13:58,27,0.5555555555555556,0.00010155171643128686,0.002741896343644745
IM0000,5,neg_pm,all,13:59,21,0.5714285714285714,9.263686190518787e-05,0.0019453741000089453
IM0000,5,neg_pm,2023-01,13:30,10,0.4,-6.757284423829502e-05,-0.0006757284423829502
IM0000,5,neg_pm,2023-01,13:31,12,0.75,0.0001775328071261332,0.0021303936855135985
IM0000,5,neg_pm,2023-01,13:32,10,0.2,-5.296129260377036e-05,-0.0005296129260377036
IM0000,5,neg_pm,2023-01,13:33,9,0.4444444444444444,-3.344143867778371e-05,-0.00030097294810005337
IM0000,5,neg_pm,2023-01,13:34,9,0.7777777777777778,0.0001957951240104425,0.0017621561160939825
IM0000,5,neg_pm,2023-01,13:35,11,0.5454545454545454,0.00010036007534971773,0.001103960828846895
IM0000,5,neg_pm,2023-01,13:36,10,0.3,-5.637625791299339e-05,-0.0005637625791299339
IM0000,5,neg_pm,2023-01,13:37,11,0.09090909090909091,-0.000253793654520112,-0.002791730199721232
IM0000,5,neg_pm,2023-01,13:38,8,0.5,8.795085415153059e-06,7.036068332122447e-05
