product,thr_ticks,window,month,minute,active,hit_rate,mean_ret,total
IC0000,5,pos_open,all,09:31,31,0.3548387096774194,-0.0003117194043378864,-0.009663301534474478
IC0000,5,pos_open,all,09:32,28,0.5,0.0001984548698855155,0.005556736356794434
IC0000,5,pos_open,all,09:33,32,0.46875,0.00011001037883833983,0.0035203321228268747
IC0000,5,pos_open,all,09:34,29,0.7241379310344828,0.0003530664556944664,0.010238927215139526
IC0000,5,pos_open,all,09:35,30,0.43333333333333335,1.805762693659248e-05,0.0005417288080977745
IC0000,5,pos_open,all,09:36,29,0.4827586206896552,6.745743701229674e-05,0.0019562656733566053
IC0000,5,pos_open,all,09:37,25,0.44,6.52335271619453e-05,0.0016308381790486326
IC0000,5,pos_open,all,09:38,29,0.5172413793103449,7.93283877382679e-05,0.002300523244409769
IC0000,5,pos_open,all,09:39,26,0.6153846153846154,7.607455246095168e-05,0.0019779383639847437
IC0000,5,pos_open,all,09:40,29,0.5517241379310345,8.321543353703816e-05,0.0024132475725741065
IC0000,5,pos_open,all,09:41,27,0.5555555555555556,6.367830385225728e-05,0.0017193142040109466
IC0000,5,pos_open,all,09:42,28,0.5,2.5637035790789957e-05,0.0007178370021421188
IC0000,5,pos_open,all,09:43,25,0.56,0.00019191231731046976,0.004797807932761744
IC0000,5,pos_open,all,09:44,24,0.5,1.0580919503714684e-05,0.00025394206808915243
IC0000,5,pos_open,all,09:45,25,0.48,0.00011166200881470357,0.002791550220367589
IC0000,5,pos_open,all,09:46,27,0.4444444444444444,7.605622697896368e-06,0.00020535181284320192
IC0000,5,pos_open,all,09:47,31,0.3870967741935484,-8.41192392401858e-05,-0.0026076964164457594
IC0000,5,pos_open,all,09:48,28,0.5714285714285714,7.946277182776676e-05,0.0022249576111774694
IC0000,5,pos_open,all,09:49,29,0.7241379310344828,0.0002612034992515473,0.007574901478294871
IC0000,5,pos_open,all,09:50,25,0.48,-1.5492243383499193e-05,-0.00038730608458747984
IC0000,5,pos_open,all,09:51,23,0.4782608695652174,-1.0366014261819561e-05,-0.00023841832802184992
IC0000,5,pos_open,all,09:52,24,0.5833333333333334,0.00016882231294966984,0.004051735510792076
IC0000,5,pos_open,all,09:53,27,0.6666666666666666,0.0002244685466338311,0.0060606507591134395
IC0000,5,pos_open,all,09:54,20,0.5,4.852558434652043e-05,0.0009705116869304087
IC0000,5,pos_open,all,09:55,21,0.6666666666666666,0.00014932065971229842,0.003135733853958267
IC0000,5,pos_open,all,09:56,29,0.3448275862068966,-0.00011103232335658805,-0.0032199373773410533
IC0000,5,pos_open,all,09:57,27,0.4074074074074074,-8.630154264096153e-05,-0.0023301416513059614
IC0000,5,pos_open,all,09:58,29,0.6206896551724138,0.00010769916913737785,0.0031232759049839576
IC0000,5,pos_open,all,09:59,24,0.5416666666666666,6.148680000569544e-05,0.0014756832001366904
IC0000,5,pos_open,2023-01,09:31,13,0.38461538461538464,-0.000373798321136376,-0.004859378174772888
IC0000,5,pos_open,2023-01,09:32,12,0.6666666666666666,0.00020350993163475994,0.0024421191796171193
IC0000,5,pos_open,2023-01,09:33,15,0.5333333333333333,0.0002127631256807261,0.0031914468852108913
IC0000,5,pos_open,2023-01,09:34,12,0.6666666666666666,0.0004360561727948242,0.005232674073537891
IC0000,5,pos_open,2023-01,09:35,14,0.5,0.0001442677835632376,0.0020197489698853266
IC0000,5,pos_open,2023-01,09:36,11,0.5454545454545454,3.2517362256592996e-05,0.00035769098482252293
IC0000,5,pos_open,2023-01,09:37,9,0.4444444444444444,0.00023106266734286408,0.0020795640060857767
IC0000,5,pos_open,2023-01,09:38,12,0.4166666666666667,0.00011581802850434604,0.0013898163420521525
IC0000,5,pos_open,2023-01,09:39,12,0.6666666666666666,3.8174208672201816e-05,0.0004580905040664218
IC0000,5,pos_open,2023-01,09:40,12,0.5,9.52761550474986e-05,0.0011433138605699833
IC0000,5,pos_open,2023-01,09:41,12,0.5833333333333334,-4.124084288672133e-05,-0.0004948901146406559
IC0000,5,pos_open,2023-01,09:42,13,0.3076923076923077,-1.7580597871525736e-05,-0.0002285477723298346
IC0000,5,pos_open,2023-01,09:43,8,0.25,-0.00013836847512524453,-0.0011069478010019562
IC0000,5,pos_open,2023-01,09:44,8,0.5,-2.7810151074808553e-05,-0.00022248120859846843
IC0000,5,pos_open,2023-01,09:45,9,0.3333333333333333,-0.0001797240964871685,-0.0016175168683845165
