code,half,k,n,mean_bp,hit,t
IC0000,H1,36,42,-0.011,0.571,0.28
IC0000,H2,36,46,-1.041,0.457,-1.23
IC0000,full,37,80,-0.328,0.525,0.09
IC0000,H1,37,41,-0.09,0.561,0.31
IC0000,H2,37,39,-0.579,0.487,-0.09
IC0000,full,38,74,-0.217,0.527,0.24
IC0000,H1,38,37,0.723,0.595,0.72
IC0000,H2,38,37,-1.158,0.459,-0.19
IC0000,full,39,70,-0.516,0.5,0.05
IC0000,H1,39,36,0.739,0.583,0.71
IC0000,H2,39,34,-1.844,0.412,-0.42
IC0000,full,40,62,-0.235,0.516,0.39
IC0000,H1,40,33,0.806,0.606,0.78
IC0000,H2,40,29,-1.42,0.414,-0.08
IF0000,full,0,1051,0.062,0.504,0.31
IF0000,H1,0,523,0.501,0.528,1.96
IF0000,H2,0,528,-0.372,0.481,-1.05
IF0000,full,1,983,-0.02,0.501,-0.08
IF0000,H1,1,492,0.494,0.528,1.84
IF0000,H2,1,491,-0.536,0.473,-1.49
IF0000,full,2,931,-0.006,0.501,0.03
IF0000,H1,2,463,0.509,0.525,1.84
IF0000,H2,2,468,-0.516,0.476,-1.38
IF0000,full,3,877,-0.021,0.501,0.03
IF0000,H1,3,433,0.525,0.529,1.82
IF0000,H2,3,444,-0.553,0.473,-1.4
IF0000,full,4,818,0.016,0.504,0.15
IF0000,H1,4,398,0.383,0.52,1.41
IF0000,H2,4,420,-0.332,0.488,-0.84
IF0000,full,5,741,-0.024,0.502,-0.14
IF0000,H1,5,359,0.307,0.515,0.8
IF0000,H2,5,382,-0.335,0.49,-0.78
IF0000,full,6,693,-0.094,0.496,-0.4
IF0000,H1,6,335,0.264,0.51,0.63
IF0000,H2,6,358,-0.429,0.483,-1.0
IF0000,full,7,654,-0.214,0.492,-0.8
IF0000,H1,7,313,0.055,0.498,-0.06
IF0000,H2,7,341,-0.461,0.487,-0.93
IF0000,full,8,595,-0.181,0.501,-0.61
IF0000,H1,8,284,0.151,0.518,0.23
IF0000,H2,8,311,-0.483,0.486,-0.94
IF0000,full,9,560,-0.21,0.498,-0.7
IF0000,H1,9,264,0.127,0.515,0.04
IF0000,H2,9,296,-0.51,0.483,-0.92
IF0000,full,10,491,-0.198,0.497,-0.64
IF0000,H1,10,229,0.088,0.511,-0.11
IF0000,H2,10,262,-0.448,0.485,-0.74
IF0000,full,11,461,-0.297,0.492,-0.77
IF0000,H1,11,215,-0.083,0.507,-0.4
IF0000,H2,11,246,-0.483,0.48,-0.66
IF0000,full,12,416,-0.291,0.493,-0.72
IF0000,H1,12,194,-0.125,0.495,-0.58
IF0000,H2,12,222,-0.437,0.491,-0.43
IF0000,full,13,372,-0.25,0.5,-0.68
IF0000,H1,13,177,0.091,0.508,-0.31
IF0000,H2,13,195,-0.559,0.492,-0.6
IF0000,full,14,341,-0.262,0.493,-0.68
IF0000,H1,14,163,0.086,0.503,-0.41
IF0000,H2,14,178,-0.58,0.483,-0.53
IF0000,full,15,293,-0.278,0.495,-0.76
IF0000,H1,15,138,-0.138,0.486,-1.05
IF0000,H2,15,155,-0.403,0.503,-0.2
IF0000,full,16,255,-0.367,0.482,-0.96
IF0000,H1,16,118,-0.277,0.458,-1.56
IF0000,H2,16,137,-0.444,0.504,-0.11
IF0000,full,17,222,-0.376,0.482,-0.96
IF0000,H1,17,104,-0.42,0.452,-1.61
