product,thr_ticks,minute,date,ret
IC0000,5,09:31,2023-01-04,-0.00010093703211477845
IC0000,5,09:31,2023-01-09,-0.00034779152382380385
IC0000,5,09:31,2023-01-10,0.0005649999169118347
IC0000,5,09:31,2023-01-11,0.00016542323534762815
IC0000,5,09:31,2023-01-12,0.0006135783224436864
IC0000,5,09:31,2023-01-13,-0.000165713812246282
IC0000,5,09:31,2023-01-16,0.0004264812020209341
IC0000,5,09:31,2023-01-17,-0.0008473333441967323
IC0000,5,09:31,2023-01-18,-0.0004050747768036267
IC0000,5,09:31,2023-01-19,0.00029218881890780146
IC0000,5,09:31,2023-01-20,-0.0016098952771090858
IC0000,5,09:31,2023-01-30,-0.0027602523659306932
IC0000,5,09:31,2023-01-31,-0.0006850515381797706
IC0000,5,09:31,2023-02-01,0.00025295642825517994
IC0000,5,09:31,2023-02-02,0.00036097683470404096
IC0000,5,09:31,2023-02-03,-0.00012615908660817965
IC0000,5,09:31,2023-02-06,-0.0015124016938898865
IC0000,5,09:31,2023-02-07,-0.00047471358946771236
IC0000,5,09:31,2023-02-08,-0.0003480627145728832
IC0000,5,09:31,2023-02-10,-0.0007234638189453912
IC0000,5,09:31,2023-02-14,-0.00020398236337082487
IC0000,5,09:31,2023-02-15,0.0002503011435632807
IC0000,5,09:31,2023-02-16,7.842645167355222e-05
IC0000,5,09:31,2023-02-17,-0.0022358239249016254
IC0000,5,09:31,2023-02-20,0.0009460737937558861
IC0000,5,09:31,2023-02-21,-0.00020499558471054335
IC0000,5,09:31,2023-02-22,-0.0015789556787142445
IC0000,5,09:31,2023-02-23,-0.0001568947393193465
IC0000,5,09:31,2023-02-24,-0.0001574927159618822
IC0000,5,09:31,2023-02-27,0.001473010643689876
IC0000,5,09:31,2023-02-28,-0.0004427227448808857
IC0000,10,09:31,2023-01-04,-0.00010093703211477845
IC0000,10,09:31,2023-01-09,-0.00034779152382380385
IC0000,10,09:31,2023-01-10,0.0005649999169118347
IC0000,10,09:31,2023-01-11,0.00016542323534762815
IC0000,10,09:31,2023-01-12,0.0006135783224436864
IC0000,10,09:31,2023-01-13,-0.000165713812246282
IC0000,10,09:31,2023-01-16,0.0004264812020209341
IC0000,10,09:31,2023-01-17,-0.0008473333441967323
IC0000,10,09:31,2023-01-18,-0.0004050747768036267
IC0000,10,09:31,2023-01-19,0.00029218881890780146
IC0000,10,09:31,2023-01-20,-0.0016098952771090858
IC0000,10,09:31,2023-01-30,-0.0027602523659306932
IC0000,10,09:31,2023-01-31,-0.0006850515381797706
IC0000,10,09:31,2023-02-01,0.00025295642825517994
IC0000,10,09:31,2023-02-02,0.00036097683470404096
IC0000,10,09:31,2023-02-03,-0.00012615908660817965
IC0000,10,09:31,2023-02-06,-0.0015124016938898865
IC0000,10,09:31,2023-02-07,-0.00047471358946771236
IC0000,10,09:31,2023-02-08,-0.0003480627145728832
IC0000,10,09:31,2023-02-10,-0.0007234638189453912
IC0000,10,09:31,2023-02-14,-0.00020398236337082487
