code,tick,mean,n
IC0000,1,0.0,3970
IC0000,2,0.01141057934509233,3970
IC0000,3,0.04556675062974528,3970
IC0000,4,0.0722166246851449,3970
IC0000,5,0.06607052896725124,3970
IC0000,6,0.0762216624685183,3970
IC0000,7,0.07219143576826687,3970
IC0000,8,0.06954659949623299,3970
IC0000,9,0.08166246851385638,3970
IC0000,10,0.08035264483627685,3970
IC0000,11,0.0814861460957243,3970
IC0000,12,0.07664987405542369,3970
IC0000,13,0.05826196473550702,3970
IC0000,14,0.042392947103267735,3970
IC0000,15,0.022569269521414567,3970
IC0000,16,0.011788413098232697,3970
IC0000,17,0.0007304785894194178,3970
IC0000,18,-0.009042821158690772,3970
IC0000,19,-0.017128463476064573,3970
IC0000,20,-0.047027707808554794,3970
IC0000,21,-0.06692695214104964,3970
IC0000,22,-0.062317380352629397,3970
IC0000,23,-0.0693450881612153,3970
IC0000,24,-0.08118387909319125,3970
IC0000,25,-0.07161209068009439,3970
IC0000,26,-0.08896725440805422,3970
IC0000,27,-0.09178841309823164,3970
IC0000,28,-0.11093198992443637,3970
IC0000,29,-0.11025188916876455,3970
IC0000,30,-0.11773299748110662,3970
IC0000,31,-0.11362720403022428,3970
IC0000,32,-0.112241813602023,3970
IC0000,33,-0.11244332493702601,3970
IC0000,34,-0.1148110831234262,3970
IC0000,35,-0.12324937027707698,3970
IC0000,36,-0.1170277078085641,3970
IC0000,37,-0.1163727959697749,3970
IC0000,38,-0.12574307304785662,3970
IC0000,39,-0.11763224181359858,3970
IC0000,40,-0.13105793450881548,3970
IC0000,41,-0.12047858942065129,3970
IC0000,42,-0.1328715365239361,3970
IC0000,43,-0.12171284634760723,3970
IC0000,44,-0.11866498740554852,3970
IC0000,45,-0.12085642317379396,3970
IC0000,46,-0.12619647355163224,3970
IC0000,47,-0.13128463476070204,3970
IC0000,48,-0.12463476070528354,3970
IC0000,49,-0.1247858942065394,3970
IC0000,50,-0.12224181360200828,3970
IC0000,51,-0.12727959697733185,3970
IC0000,52,-0.1329722921914295,3970
IC0000,53,-0.1311083123425766,3970
IC0000,54,-0.13362720403023243,3970
