code,tick,mean,n
IC0000,1,0.0,4431
IC0000,2,-0.0029790115098048404,4431
IC0000,3,-0.010607086436466013,4431
IC0000,4,-0.0036786278492468775,4431
IC0000,5,0.003701196118267705,4431
IC0000,6,0.0038817422703828056,4431
IC0000,7,-0.0042202663055735,4431
IC0000,8,-0.01137440758293687,4431
IC0000,9,-0.022071767095455403,4431
IC0000,10,-0.03940419769803808,4431
IC0000,11,-0.04867975626269112,4431
IC0000,12,-0.04768675242608198,4431
IC0000,13,-0.05603701196116333,4431
IC0000,14,-0.059016023470995056,4431
IC0000,15,-0.07443015120739033,4431
IC0000,16,-0.07330173775670343,4431
IC0000,17,-0.07743173098623672,4431
IC0000,18,-0.08009478672985364,4431
IC0000,19,-0.08788083953961523,4431
IC0000,20,-0.08442789438049679,4431
IC0000,21,-0.08939291356352463,4431
IC0000,22,-0.10397201534641796,4431
IC0000,23,-0.11333784698714242,4431
IC0000,24,-0.10652370203160448,4430
IC0000,25,-0.11119638826185582,4430
IC0000,26,-0.11404063205417808,4430
IC0000,27,-0.10573363431151418,4430
IC0000,28,-0.10566591422122171,4430
IC0000,29,-0.11668171557561823,4430
IC0000,30,-0.11747178329570544,4430
IC0000,31,-0.12295711060947687,4430
IC0000,32,-0.12688487584649813,4430
IC0000,33,-0.1260496613995388,4430
IC0000,34,-0.12063205417606743,4430
IC0000,35,-0.11948081264107883,4430
IC0000,36,-0.1164559819413098,4430
IC0000,37,-0.10864559819412152,4430
IC0000,38,-0.11164785553046734,4430
IC0000,39,-0.11347629796838904,4430
IC0000,40,-0.09957110609480595,4430
IC0000,41,-0.10361173814898954,4430
IC0000,42,-0.10661399548532798,4430
IC0000,43,-0.10794582392776622,4430
IC0000,44,-0.10447154471544724,4428
IC0000,45,-0.09236330772706922,4426
IC0000,46,-0.10183050847457285,4425
IC0000,47,-0.10323383084578061,4422
IC0000,48,-0.09941163159085276,4419
IC0000,49,-0.09506340579710025,4416
IC0000,50,-0.09782559456397746,4415
IC0000,51,-0.0934496826835853,4412
IC0000,52,-0.08687372477896267,4411
IC0000,53,-0.0879228149829698,4405
IC0000,54,-0.09171019759254273,4403
IC0000,55,-0.0903732362312164,4394
IC0000,56,-0.08728350045578084,4388
IC0000,57,-0.08509812870834459,4382
IC0000,58,-0.07082761774118847,4374
IC0000,59,-0.07332264712616895,4367
IC0000,60,-0.069878412479925,4359
IC0000,61,-0.0696461397058793,4352
IC0000,62,-0.07071708554299301,4337
IC0000,63,-0.0677218114602534,4328
IC0000,64,-0.0662884927066392,4319
IC0000,65,-0.05811093061034781,4309
IC0000,66,-0.06682972280456209,4293
IC0000,67,-0.061675245671496445,4274
IC0000,68,-0.06347826086955055,4255
IC0000,69,-0.06264462809916908,4235
IC0000,70,-0.06252376425854246,4208
IC0000,71,-0.05415274463005979,4190
IC0000,72,-0.06192759530088232,4171
IC0000,73,-0.06357935359382129,4146
IC0000,74,-0.06294317629917895,4118
IC0000,75,-0.0734279422559371,4087
IC0000,76,-0.06850529426249845,4061
IC0000,77,-0.06907960199004405,4020
IC0000,78,-0.07108101329320693,3987
IC0000,79,-0.05337734890807119,3938
IC0000,80,-0.06417948717948209,3900
IC0000,81,-0.07511676180590295,3854
IC0000,82,-0.06988487702772309,3822
IC0000,83,-0.0779777660137469,3778
IC0000,84,-0.06925557645793086,3721
