code,tick,mean,n
IC0000,1,0.0,4899
IC0000,2,-0.0020004082465869127,4899
IC0000,3,0.01853439477443693,4899
IC0000,4,0.03284343743621771,4899
IC0000,5,0.03723208818126085,4899
IC0000,6,0.03766074709125165,4899
IC0000,7,0.030026536027766598,4899
IC0000,8,0.015676668707895896,4899
IC0000,9,0.011369667279038542,4899
IC0000,10,0.014227393345575495,4899
IC0000,11,0.02231067564808703,4899
IC0000,12,0.01696264543784212,4899
IC0000,13,0.015758318024082427,4899
IC0000,14,0.007062665850172094,4899
IC0000,15,-0.0039191671769737415,4899
IC0000,16,-0.024106960604203715,4899
IC0000,17,-0.028230251071659565,4899
IC0000,18,-0.048846703408864184,4899
IC0000,19,-0.06350275566442899,4899
IC0000,20,-0.0625433761992263,4899
IC0000,21,-0.07221882016738225,4899
IC0000,22,-0.07166768728311555,4899
IC0000,23,-0.07405592978159109,4899
IC0000,24,-0.09056950398041155,4899
IC0000,25,-0.07973055725658008,4899
IC0000,26,-0.08507858746682907,4899
IC0000,27,-0.0834047764849946,4899
IC0000,28,-0.08820167381099138,4899
IC0000,29,-0.0956113492549655,4899
IC0000,30,-0.09548887528067235,4899
IC0000,31,-0.10079608083283662,4899
IC0000,32,-0.1019595835884882,4899
IC0000,33,-0.09787711777914584,4899
IC0000,34,-0.09177383139417365,4899
IC0000,35,-0.09761175750153515,4899
IC0000,36,-0.09401918758931553,4899
IC0000,37,-0.08528271075730691,4899
IC0000,38,-0.0765462339252944,4899
IC0000,39,-0.07470912431108315,4899
IC0000,40,-0.07248418044499108,4899
IC0000,41,-0.07199428454787225,4899
IC0000,42,-0.06650336803430036,4899
IC0000,43,-0.057297407634216035,4899
IC0000,44,-0.05856297203511377,4899
IC0000,45,-0.05619514186568784,4899
IC0000,46,-0.058991630945099745,4899
IC0000,47,-0.051541130843025106,4899
IC0000,48,-0.04686670749133597,4899
IC0000,49,-0.045703204735661196,4899
IC0000,50,-0.03443559910187159,4899
IC0000,51,-0.028434374362120325,4899
IC0000,52,-0.02518881404369419,4899
IC0000,53,-0.030414370279663018,4899
IC0000,54,-0.03412941416616523,4899
IC0000,55,-0.035701163502764685,4899
IC0000,56,-0.03339457032048942,4899
IC0000,57,-0.027474994896927094,4899
