code,tick,mean,n
IC0000,1,0.0,4686
IC0000,2,0.03990610328638187,4686
IC0000,3,0.05160051216390432,4686
IC0000,4,0.06769099445156614,4686
IC0000,5,0.07765685019208021,4686
IC0000,6,0.06909944515578768,4686
IC0000,7,0.037003841229203166,4686
IC0000,8,-0.0019632949210312686,4686
IC0000,9,-0.02375160051215811,4686
IC0000,10,-0.04596670934697873,4686
IC0000,11,-0.057469056764824465,4686
IC0000,12,-0.0682244985061892,4686
IC0000,13,-0.07010243277848,4686
IC0000,14,-0.08510456679470632,4686
IC0000,15,-0.1006188647033702,4686
IC0000,16,-0.09009816474604175,4686
IC0000,17,-0.11683738796414989,4686
IC0000,18,-0.1311993171148043,4686
IC0000,19,-0.15396927016644957,4686
IC0000,20,-0.1688220230473671,4686
IC0000,21,-0.19090909090908187,4686
IC0000,22,-0.2211907810499313,4686
IC0000,23,-0.20900554844217215,4686
IC0000,24,-0.23465642338880657,4686
IC0000,25,-0.2364916773367318,4686
IC0000,26,-0.23235168587280608,4686
IC0000,27,-0.24041826717882792,4686
IC0000,28,-0.24011950490821765,4686
IC0000,29,-0.2530943235168465,4686
IC0000,30,-0.25460947503199866,4686
IC0000,31,-0.2607767819035347,4686
IC0000,32,-0.24733247972684688,4686
IC0000,33,-0.2502134016218376,4686
IC0000,34,-0.2645326504481316,4686
IC0000,35,-0.2606060606060507,4686
IC0000,36,-0.2568928723858174,4686
IC0000,37,-0.23593683311992675,4686
IC0000,38,-0.22740076824583194,4686
IC0000,39,-0.21549295774647154,4686
IC0000,40,-0.2166666666666599,4686
IC0000,41,-0.21570635936832308,4686
IC0000,42,-0.20597524541187148,4686
IC0000,43,-0.19174135723430916,4686
IC0000,44,-0.17443448570208506,4686
IC0000,45,-0.16971830985914546,4686
IC0000,46,-0.16284677763550545,4686
IC0000,47,-0.16365770379854958,4686
IC0000,48,-0.15296628254374484,4686
IC0000,49,-0.15407597097737535,4686
IC0000,50,-0.13657703798547277,4686
IC0000,51,-0.12846777635510262,4686
IC0000,52,-0.12379428083652493,4686
IC0000,53,-0.1181391378574445,4686
IC0000,54,-0.11224925309432934,4686
IC0000,55,-0.09976525821595623,4686
IC0000,56,-0.09944515578317095,4686
IC0000,57,-0.08926589842082842,4686
IC0000,58,-0.0919760990183508,4686
IC0000,59,-0.07947076397780169,4686
IC0000,60,-0.08373879641483677,4686
IC0000,61,-0.0727699530516397,4686
IC0000,62,-0.07104139991461463,4686
IC0000,63,-0.07187366623985667,4686
IC0000,64,-0.06378574477166174,4686
IC0000,65,-0.06638924455825465,4686
IC0000,66,-0.07198036705078846,4686
IC0000,67,-0.0867690994451578,4686
IC0000,68,-0.08378147673922272,4686
IC0000,69,-0.08213828425094975,4686
IC0000,70,-0.08728126333759205,4686
IC0000,71,-0.0996798975672111,4686
IC0000,72,-0.08962868117796957,4686
IC0000,73,-0.08367129135538935,4685
IC0000,74,-0.07839453458581316,4684
IC0000,75,-0.07057441810804224,4683
IC0000,76,-0.07871022848600807,4683
IC0000,77,-0.08227631859918509,4683
IC0000,78,-0.08046124279307576,4683
IC0000,79,-0.08831695856471224,4682
IC0000,80,-0.07051282051280963,4680
IC0000,81,-0.06739316239316426,4680
IC0000,82,-0.06628180457558128,4677
IC0000,83,-0.05991443850267174,4675
IC0000,84,-0.05191525786431286,4673
IC0000,85,-0.048137044967867075,4670
IC0000,86,-0.037832047986286005,4668
IC0000,87,-0.0346689522176826,4667
IC0000,88,-0.03223175965664881,4660
IC0000,89,-0.0400987972508493,4656
IC0000,90,-0.029265148259554594,4654
IC0000,91,-0.014866609294317672,4648
IC0000,92,-0.023653597587233986,4642
IC0000,93,-0.016796368352776946,4626
IC0000,94,-0.007553722596039856,4607
IC0000,95,-0.0228926159878023,4591
IC0000,96,-0.026223776223774434,4576
IC0000,97,-0.029263480929407153,4562
IC0000,98,-0.02281435807090897,4541
IC0000,99,-0.015534410267755495,4519
IC0000,100,-0.011842105263154528,4484
IC0000,101,-0.021315908066693718,4438
IC0000,102,-0.015602997955930209,4403
IC0000,103,-0.03149896384987319,4343
IC0000,104,-0.032728119180619686,4296
IC0000,105,-0.018059171597631242,4225
IC0000,106,0.0009877138039150314,4151
IC0000,107,0.006510480887801282,4055
IC0000,108,0.03225970073549186,3943
IC0000,109,0.03623339411305582,3839
IC0000,110,0.053225371120102755,3705
IC0000,111,0.05243970835670142,3566
IC0000,112,0.08370173887414355,3393
IC0000,113,0.09244040150564212,3188
IC0000,114,0.12327702702702813,2960
IC0000,115,0.13233756534726648,2678
IC0000,116,0.14357021996615196,2364
IC0000,117,0.1451292246520807,2012
IC0000,118,0.18478924862553953,1637
IC0000,119,0.31245901639343504,1220
IC0000,120,0.47545180722889757,664
IF0000,1,0.0,4649
IF0000,2,0.009442890944282755,4649
IF0000,3,0.014433211443310463,4649
IF0000,4,0.020499032049896202,4649
IF0000,5,0.017595181759512347,4649
IF0000,6,0.01892880189287393,4649
IF0000,7,0.005958270595819782,4649
IF0000,8,-0.011120671112075093,4649
IF0000,9,-0.02084319208432402,4649
IF0000,10,-0.023725532372569514,4649
IF0000,11,-0.024091202409129632,4649
IF0000,12,-0.022886642288669237,4649
IF0000,13,-0.021854162185428818,4649
IF0000,14,-0.02030544203055645,4649
IF0000,15,-0.02265003226500796,4649
IF0000,16,-0.023209292320939132,4649
IF0000,17,-0.031167993116794343,4649
IF0000,18,-0.03327597332760649,4649
IF0000,19,-0.040589374058944604,4649
IF0000,20,-0.054850505485073045,4649
IF0000,21,-0.0692837169283798,4649
IF0000,22,-0.07541406754142052,4649
IF0000,23,-0.07713486771350524,4649
IF0000,24,-0.08487846848787099,4649
IF0000,25,-0.08535168853518435,4649
IF0000,26,-0.0946440094644164,4649
IF0000,27,-0.09855882985588647,4649
IF0000,28,-0.10359217035923042,4649
IF0000,29,-0.09681651968165929,4649
IF0000,30,-0.0934824693482699,4649
IF0000,31,-0.09649386964941169,4649
IF0000,32,-0.09335340933534485,4649
IF0000,33,-0.09262206926221561,4649
IF0000,34,-0.10359217035922356,4649
IF0000,35,-0.09685953968596457,4649
IF0000,36,-0.09683802968381819,4649
IF0000,37,-0.09593460959347368,4649
IF0000,38,-0.09079371907938862,4649
IF0000,39,-0.08943858894386773,4649
IF0000,40,-0.09070767907078528,4649
IF0000,41,-0.08629812862982711,4649
IF0000,42,-0.08498601849860839,4649
IF0000,43,-0.08496450849645613,4649
IF0000,44,-0.07268229726823787,4649
IF0000,45,-0.07360722736073404,4649
IF0000,46,-0.07059582705959029,4649
IF0000,47,-0.0644869864487161,4649
IF0000,48,-0.05990535599055145,4649
IF0000,49,-0.05151645515165158,4649
IF0000,50,-0.048956764895685956,4649
IF0000,51,-0.04185846418585569,4649
IF0000,52,-0.04228866422887785,4649
IF0000,53,-0.044332114433229125,4649
IF0000,54,-0.03972897397291751,4649
IF0000,55,-0.03871800387181565,4649
IF0000,56,-0.03914820391482939,4649
IF0000,57,-0.04220262422027529,4649
IF0000,58,-0.04052484405250076,4649
IF0000,59,-0.041879974188023396,4649
IF0000,60,-0.03626586362659505,4649
IF0000,61,-0.03807270380728388,4649
IF0000,62,-0.034889223488936784,4649
IF0000,63,-0.03521187352119612,4649
IF0000,64,-0.033103893310409596,4649
IF0000,65,-0.03629518072290483,4648
IF0000,66,-0.035477624784862626,4648
IF0000,67,-0.03868330464717205,4648
IF0000,68,-0.04406196213426111,4648
IF0000,69,-0.04466437177281322,4648
IF0000,70,-0.05106520335701865,4647
IF0000,71,-0.04813858403272372,4647
IF0000,72,-0.046039603960411624,4646
IF0000,73,-0.044918173987960504,4644
IF0000,74,-0.04155900086133408,4644
IF0000,75,-0.043700193840199054,4643
IF0000,76,-0.04383886255925542,4642
IF0000,77,-0.045433003015943677,4642
IF0000,78,-0.04662788192201733,4641
IF0000,79,-0.04527610008629434,4636
IF0000,80,-0.043837686164491386,4633
IF0000,81,-0.04792746113990698,4632
IF0000,82,-0.044252376836660494,4628
IF0000,83,-0.03888048411499118,4627
IF0000,84,-0.03627514600909776,4623
IF0000,85,-0.034683708838825704,4616
IF0000,86,-0.03886358707439834,4611
IF0000,87,-0.034847826086964864,4600
IF0000,88,-0.03194081810270813,4596
IF0000,89,-0.03224258289704292,4584
IF0000,90,-0.030459518599564712,4570
IF0000,91,-0.030028577709393156,4549
IF0000,92,-0.01808346213293214,4529
IF0000,93,-0.021165780141848407,4512
IF0000,94,-0.016414253897551287,4490
IF0000,95,-0.013921217547008794,4468
IF0000,96,-0.014337322194631049,4429
IF0000,97,-0.012987012987028115,4389
IF0000,98,-0.012727272727282607,4345
IF0000,99,-0.009412038112960099,4303
IF0000,100,-0.0007083825265750826,4235
IF0000,101,-0.00019184652279883034,4170
IF0000,102,0.001998050682256732,4104
IF0000,103,0.003349875930501683,4030
IF0000,104,0.011995942175987633,3943
IF0000,105,0.021512081060003584,3849
IF0000,106,0.03596019365249469,3718
IF0000,107,0.031109257714755374,3597
IF0000,108,0.04048171793382709,3446
IF0000,109,0.05412339645692308,3274
IF0000,110,0.05744749596121256,3095
IF0000,111,0.05744089012515988,2876
IF0000,112,0.07956176803926275,2647
IF0000,113,0.09054890631446726,2423
IF0000,114,0.10813045475423627,2177
IF0000,115,0.18231292517004927,1911
IF0000,116,0.21239419588875905,1654
IF0000,117,0.2594431903686854,1329
IF0000,118,0.35392254220455865,1007
IF0000,119,0.37566765578632827,674
IF0000,120,0.35962732919254714,322
IH0000,1,0.0,4584
IH0000,2,0.002748691099476519,4584
IH0000,3,0.0059554973821990915,4584
IH0000,4,0.006108202443278497,4584
IH0000,5,0.005082897033159746,4584
IH0000,6,0.0028141361256600254,4584
IH0000,7,-0.0029232111692885547,4584
IH0000,8,-0.008922338568936936,4584
IH0000,9,-0.012739965095984074,4584
IH0000,10,-0.013438045375218328,4584
IH0000,11,-0.012478184991275941,4584
IH0000,12,-0.01461605584642472,4584
IH0000,13,-0.010776614310648422,4584
IH0000,14,-0.007395287958118874,4584
IH0000,15,-0.00896596858638791,4584
IH0000,16,-0.010187609075042698,4584
IH0000,17,-0.011932809773126647,4584
IH0000,18,-0.016317626527052338,4584
IH0000,19,-0.017822862129143226,4584
IH0000,20,-0.02135689354276111,4584
IH0000,21,-0.025261780104715355,4584
IH0000,22,-0.022033158813263128,4584
IH0000,23,-0.023254799301917418,4584
IH0000,24,-0.023538394415350446,4584
IH0000,25,-0.02866492146596474,4584
IH0000,26,-0.030671902268756025,4584
IH0000,27,-0.030322862129141776,4584
IH0000,28,-0.030301047120416983,4584
IH0000,29,-0.029123036649214066,4584
IH0000,30,-0.02805410122164761,4584
IH0000,31,-0.025741710296681538,4584
IH0000,32,-0.024781849912738456,4584
IH0000,33,-0.02362565445026668,4584
IH0000,34,-0.023560209424080495,4584
IH0000,35,-0.02107329842931687,4584
IH0000,36,-0.020506108202444175,4584
IH0000,37,-0.02174956369982167,4584
IH0000,38,-0.020331588132632437,4584
IH0000,39,-0.018542757417101777,4584
IH0000,40,-0.017386561954625634,4584
IH0000,41,-0.015270506108202641,4584
IH0000,42,-0.013089005235596241,4584
IH0000,43,-0.011191099476442508,4584
IH0000,44,-0.010209424083769078,4584
IH0000,45,-0.006806282722513545,4584
IH0000,46,-0.005671902268761899,4584
IH0000,47,-0.007831588132633984,4584
IH0000,48,-0.007962478184990282,4584
IH0000,49,-0.007264397905759995,4584
IH0000,50,-0.008729812309036349,4582
IH0000,51,-0.004694323144101527,4580
IH0000,52,-0.007367730651505206,4574
IH0000,53,-0.003958880139983775,4572
