code,tick,mean,n
IC0000,1,0.0,4904
IC0000,2,0.007320554649266758,4904
IC0000,3,-0.0007137030995113454,4904
IC0000,4,0.007769168026112714,4904
IC0000,5,-0.005770799347458322,4904
IC0000,6,-0.025632137030988763,4904
IC0000,7,-0.04443311582381518,4904
IC0000,8,-0.04182300163132311,4904
IC0000,9,-0.045901305057081856,4904
IC0000,10,-0.051305057096247296,4904
IC0000,11,-0.05360929853180198,4904
IC0000,12,-0.049755301794443305,4904
IC0000,13,-0.04979608482871641,4904
IC0000,14,-0.05154975530179319,4904
IC0000,15,-0.06321370309950745,4904
IC0000,16,-0.05581158238172768,4904
IC0000,17,-0.06914763458400663,4904
IC0000,18,-0.0818515497552943,4904
IC0000,19,-0.08334013050571218,4904
IC0000,20,-0.0861133768352325,4904
IC0000,21,-0.09241435562806018,4904
IC0000,22,-0.08568515497553274,4904
IC0000,23,-0.09690048939641402,4904
IC0000,24,-0.10028548123980836,4904
IC0000,25,-0.11588499184339356,4904
IC0000,26,-0.11857667210440476,4904
IC0000,27,-0.11298939641109658,4904
IC0000,28,-0.11186786296900367,4904
IC0000,29,-0.11596655791190583,4904
IC0000,30,-0.12210440456769524,4904
IC0000,31,-0.13126019575856143,4904
IC0000,32,-0.12826264274061508,4904
IC0000,33,-0.12881321370310003,4904
IC0000,34,-0.12408238172919916,4904
IC0000,35,-0.11969820554649192,4904
IC0000,36,-0.1165783034257767,4904
IC0000,37,-0.11888254486133787,4904
IC0000,38,-0.11462071778139467,4904
IC0000,39,-0.1248164763458365,4904
IC0000,40,-0.1358482871125643,4904
IC0000,41,-0.1311378466557972,4904
IC0000,42,-0.13009787928221878,4904
IC0000,43,-0.1259787928221756,4904
IC0000,44,-0.13377523964919225,4903
IC0000,45,-0.12147664695085057,4903
IC0000,46,-0.12700387517847067,4903
IC0000,47,-0.12653477462777457,4903
IC0000,48,-0.12047725882112433,4903
IC0000,49,-0.1169318645450797,4902
IC0000,50,-0.11381068951448678,4902
IC0000,51,-0.11889024887800177,4902
IC0000,52,-0.12405631503773534,4901
IC0000,53,-0.12091409916343648,4901
IC0000,54,-0.12781632653061192,4900
IC0000,55,-0.12708716064502337,4899
IC0000,56,-0.1250153154992882,4897
IC0000,57,-0.12471910112359903,4895
IC0000,58,-0.11551512673753761,4892
IC0000,59,-0.11968520032706961,4892
IC0000,60,-0.12701596397871143,4886
IC0000,61,-0.12175337976239388,4882
IC0000,62,-0.12982168477146463,4879
IC0000,63,-0.12759540418546658,4874
IC0000,64,-0.12705979042532112,4867
IC0000,65,-0.1263948939674731,4857
IC0000,66,-0.1275236918005808,4854
IC0000,67,-0.13100887146688617,4847
IC0000,68,-0.13441571871767577,4835
IC0000,69,-0.12855366763364043,4826
IC0000,70,-0.12338659472919135,4819
IC0000,71,-0.11687825182100943,4805
IC0000,72,-0.11976647206005471,4796
IC0000,73,-0.10921465968586673,4775
IC0000,74,-0.11362489486964746,4756
IC0000,75,-0.11909186906018769,4735
IC0000,76,-0.11846349745331046,4712
IC0000,77,-0.12399744027304495,4688
IC0000,78,-0.1235268909363611,4667
IC0000,79,-0.12460180800688639,4646
IC0000,80,-0.11604347826086842,4600
IC0000,81,-0.10271572492335325,4566
IC0000,82,-0.1010167992926686,4524
IC0000,83,-0.10334001336005251,4491
IC0000,84,-0.09961823489782198,4453
IC0000,85,-0.11131047013399364,4403
IC0000,86,-0.11360919540229693,4350
IC0000,87,-0.11915191053121804,4292
IC0000,88,-0.1305987741631265,4242
IC0000,89,-0.11887694145758336,4185
IC0000,90,-0.10753441197777902,4141
IC0000,91,-0.10549125831074917,4061
IC0000,92,-0.09643753135975541,3986
IC0000,93,-0.09837108679051365,3929
IC0000,94,-0.09882964889466296,3845
IC0000,95,-0.0813586520460035,3739
IC0000,96,-0.07020396912899338,3628
IC0000,97,-0.07436115843270343,3522
IC0000,98,-0.06899766899767197,3432
IC0000,99,-0.05466546654666635,3333
IC0000,100,-0.06612853151195648,3221
IC0000,101,-0.07282922140338213,3121
IC0000,102,-0.05379999999997835,3000
IC0000,103,-0.037583421145049964,2847
IC0000,104,-0.0512924667651234,2708
IC0000,105,-0.025311526479737674,2568
IC0000,106,-0.003760330578501648,2420
IC0000,107,0.01208888888890053,2250
IC0000,108,0.03108108108107871,2072
IC0000,109,0.04580310880830458,1930
IC0000,110,0.08510028653298464,1745
IC0000,111,0.11916771752837728,1586
IC0000,112,0.18546224417786694,1417
IC0000,113,0.1874103585657601,1255
IC0000,114,0.3555658627087183,1078
IC0000,115,0.3744774477447801,909
IC0000,116,0.35969316596933765,717
IC0000,117,0.4619133574007411,554
IC0000,118,0.6733333333333855,390
IC0000,119,0.9677042801556661,257
IC0000,120,1.1040983606557289,122
IF0000,1,0.0,4829
IF0000,2,0.002899150962921172,4829
IF0000,3,0.010229861254912195,4829
IF0000,4,0.008034789811550234,4829
IF0000,5,0.0046386415406822566,4829
IF0000,6,-0.003623938703666956,4829
IF0000,7,-0.004928556636993584,4829
IF0000,8,-0.009111617312081745,4829
IF0000,9,-0.015696831642174124,4829
IF0000,10,-0.015738248084493874,4829
IF0000,11,-0.012155725823156839,4829
IF0000,12,-0.01240422447712977,4829
IF0000,13,-0.011265272313114067,4829
IF0000,14,-0.012901221785053976,4829
IF0000,15,-0.01519983433424182,4829
