code,tick,mean,n
IC0000,1,0.0,3944
IC0000,2,0.006389452332652543,3944
IC0000,3,0.019776876267734413,3944
IC0000,4,0.03050202839755928,3944
IC0000,5,0.037018255578096536,3944
IC0000,6,0.03762677484785902,3944
IC0000,7,0.0391227180527287,3944
IC0000,8,0.0293610547667198,3944
IC0000,9,0.02702839756591079,3944
IC0000,10,0.029462474645011703,3944
IC0000,11,0.027079107505061817,3944
IC0000,12,0.03164300202838608,3944
IC0000,13,0.0356490872210756,3944
IC0000,14,0.04077079107503761,3944
IC0000,15,0.04137931034480333,3944
IC0000,16,0.040010141987819055,3944
IC0000,17,0.0409482758620602,3944
IC0000,18,0.04505578093305338,3944
IC0000,19,0.04437119675454913,3944
IC0000,20,0.04797160243406158,3944
IC0000,21,0.04648744610701916,3943
IC0000,22,0.04783160030432582,3943
IC0000,23,0.04658889170682332,3943
IC0000,24,0.04878234398781933,3942
IC0000,25,0.056356254757675577,3941
IC0000,26,0.05488454706927157,3941
IC0000,27,0.053488962192330784,3941
IC0000,28,0.05876681045418938,3941
IC0000,29,0.05780258817558677,3941
IC0000,30,0.055253807106594784,3940
IC0000,31,0.056896113792217186,3937
IC0000,32,0.052517802644948666,3932
IC0000,33,0.05152671755724011,3930
IC0000,34,0.0441813088871785,3927
IC0000,35,0.04530851606321862,3922
IC0000,36,0.048048967100217145,3921
IC0000,37,0.052081736909306994,3915
IC0000,38,0.05368098159508552,3912
IC0000,39,0.06233034571061356,3905
IC0000,40,0.06984860148830983,3897
IC0000,41,0.07232074016960832,3891
IC0000,42,0.06963687870201637,3883
IC0000,43,0.0624161073825471,3874
IC0000,44,0.07118073537026283,3862
IC0000,45,0.0773908523908314,3848
IC0000,46,0.07916666666665932,3840
IC0000,47,0.08196549921588375,3826
IC0000,48,0.08563157894735325,3800
IC0000,49,0.08554089709761305,3790
IC0000,50,0.08337744838538091,3778
IC0000,51,0.09475086597389178,3753
IC0000,52,0.09465915190553355,3726
IC0000,53,0.09305780659102549,3702
IC0000,54,0.09171195652172158,3680
IC0000,55,0.08753766091479903,3651
IC0000,56,0.08954771097626354,3626
