code,tick,mean,n
IC0000,1,0.0,4920
IC0000,2,-0.004817073170733889,4920
IC0000,3,0.004268292682920359,4920
IC0000,4,-0.019512195121956212,4920
IC0000,5,-0.026504065040655878,4920
IC0000,6,-0.048719512195129495,4920
IC0000,7,-0.06786585365855259,4920
IC0000,8,-0.07186991869918948,4920
IC0000,9,-0.08054878048781657,4920
IC0000,10,-0.0830081300812987,4920
IC0000,11,-0.0813211382113783,4920
IC0000,12,-0.082317073170733,4920
IC0000,13,-0.0861788617886116,4920
IC0000,14,-0.08947154471544896,4920
IC0000,15,-0.09105691056910865,4920
IC0000,16,-0.09227642276424243,4920
IC0000,17,-0.0833333333333374,4920
IC0000,18,-0.08489837398374073,4920
IC0000,19,-0.0948170731707306,4920
IC0000,20,-0.10010162601627051,4920
IC0000,21,-0.10760162601626767,4920
IC0000,22,-0.10768292682927295,4920
IC0000,23,-0.10274390243902605,4920
IC0000,24,-0.1194105691057027,4920
IC0000,25,-0.11520325203252554,4920
IC0000,26,-0.12182926829268766,4920
IC0000,27,-0.12380081300812645,4920
IC0000,28,-0.1388211382113899,4920
IC0000,29,-0.1426016260162641,4920
IC0000,30,-0.15770325203251268,4920
IC0000,31,-0.15020325203252383,4920
IC0000,32,-0.14528455284553662,4920
IC0000,33,-0.14928861788618367,4920
IC0000,34,-0.1499593495934969,4920
IC0000,35,-0.15534552845527905,4920
IC0000,36,-0.16038617886178924,4920
IC0000,37,-0.16534552845528863,4920
IC0000,38,-0.1618902439024405,4920
IC0000,39,-0.1708536585365786,4920
IC0000,40,-0.1556300813008115,4920
IC0000,41,-0.15733739837397734,4920
IC0000,42,-0.15164634146340916,4920
IC0000,43,-0.1530487804878095,4920
IC0000,44,-0.15869918699186775,4920
IC0000,45,-0.1499085179914579,4919
IC0000,46,-0.1485871112014568,4919
IC0000,47,-0.15773531205528923,4919
IC0000,48,-0.1607033949989863,4919
IC0000,49,-0.15155519414515034,4919
IC0000,50,-0.148139865826383,4919
IC0000,51,-0.16127261638544294,4919
IC0000,52,-0.15035576336655057,4919
IC0000,53,-0.15161618215084408,4919
IC0000,54,-0.14032126880845547,4918
IC0000,55,-0.14172427816185423,4918
IC0000,56,-0.13186902582876728,4917
IC0000,57,-0.12942851332113145,4917
IC0000,58,-0.13321806346623263,4916
IC0000,59,-0.12160732451679197,4915
IC0000,60,-0.11009155645982548,4915
IC0000,61,-0.11365208545270201,4915
IC0000,62,-0.09332383472420942,4913
IC0000,63,-0.0954175152749502,4910
IC0000,64,-0.09309431656142578,4909
IC0000,65,-0.08677938480342302,4909
IC0000,66,-0.09420998980631311,4905
IC0000,67,-0.07687755102041927,4900
IC0000,68,-0.08391180073499388,4898
IC0000,69,-0.07537267714928275,4897
IC0000,70,-0.08032686414708902,4895
IC0000,71,-0.07360457984052769,4891
IC0000,72,-0.053087934560328016,4890
IC0000,73,-0.04479443649008386,4889
IC0000,74,-0.048115526423596254,4882
IC0000,75,-0.04603696098561989,4870
IC0000,76,-0.04799423986835523,4861
IC0000,77,-0.03666529266282313,4852
IC0000,78,-0.04595990907212922,4839
IC0000,79,-0.025787728026543725,4824
IC0000,80,-0.02711231056675589,4817
IC0000,81,-0.011870054144115334,4802
IC0000,82,-0.010311650282370978,4781
IC0000,83,0.004828889355436408,4763
IC0000,84,-0.005582473140937054,4747
IC0000,85,-0.0005721551176181047,4719
IC0000,86,-0.0020038371349366474,4691
IC0000,87,0.003992273019959881,4659
IC0000,88,0.016150681965786846,4619
IC0000,89,0.02147694996722947,4577
IC0000,90,0.0200088339222702,4528
IC0000,91,0.022054246331707588,4498
IC0000,92,0.027332131590798513,4438
IC0000,93,0.05075480329368515,4372
IC0000,94,0.05823433496388942,4293
IC0000,95,0.05976711026616315,4208
IC0000,96,0.05574127906977436,4128
IC0000,97,0.0692497532082905,4052
IC0000,98,0.07976761808537881,3959
IC0000,99,0.07003358305346995,3871
IC0000,100,0.09471587891661754,3766
IC0000,101,0.1040417926862863,3637
IC0000,102,0.13459891521554018,3503
IC0000,103,0.1349451201423933,3371
IC0000,104,0.1740786621245011,3229
IC0000,105,0.17558214747735612,3092
IC0000,106,0.1892103471749516,2938
IC0000,107,0.23213768115940836,2760
IC0000,108,0.25210889570551415,2608
IC0000,109,0.2727048167970402,2429
IC0000,110,0.33101913662661453,2247
IC0000,111,0.3743354277428569,2069
IC0000,112,0.35866376969035857,1841
IC0000,113,0.375535168195717,1635
IC0000,114,0.5035940803382557,1419
IC0000,115,0.5379851362510277,1211
IC0000,116,0.5841439688715591,1028
IC0000,117,0.6338689740420128,809
IC0000,118,0.8567612687812578,599
IC0000,119,0.8746341463414599,410
IC0000,120,1.0260663507109264,211
IC0000,121,5.474999999999909,4
IC0000,122,2.0,3
IC0000,123,-4.899999999999636,1
IF0000,1,0.0,4895
IF0000,2,0.01223697650663666,4895
IF0000,3,-0.003084780388160539,4895
IF0000,4,-0.012543411644540089,4895
IF0000,5,-0.02402451481104493,4895
IF0000,6,-0.031133810010221398,4895
IF0000,7,-0.04422880490296759,4895
