code,tick,mean,n
IC0000,1,0.0,5155
IC0000,2,0.03264791464596688,5155
IC0000,3,0.07165858389911993,5155
IC0000,4,0.09555771096022739,5155
IC0000,5,0.1165858389912655,5155
IC0000,6,0.1345877788554595,5155
IC0000,7,0.13561590688650707,5155
IC0000,8,0.11955383123181522,5155
IC0000,9,0.11714839961202408,5155
IC0000,10,0.10956353055285376,5155
IC0000,11,0.09957322987390321,5155
IC0000,12,0.1061881668283126,5155
IC0000,13,0.09577109602328328,5155
IC0000,14,0.0834529582929161,5155
IC0000,15,0.06801163918525358,5155
IC0000,16,0.05613967022307126,5155
IC0000,17,0.0608923375363618,5155
IC0000,18,0.043006789524731116,5155
IC0000,19,0.03906886517943843,5155
IC0000,20,0.046692531522790015,5155
IC0000,21,0.031425800193981654,5155
IC0000,22,0.03231813773035189,5155
IC0000,23,0.02570320077593792,5155
IC0000,24,0.03963142580018414,5155
IC0000,25,0.029873908826372097,5155
IC0000,26,0.040329776915614776,5155
IC0000,27,0.027002909796308223,5155
IC0000,28,0.029699321047519864,5155
IC0000,29,0.02032977691560924,5155
IC0000,30,0.003666343355955661,5155
IC0000,31,0.006750727449072248,5155
IC0000,32,0.00564500484964895,5155
IC0000,33,0.005160038797282497,5155
IC0000,34,0.012706110572255179,5155
IC0000,35,0.011425800193976647,5155
IC0000,36,0.011658583899115135,5155
IC0000,37,0.022483026188155994,5155
IC0000,38,0.012453928225027212,5155
IC0000,39,0.026634335596504046,5155
IC0000,40,0.0067313288069827705,5155
IC0000,41,-0.010261881668284737,5155
IC0000,42,-0.011619786614941119,5155
IC0000,43,-0.006711930164884999,5155
IC0000,44,-0.007468477206610005,5155
IC0000,45,0.005063045586800878,5155
IC0000,46,-0.0032201745877877474,5155
IC0000,47,0.0045004849660444015,5155
IC0000,48,0.0033753637245300372,5155
IC0000,49,0.004151309408336229,5155
IC0000,50,0.007720659553815388,5155
IC0000,51,0.009582929194948697,5155
IC0000,52,0.014238603297763263,5155
IC0000,53,-0.00021338506305677244,5155
IC0000,54,-0.005295829291966183,5155
IC0000,55,0.005431619786607703,5155
IC0000,56,0.007837051406395835,5155
IC0000,57,0.012958292919490555,5155
IC0000,58,0.015945683802119526,5155
IC0000,59,0.017710960232774037,5155
IC0000,60,0.021532492725501805,5155
IC0000,61,0.021222114451982996,5155
IC0000,62,0.026440349175550337,5155
IC0000,63,0.03301648884576523,5155
IC0000,64,0.041551891367594705,5155
IC0000,65,0.026833527357386176,5154
IC0000,66,0.035758634070618966,5154
IC0000,67,0.022584400465646907,5154
IC0000,68,0.02993791230112961,5154
IC0000,69,0.02953046177726105,5154
IC0000,70,0.02663950329840692,5154
IC0000,71,0.010438494373296326,5154
IC0000,72,0.02055113526101205,5153
IC0000,73,0.021156832298128526,5152
IC0000,74,0.01764363354036642,5152
IC0000,75,0.016750776397507973,5152
IC0000,76,0.014751552795033351,5152
IC0000,77,0.0030279503105525452,5152
IC0000,78,0.003454968944095354,5152
IC0000,79,0.006948757763971307,5152
IC0000,80,0.00887206367695519,5151
IC0000,81,0.018916294426108798,5149
IC0000,82,0.021208001553705363,5149
IC0000,83,0.02139110161259629,5147
IC0000,84,0.014691022153125356,5146
IC0000,85,0.017722502914881248,5146
IC0000,86,0.032517006802718115,5145
IC0000,87,0.0264683002722659,5142
IC0000,88,0.02493673350203185,5137
IC0000,89,0.015095442150366184,5134
IC0000,90,0.026593877948909158,5129
IC0000,91,0.031249999999993783,5120
IC0000,92,0.03711380524050737,5114
IC0000,93,0.035989817896991856,5107
IC0000,94,0.028246371125918,5098
IC0000,95,0.028664047151267472,5090
IC0000,96,0.030331099724074172,5074
IC0000,97,0.027075098814224575,5060
IC0000,98,0.04030531324344661,5044
IC0000,99,0.03792347548823113,5018
IC0000,100,0.044119999999992617,5000
IC0000,101,0.04959709911361288,4964
IC0000,102,0.06320907617503997,4936
IC0000,103,0.06794111633611777,4891
IC0000,104,0.07748138957815846,4836
