code,tick,mean,n
IC0000,1,0.0,3744
IC0000,2,0.004887820512805986,3744
IC0000,3,0.002911324786318616,3744
IC0000,4,0.0035523504273400302,3744
IC0000,5,-0.03282585470086966,3744
IC0000,6,-0.0488782051282044,3744
IC0000,7,-0.052323717948724896,3744
IC0000,8,-0.05392628205129167,3744
IC0000,9,-0.03683226495726583,3744
IC0000,10,-0.0340277777777806,3744
IC0000,11,-0.0371527777777854,3744
IC0000,12,-0.06148504273504779,3744
IC0000,13,-0.06581196581198297,3744
IC0000,14,-0.0770833333333412,3744
IC0000,15,-0.09548611111112326,3744
IC0000,16,-0.10643696581197067,3744
IC0000,17,-0.1117521367521454,3744
IC0000,18,-0.11706730769231478,3744
IC0000,19,-0.14620726495728284,3744
IC0000,20,-0.14879807692308528,3744
IC0000,21,-0.16581196581196755,3744
IC0000,22,-0.15643696581197403,3744
IC0000,23,-0.1651976495726554,3744
IC0000,24,-0.16100427350428617,3744
IC0000,25,-0.17443910256410583,3744
IC0000,26,-0.180128205128214,3744
IC0000,27,-0.1873130341880425,3744
IC0000,28,-0.19524572649574204,3744
IC0000,29,-0.19078525641026836,3744
IC0000,30,-0.18701923076925162,3744
IC0000,31,-0.19569978632479598,3744
IC0000,32,-0.18779380341881494,3744
IC0000,33,-0.18704594017094897,3744
IC0000,34,-0.18301282051283163,3744
IC0000,35,-0.17478632478633513,3744
IC0000,36,-0.17903311965813454,3744
IC0000,37,-0.16169871794872465,3744
IC0000,38,-0.17745726495727943,3744
IC0000,39,-0.1664529914530016,3744
IC0000,40,-0.16295405982907157,3744
IC0000,41,-0.15438034188034455,3744
IC0000,42,-0.1441624365482356,3743
IC0000,43,-0.1431472081218338,3743
IC0000,44,-0.13107133315523994,3743
IC0000,45,-0.14726155490248896,3743
IC0000,46,-0.1414484233030536,3742
IC0000,47,-0.1377071084981384,3742
IC0000,48,-0.12684491978609932,3740
IC0000,49,-0.13763038245520956,3739
IC0000,50,-0.1346359743040712,3736
IC0000,51,-0.12101740294512961,3735
IC0000,52,-0.11968356127648387,3729
IC0000,53,-0.13684916800859967,3726
IC0000,54,-0.12476497448294972,3723
IC0000,55,-0.11922559827911892,3719
IC0000,56,-0.12160344363735197,3717
IC0000,57,-0.11624023700511676,3713
IC0000,58,-0.12212938005391655,3710
IC0000,59,-0.12325330455895372,3707
IC0000,60,-0.12118346392867137,3701
IC0000,61,-0.1272653502840308,3697
IC0000,62,-0.1189907759088503,3686
IC0000,63,-0.14760869565218598,3680
IC0000,64,-0.1364404469882934,3669
IC0000,65,-0.14397590361447757,3652
IC0000,66,-0.10850947021686777,3643
IC0000,67,-0.11895172413793827,3625
IC0000,68,-0.12260748959780735,3605
IC0000,69,-0.12026763311960377,3587
IC0000,70,-0.11611639619474666,3574
IC0000,71,-0.10863815419245854,3554
IC0000,72,-0.10844431850382617,3529
IC0000,73,-0.09960045662101027,3504
IC0000,74,-0.09225676453656462,3474
IC0000,75,-0.09143189079292668,3443
IC0000,76,-0.11392070484583224,3405
IC0000,77,-0.10988423864649419,3369
IC0000,78,-0.13021021021023518,3330
IC0000,79,-0.1265250379362816,3295
IC0000,80,-0.15022984983146206,3263
IC0000,81,-0.15235129243228726,3211
IC0000,82,-0.16230647709323534,3165
IC0000,83,-0.16452442159384145,3112
IC0000,84,-0.14401178010472288,3056
IC0000,85,-0.15408637873754913,3010
IC0000,86,-0.15536742295971562,2953
IC0000,87,-0.13739220420836754,2899
IC0000,88,-0.13645024700071848,2834
IC0000,89,-0.13043006866644893,2767
IC0000,90,-0.11852952098032873,2693
IC0000,91,-0.11357552581263063,2615
IC0000,92,-0.12021276595745341,2538
IC0000,93,-0.0875710804224313,2462
IC0000,94,-0.07793132328308527,2388
IC0000,95,-0.08190517616354866,2299
