code,window,imb,n,p_up_close
IM0000,whole afternoon (13:30-14:59),-0.1,15773,0.5203
IM0000,whole afternoon (13:30-14:59),-0.033,11487,0.5194
IM0000,whole afternoon (13:30-14:59),0.033,6194,0.4935
IM0000,whole afternoon (13:30-14:59),0.1,1642,0.5438
IM0000,whole afternoon (13:30-14:59),0.167,170,0.6471
IM0000,whole afternoon (13:30-14:59),0.233,30,0.0
IM0000,whole afternoon (13:30-14:59),0.3,1,0.0
IM0000,last 30 min (14:30-14:59),-0.367,16,1.0
IM0000,last 30 min (14:30-14:59),-0.3,112,0.6607
IM0000,last 30 min (14:30-14:59),-0.233,1442,0.5485
IM0000,last 30 min (14:30-14:59),-0.167,4897,0.5346
IM0000,last 30 min (14:30-14:59),-0.1,5348,0.5348
IM0000,last 30 min (14:30-14:59),-0.033,3704,0.5059
IM0000,last 30 min (14:30-14:59),0.033,2157,0.4859
IM0000,last 30 min (14:30-14:59),0.1,534,0.5318
IM0000,last 30 min (14:30-14:59),0.167,39,0.7949
