code,h,imb,n,p_up
IM0000,1,0.3,12,0.4167
IM0000,5,-0.367,70,0.4286
IM0000,5,-0.3,704,0.5099
IM0000,5,-0.233,6648,0.4823
IM0000,5,-0.167,20062,0.4992
IM0000,5,-0.1,22507,0.504
IM0000,5,-0.033,15944,0.5152
IM0000,5,0.033,8478,0.4907
IM0000,5,0.1,2526,0.4885
IM0000,5,0.167,432,0.5486
IM0000,5,0.233,88,0.6023
IM0000,5,0.3,12,0.3333
IM0000,30,-0.367,56,0.6607
IM0000,30,-0.3,535,0.5738
IM0000,30,-0.233,4839,0.496
IM0000,30,-0.167,14284,0.4985
IM0000,30,-0.1,15891,0.4889
IM0000,30,-0.033,11476,0.5191
IM0000,30,0.033,6026,0.4723
IM0000,30,0.1,1820,0.461
IM0000,30,0.167,305,0.4459
IM0000,30,0.233,62,0.2419
IM0000,30,0.3,3,0.0
