product,thr_ticks,month,bucket,active,hit_rate,mean_ret,total
IC0000,1,ALL,09:30,1038,0.5144508670520231,4.8763973826207906e-05,0.05061700483160381
IC0000,1,ALL,10:00,1059,0.5193578847969783,3.5365107869869664e-05,0.037451649234191975
IC0000,1,ALL,10:30,1078,0.5,-1.4341755195647171e-05,-0.01546041210090765
IC0000,1,ALL,11:00,1039,0.4966313763233879,-2.6257019714366825e-06,-0.002728104348322713
IC0000,1,ALL,13:00,1001,0.4745254745254745,-1.02390380262937e-05,-0.010249277064319995
IC0000,1,ALL,13:30,1078,0.4675324675324675,-2.2479449232301436e-05,-0.02423284627242095
IC0000,1,ALL,14:00,1029,0.49076773566569487,-6.341749299799758e-06,-0.0065256600294939515
IC0000,1,ALL,14:30,999,0.47047047047047047,-1.6579635013638096e-05,-0.01656305537862446
IC0000,1,2023-01,09:30,409,0.49877750611246946,2.2043799880141864e-05,0.009015914150978022
IC0000,1,2023-01,10:00,422,0.5355450236966824,5.8374733086936133e-05,0.024634137362687047
IC0000,1,2023-01,10:30,411,0.49878345498783455,-3.274713428863959e-06,-0.0013459072192630872
IC0000,1,2023-01,11:00,403,0.511166253101737,2.010114323620643e-05,0.008100760724191192
IC0000,1,2023-01,13:00,389,0.4498714652956298,-3.396573131829839e-05,-0.013212669482818074
IC0000,1,2023-01,13:30,413,0.48668280871670705,-8.16304306633308e-06,-0.0033713367863955623
IC0000,1,2023-01,14:00,393,0.5012722646310432,-2.757105633532422e-06,-0.0010835425139782418
IC0000,1,2023-01,14:30,389,0.455012853470437,-3.1224993301007646e-05,-0.012146522394091974
IC0000,1,2023-02,09:30,553,0.5280289330922242,7.37580622261457e-05,0.04078820841105857
IC0000,1,2023-02,10:00,554,0.5072202166064982,1.9797476821387726e-05,0.0109678021590488
IC0000,1,2023-02,10:30,582,0.4965635738831615,-2.7511193486517103e-05,-0.016011514609152955
IC0000,1,2023-02,11:00,552,0.49818840579710144,-6.809262933335865e-06,-0.0037587131392013973
IC0000,1,2023-02,13:00,534,0.4868913857677903,9.847520377506369e-06,0.005258575881588401
IC0000,1,2023-02,13:30,579,0.45768566493955093,-3.533227775026578e-05,-0.020457388817403888
IC0000,1,2023-02,14:00,558,0.5017921146953405,4.072314298577333e-06,0.002272351378606152
IC0000,1,2023-02,14:30,532,0.4755639097744361,-1.0332715727111152e-05,-0.0054970047668231325
IC0000,1,2023-03,09:30,76,0.5,1.0695819336410745e-05,0.0008128822695672167
IC0000,1,2023-03,10:00,83,0.5180722891566265,2.2285659186218395e-05,0.0018497097124561268
IC0000,1,2023-03,10:30,85,0.5294117647058824,2.231776150009873e-05,0.001897009727508392
IC0000,1,2023-03,11:00,84,0.4166666666666667,-8.416847539657746e-05,-0.007070151933312507
IC0000,1,2023-03,13:00,78,0.5128205128205128,-2.942542901397849e-05,-0.0022951834630903223
IC0000,1,2023-03,13:30,86,0.4418604651162791,-4.699077542110457e-06,-0.0004041206686214993
IC0000,1,2023-03,14:00,78,0.358974358974359,-9.890344736053669e-05,-0.007714468894121862
IC0000,1,2023-03,14:30,78,0.5128205128205128,1.3852202337059595e-05,0.0010804717822906484
IC0000,2,ALL,09:30,987,0.5187436676798379,5.7966290792380356e-05,0.05721272901207941
IC0000,2,ALL,10:00,1003,0.5214356929212363,3.7595034630330445e-05,0.03770781973422144
IC0000,2,ALL,10:30,1013,0.5034550839091807,-1.2878862990951848e-05,-0.013046288209834223
IC0000,2,ALL,11:00,981,0.5005096839959225,-2.2608886633503975e-06,-0.00221793177874674
IC0000,2,ALL,13:00,926,0.4838012958963283,-4.822230216180611e-06,-0.004465385180183246
IC0000,2,ALL,13:30,1014,0.46745562130177515,-2.0971855573424207e-05,-0.021265461551452147
IC0000,2,ALL,14:00,959,0.49009384775808135,-7.5226146147230236e-06,-0.00721418741551938
IC0000,2,ALL,14:30,932,0.47103004291845496,-1.5929791327248607e-05,-0.014846565516995702
IC0000,2,2023-01,09:30,382,0.5026178010471204,3.347046689012512e-05,0.012785718352027797
IC0000,2,2023-01,10:00,391,0.5396419437340153,6.404370119047013e-05,0.02504108716547382
IC0000,2,2023-01,10:30,377,0.506631299734748,-3.8102816817827267e-06,-0.001436476194032088
IC0000,2,2023-01,11:00,374,0.5,9.566198866037193e-06,0.0035777583758979103
IC0000,2,2023-01,13:00,355,0.4619718309859155,-2.5575182305788522e-05,-0.009079189718554925
IC0000,2,2023-01,13:30,387,0.4883720930232558,-3.0503872227529925e-06,-0.001180499855205408
IC0000,2,2023-01,14:00,357,0.4957983193277311,-7.060975425037258e-06,-0.0025207682267383014
IC0000,2,2023-01,14:30,364,0.45604395604395603,-3.0220425817568237e-05,-0.011000234997594838
IC0000,2,2023-02,09:30,534,0.5318352059925093,8.167104500331649e-05,0.043612338031771
IC0000,2,2023-02,10:00,530,0.5094339622641509,2.049839005518064e-05,0.010864146729245738
IC0000,2,2023-02,10:30,555,0.4972972972972973,-2.3628403031790485e-05,-0.01311376368264372
IC0000,2,2023-02,11:00,530,0.5094339622641509,-7.071316976624198e-07,-0.00037477979976108244
IC0000,2,2023-02,13:00,497,0.49295774647887325,1.1412177509714554e-05,0.005671852222328133
IC0000,2,2023-02,13:30,549,0.45719489981785066,-3.544973521304303e-05,-0.019461904631960625
IC0000,2,2023-02,14:00,530,0.5018867924528302,4.160449595034381e-06,0.0022050382853682216
IC0000,2,2023-02,14:30,497,0.47283702213279677,-1.2595535666992986e-05,-0.006259981226495515
IC0000,2,2023-03,09:30,71,0.5070422535211268,1.1474262370149443e-05,0.0008146726282806105
IC0000,2,2023-03,10:00,82,0.5121951219512195,2.198275414026683e-05,0.0018025858395018801
IC0000,2,2023-03,10:30,81,0.5308641975308642,1.8567304528908462e-05,0.0015039516668415853
IC0000,2,2023-03,11:00,77,0.44155844155844154,-7.040143318030608e-05,-0.005420910354883568
IC0000,2,2023-03,13:00,74,0.527027027027027,-1.4297941675087208e-05,-0.0010580476839564534
IC0000,2,2023-03,13:30,78,0.4358974358974359,-7.987911080591211e-06,-0.0006230570642861144
IC0000,2,2023-03,14:00,72,0.375,-9.581190936318472e-05,-0.0068984574741493
IC0000,2,2023-03,14:30,71,0.5352112676056338,3.399508038161479e-05,0.00241365070709465
