metric,rank_corr,p_value,n
is_vr,-0.19747899159663868,0.24718272429075538,35
is_noise,-0.21792717086834737,0.199587886185705,35
is_dd,-0.07170868347338935,0.6796079035946632,35
is_tsmom,0.1753501400560224,0.3062309687307323,35
