code,year,n,k_ticks,k_pts,s_sum,s_ss,s_n,hits
IC0000,2016,30,13,2.6,150288.54999998832,9149080.428750018,1285077,628482
IC0000,2016,30,20,4.0,91105.69999999576,6597445.386250011,708560,349621
IC0000,2016,30,30,6.0,49489.17499999824,4238417.628124999,329120,163064
IC0000,2017,1,0,0.0,199054.2999999802,5801584.8600000655,3558731,1391509
IC0000,2017,1,2,0.4,-156243.50000002675,2207775.355000021,963239,535462
IC0000,2017,1,4,0.8,-152432.15000001655,1203482.3675000172,463500,282167
IC0000,2017,1,6,1.2,-92838.60000000717,580793.5050000107,178286,117564
IC0000,2017,1,8,1.6,-55399.10000000246,328333.82000000565,79012,55139
IC0000,2017,1,13,2.6,-14242.550000000374,92225.33250000089,11930,9108
IC0000,2017,1,20,4.0,-2331.650000000005,25958.467499999948,1291,1006
IC0000,2017,1,30,6.0,-248.70000000000346,10989.270000000071,170,120
IC0000,2017,2,0,0.0,247618.69999997233,6072493.580000066,3558243,1435979
IC0000,2017,2,2,0.4,-39809.25000003784,2939526.342500021,1296512,665672
IC0000,2017,2,4,0.8,-98670.8500000209,1647364.3425000177,637294,354991
IC0000,2017,2,6,1.2,-83690.4000000101,859380.4700000103,270678,163540
IC0000,2017,2,8,1.6,-59147.95000000404,504591.95250000554,130027,83296
IC0000,2017,2,13,2.6,-19661.85000000069,163819.7875000014,22466,15972
IC0000,2017,2,20,4.0,-4215.300000000037,57290.6349999999,2962,2218
IC0000,2017,2,30,6.0,-700.6999999999916,21261.1449999998,433,299
IC0000,2017,3,0,0.0,236188.39999997243,6394024.315000074,3557755,1536080
IC0000,2017,3,2,0.4,13362.64999995567,3616036.3625000245,1638307,820235
IC0000,2017,3,4,0.8,-71048.20000002623,2146425.020000018,860260,460143
IC0000,2017,3,6,1.2,-80195.90000001343,1184029.8100000124,392769,225626
IC0000,2017,3,8,1.6,-62759.950000005796,725913.8425000088,198872,120174
IC0000,2017,3,13,2.6,-24498.250000001113,242226.39250000232,37300,25062
IC0000,2017,3,20,4.0,-5695.350000000074,82458.45249999997,5180,3679
IC0000,2017,3,30,6.0,-1135.0500000000002,31872.09749999973,826,573
IC0000,2017,5,0,0.0,231908.5999999734,6554133.980000074,3556779,1586377
IC0000,2017,5,2,0.4,101050.1999999536,4394127.145000041,2044826,992664
IC0000,2017,5,4,0.8,-2789.0000000309064,2868486.2950000223,1196485,607662
IC0000,2017,5,6,1.2,-49870.250000018175,1742667.8325000147,622272,333742
IC0000,2017,5,8,1.6,-54850.65000000936,1142435.52750001,348947,195720
IC0000,2017,5,13,2.6,-30613.60000000193,419472.77500000264,78072,48193
IC0000,2017,5,20,4.0,-9076.700000000306,144485.55500000063,12071,8075
IC0000,2017,5,30,6.0,-1917.1000000000204,60309.75499999979,1959,1297
IC0000,2017,10,0,0.0,204920.59999997576,6667813.205000079,3554339,1629800
IC0000,2017,10,2,0.4,152059.29999995985,5201321.960000057,2501140,1196202
IC0000,2017,10,4,0.8,76504.24999996623,3944102.9125000355,1741726,849619
IC0000,2017,10,6,1.2,9172.049999975916,2797590.6075000223,1101666,554792
IC0000,2017,10,8,1.6,-23813.900000015114,2063331.5950000158,724134,376203
IC0000,2017,10,13,2.6,-39400.2500000051,930492.742500006,225371,127073
IC0000,2017,10,20,4.0,-17654.300000000887,342275.2950000013,45369,27657
IC0000,2017,10,30,6.0,-4085.4500000001262,121604.33750000024,7448,4655
IC0000,2017,20,0,0.0,145379.9499999806,6688815.417500074,3549459,1659995
IC0000,2017,20,2,0.4,125913.04999996841,5721897.052500063,2826992,1355147
IC0000,2017,20,4,0.8,87865.94999997022,4818611.902500048,2239832,1082598
IC0000,2017,20,6,1.2,42460.6999999753,3879225.5050000343,1662925,814660
IC0000,2017,20,8,1.6,10073.09999998126,3183758.9500000295,1260199,627185
IC0000,2017,20,13,2.6,-32669.750000009637,1808945.0375000148,555760,290060
IC0000,2017,20,20,4.0,-25764.85000000212,805125.1225000055,159252,87972
IC0000,2017,20,30,6.0,-7087.300000000441,325714.05000000057,32334,18348
IC0000,2017,30,0,0.0,105642.94999998287,6674176.342500082,3544579,1673740
IC0000,2017,30,2,0.4,93801.09999997269,5912555.39500006,2961910,1425981
IC0000,2017,30,4,0.8,71857.24999997349,5177895.197500056,2470099,1194497
IC0000,2017,30,6,1.2,42040.949999976234,4386378.147500044,1960402,955385
IC0000,2017,30,8,1.6,19265.799999980507,3769108.650000037,1579256,776461
IC0000,2017,30,13,2.6,-18766.05000001194,2421917.4025000194,829798,419534
IC0000,2017,30,20,4.0,-25029.10000000297,1225400.37000001,298629,156908
IC0000,2017,30,30,6.0,-8312.700000000754,517997.0600000029,74256,39896
IC0000,2018,1,0,0.0,67107.67499997483,9818094.550625078,3985159,1689517
IC0000,2018,1,2,0.4,-312259.4250000312,4491109.2431250345,1413906,794489
IC0000,2018,1,4,0.8,-309876.4750000223,2805754.4443750284,804879,486855
IC0000,2018,1,6,1.2,-221004.350000012,1546567.921250019,375728,243508
IC0000,2018,1,8,1.6,-153584.50000000527,944562.8762500117,195905,133469
IC0000,2018,1,13,2.6,-53439.80000000116,299219.9025000038,40173,30102
IC0000,2018,1,20,4.0,-10133.850000000131,61668.74375000089,4708,3821
IC0000,2018,1,30,6.0,-1435.1750000000206,13458.29562500013,510,400
IC0000,2018,2,0,0.0,154285.04999996652,10063457.760000085,3984673,1706896
IC0000,2018,2,2,0.4,-122795.00000004342,5501502.278750038,1737233,904087
IC0000,2018,2,4,0.8,-185582.775000026,3406731.3381250277,972338,538713
IC0000,2018,2,6,1.2,-169761.3250000141,1980216.5006250162,486623,288023
IC0000,2018,2,8,1.6,-134632.3250000068,1255991.7568750114,268760,167294
IC0000,2018,2,13,2.6,-59434.25000000154,422901.05000000476,61861,42692
IC0000,2018,2,20,4.0,-16028.975000000193,113457.72437500101,9531,7222
IC0000,2018,2,30,6.0,-2766.900000000043,24659.84625000049,1118,853
IC0000,2018,3,0,0.0,85058.69999996803,10512278.108750094,3984187,1819854
IC0000,2018,3,2,0.4,-99998.65000004851,6617729.216250051,2138348,1099808
IC0000,2018,3,4,0.8,-172303.40000003143,4343597.106250032,1279178,692271
IC0000,2018,3,6,1.2,-170096.72500001919,2652592.9668750223,684965,390525
IC0000,2018,3,8,1.6,-143681.55000001044,1735129.947500013,395265,235156
IC0000,2018,3,13,2.6,-69876.65000000235,610599.4987500058,96803,63177
IC0000,2018,3,20,4.0,-21271.650000000314,168895.00500000146,15941,11455
IC0000,2018,3,30,6.0,-4093.150000000016,38114.53875000035,1949,1466
IC0000,2018,5,0,0.0,63724.89999996841,10713769.753750112,3983215,1869152
IC0000,2018,5,2,0.4,-29153.525000050722,7730734.13312505,2554139,1287459
IC0000,2018,5,4,0.8,-106173.07500003709,5452157.344375036,1657668,864746
IC0000,2018,5,6,1.2,-136756.90000002398,3638133.8287500255,988177,536253
IC0000,2018,5,8,1.6,-135281.6750000147,2560215.07187502,624535,350872
IC0000,2018,5,13,2.6,-85131.75000000448,1018493.1262500071,184307,112387
IC0000,2018,5,20,4.0,-31524.150000000667,308680.65125000203,35487,23586
IC0000,2018,5,30,6.0,-6900.300000000086,77094.69125000034,4818,3361
IC0000,2018,10,0,0.0,46286.624999970794,10858088.233125102,3980785,1906911
IC0000,2018,10,2,0.4,10194.024999956115,8834980.08562507,2981872,1485533
IC0000,2018,10,4,0.8,-41083.85000003794,7028735.717500048,2223992,1127431
IC0000,2018,10,6,1.2,-85008.50000002903,5300921.0425000405,1539637,799046
IC0000,2018,10,8,1.6,-104854.3500000201,4125921.2037500255,1104202,585374
IC0000,2018,10,13,2.6,-100612.30000000833,2072232.7025000122,435824,245089
IC0000,2018,10,20,4.0,-52629.60000000174,781092.032500004,113224,67982
IC0000,2018,10,30,6.0,-15456.750000000284,230390.7600000015,20325,12807
IC0000,2018,20,0,0.0,49502.299999978866,10903861.398750098,3975925,1917370
IC0000,2018,20,2,0.4,37770.12499996745,9550773.808125068,3281056,1618674
IC0000,2018,20,4,0.8,14845.149999969377,8261170.485000064,2701786,1341536
IC0000,2018,20,6,1.2,-15724.800000026535,6906192.18375005,2115270,1061119
IC0000,2018,20,8,1.6,-37053.0000000211,5862196.363750036,1688630,855444
IC0000,2018,20,13,2.6,-60855.42500001236,3673092.356875022,877497,456032
IC0000,2018,20,20,4.0,-50187.00000000357,1777271.5987500101,319351,171243
IC0000,2018,20,30,6.0,-21498.600000000857,661119.6012500017,80083,44346
IC0000,2018,30,0,0.0,34671.599999981634,10895630.391250098,3971065,1919667
IC0000,2018,30,2,0.4,28651.97499997231,9816431.560625082,3401874,1674091
IC0000,2018,30,4,0.8,16579.77499997306,8781715.295625074,2917702,1441127
IC0000,2018,30,6,1.2,318.67499997565756,7644890.346875052,2405006,1193881
IC0000,2018,30,8,1.6,-13146.650000020793,6743894.681250053,2015011,1004993
IC0000,2018,30,13,2.6,-34844.450000013865,4674393.738750025,1201117,607150
IC0000,2018,30,20,4.0,-37377.85000000462,2609206.992500018,532045,273584
IC0000,2018,30,30,6.0,-19543.65000000147,1141841.7450000062,168662,88147
IC0000,2019,1,0,0.0,112900.22499996354,8018765.875625104,5886574,2276505
IC0000,2019,1,2,0.4,-116610.2250000617,3378223.4731250335,1524685,801192
IC0000,2019,1,4,0.8,-110215.97500002345,1475623.2856250207,514237,291400
IC0000,2019,1,6,1.2,-63771.57500000746,560207.670625009,152207,93094
IC0000,2019,1,8,1.6,-34959.775000002155,256354.60562500358,57576,37277
IC0000,2019,1,13,2.6,-7476.675000000312,44246.25062500093,6353,4640
IC0000,2019,1,20,4.0,-815.9249999999947,6993.4481250000545,546,405
IC0000,2019,1,30,6.0,-21.224999999998545,2164.153125000033,46,29
IC0000,2019,2,0,0.0,208339.07499995726,8598829.9931251,5886086,2451475
IC0000,2019,2,2,0.4,29220.074999923305,4475855.98812504,2129725,1055591
IC0000,2019,2,4,0.8,-31199.425000034764,2249624.6731250174,842151,436353
IC0000,2019,2,6,1.2,-36779.97500001157,974141.1806250097,288061,157469
IC0000,2019,2,8,1.6,-26307.175000003648,477642.05562500504,117641,67114
IC0000,2019,2,13,2.6,-7937.325000000428,83076.88812500073,13597,8627
IC0000,2019,2,20,4.0,-1160.0750000000157,12094.110625000147,1129,763
IC0000,2019,2,30,6.0,-154.32499999999618,2145.488125000044,99,65
IC0000,2019,3,0,0.0,235525.74999995713,8862802.652500113,5885598,2547147
IC0000,2019,3,2,0.4,102089.7499999187,5254543.312500053,2600797,1263578
IC0000,2019,3,4,0.8,23211.049999957824,2961178.2525000283,1173050,586314
IC0000,2019,3,6,1.2,-13461.800000017027,1472966.230000012,465439,242302
IC0000,2019,3,8,1.6,-19433.300000006166,806561.8850000071,214022,115601
IC0000,2019,3,13,2.6,-10082.950000000803,170487.74750000227,30755,18270
IC0000,2019,3,20,4.0,-1698.050000000046,24066.227500000005,2652,1689
IC0000,2019,3,30,6.0,-199.8999999999869,3304.8599999999574,211,124
IC0000,2019,5,0,0.0,236808.09999995635,9057483.130000109,5884622,2625817
IC0000,2019,5,2,0.4,155927.69999991776,6158869.490000062,3198184,1537177
IC0000,2019,5,4,0.8,76289.24999994828,3995076.3575000395,1720192,841805
IC0000,2019,5,6,1.2,15807.349999974558,2370086.3975000167,832981,419993
IC0000,2019,5,8,1.6,-9759.950000011188,1504674.2775000145,451013,234435
IC0000,2019,5,13,2.6,-16388.050000002168,455963.0525000046,94794,53261
IC0000,2019,5,20,4.0,-4307.400000000123,86195.68000000097,11454,6855
IC0000,2019,5,30,6.0,-253.65000000001555,9750.692500000005,817,475
IC0000,2019,10,0,0.0,250491.5499999581,9206049.722500117,5882182,2681200
IC0000,2019,10,2,0.4,206689.89999992697,7162670.325000079,3919544,1865967
IC0000,2019,10,4,0.8,142339.94999994192,5419779.417500045,2580401,1240437
IC0000,2019,10,6,1.2,75901.19999996218,3858239.110000036,1551919,757931
IC0000,2019,10,8,1.6,38586.24999997895,2856525.042500021,996108,493417
IC0000,2019,10,13,2.6,-1768.9500000061307,1256530.4875000098,310360,159038
IC0000,2019,10,20,4.0,-3754.750000000694,384744.52750000375,62459,33118
IC0000,2019,10,30,6.0,776.5999999999221,74764.5600000008,7627,3881
IC0000,2019,20,0,0.0,199285.24999996624,9280940.997500103,5877302,2723144
IC0000,2019,20,2,0.4,177275.84999994168,7907004.457500087,4493803,2140772
IC0000,2019,20,4,0.8,141745.2499999468,6629419.827500064,3410308,1631996
IC0000,2019,20,6,1.2,100987.29999995932,5333877.710000049,2414221,1163357
IC0000,2019,20,8,1.6,73566.89999997328,4389562.865000041,1770982,858016
IC0000,2019,20,13,2.6,31205.399999988196,2540984.5100000207,760383,371711
IC0000,2019,20,20,4.0,16140.549999997518,1120642.6375000062,232709,113281
IC0000,2019,20,30,6.0,9562.249999999445,356179.9625000037,49736,23561
IC0000,2019,30,0,0.0,154673.1499999721,9296045.282500125,5872422,2736998
IC0000,2019,30,2,0.4,141294.24999995108,8189340.897500103,4739478,2257884
IC0000,2019,30,4,0.8,114882.14999995202,7131490.252500076,3809427,1821355
IC0000,2019,30,6,1.2,82637.24999996067,6011041.167500058,2897179,1393145
IC0000,2019,30,8,1.6,59409.54999997162,5152377.04750005,2257748,1091213
IC0000,2019,30,13,2.6,23803.39999998526,3348826.9500000295,1133522,552863
IC0000,2019,30,20,4.0,14124.749999996173,1748704.9625000118,424303,206812
IC0000,2019,30,30,6.0,13463.849999998965,710329.3725000034,120585,57233
IC0000,2020,1,0,0.0,275704.3999999655,12271954.81875011,6332742,2433051
IC0000,2020,1,2,0.4,-31643.80000006892,5905608.83375003,1902816,968022
IC0000,2020,1,4,0.8,-92171.40000003087,2822299.383750019,698383,379215
IC0000,2020,1,6,1.2,-70388.3000000101,1200214.9925000088,222342,129487
IC0000,2020,1,8,1.6,-44254.750000003216,610291.640000005,90172,55145
IC0000,2020,1,13,2.6,-11065.325000000343,129466.31937500097,11883,8002
IC0000,2020,1,20,4.0,-1362.8500000000195,23585.311250000203,1162,807
IC0000,2020,1,30,6.0,-15.174999999996544,4630.278125000103,112,68
IC0000,2020,2,0,0.0,386599.69999996043,13197192.23875015,6332256,2646851
IC0000,2020,2,2,0.4,170565.7999999192,7653271.553750053,2609143,1263121
IC0000,2020,2,4,0.8,53047.59999995778,4290514.693750029,1147538,572006
IC0000,2020,2,6,1.2,-2418.15000001706,2143013.3912500106,442069,229560
IC0000,2020,2,8,1.6,-14005.425000006206,1192447.9681250048,200684,107736
IC0000,2020,2,13,2.6,-7976.075000000797,284720.03187500103,28870,16722
IC0000,2020,2,20,4.0,-1176.1750000000702,55465.96812500038,2971,1759
IC0000,2020,2,30,6.0,153.90000000001237,13783.775000000078,307,174
IC0000,2020,3,0,0.0,387398.5999999598,13551840.696250133,6331770,2752078
IC0000,2020,3,2,0.4,239840.74999991606,8831911.538750064,3145039,1506859
IC0000,2020,3,4,0.8,123852.47499995041,5514933.223125036,1578807,769721
IC0000,2020,3,6,1.2,42133.02499997743,3129828.410625017,706496,354292
IC0000,2020,3,8,1.6,9863.224999990673,1935743.7206250078,361514,186301
IC0000,2020,3,13,2.6,-5181.050000001777,570830.075000002,67703,36970
IC0000,2020,3,20,4.0,-1698.9250000001139,123186.61562500025,8191,4686
IC0000,2020,3,30,6.0,351.44999999999436,26117.322500000137,719,373
IC0000,2020,5,0,0.0,354499.5499999601,13814012.331250148,6330798,2841944
IC0000,2020,5,2,0.4,264873.6999999207,10084685.858750075,3772668,1803494
IC0000,2020,5,4,0.8,168154.84999994375,7123996.191250059,2234132,1080702
IC0000,2020,5,6,1.2,80249.59999996916,4691943.018750031,1199836,592812
IC0000,2020,5,8,1.6,34273.09999998448,3277945.7275000177,709464,358012
IC0000,2020,5,13,2.6,-3006.200000004076,1291626.003750006,186869,98938
IC0000,2020,5,20,4.0,-2119.0000000003447,368119.0200000011,32584,17871
IC0000,2020,5,30,6.0,241.8499999999849,85291.29749999999,3966,2169
IC0000,2020,10,0,0.0,333333.24999996426,14017483.79625014,6328368,2902059
IC0000,2020,10,2,0.4,288745.2249999315,11423763.938125094,4494550,2138463
IC0000,2020,10,4,0.8,220090.27499994123,9139640.825625058,3172971,1518956
IC0000,2020,10,6,1.2,146208.0249999606,6958468.373125045,2067351,1000872
IC0000,2020,10,8,1.6,94991.29999997657,5466288.910000038,1415906,692947
IC0000,2020,10,13,2.6,31053.82499999144,2853524.219375011,517782,259137
IC0000,2020,10,20,4.0,10615.6999999986,1141588.241250005,134176,67832
IC0000,2020,10,30,6.0,4589.924999999809,358495.4456250014,25813,12968
IC0000,2020,20,0,0.0,276192.1999999669,14100007.141250141,6323508,2942879
IC0000,2020,20,2,0.4,253389.14999994368,12317731.248750115,5041163,2400442
IC0000,2020,20,4,0.8,212518.44999994527,10640179.383750098,4006136,1914829
IC0000,2020,20,6,1.2,162403.32499995595,8889667.42187507,3006453,1445313
IC0000,2020,20,8,1.6,122377.97499996878,7559529.059375055,2314155,1119265
IC0000,2020,20,13,2.6,60797.42499998435,4852437.566875038,1125995,550733
IC0000,2020,20,20,4.0,39252.67499999647,2551594.4593750155,405425,197142
IC0000,2020,20,30,6.0,22953.249999999156,1085254.3362500055,115102,54639
IC0000,2020,30,0,0.0,229674.14999997133,14105867.88375015,6318648,2953323
IC0000,2020,30,2,0.4,215823.34999995213,12654559.523750115,5278877,2511311
IC0000,2020,30,4,0.8,185687.19999995112,11259618.786250103,4405912,2101704
IC0000,2020,30,6,1.2,144333.2249999578,9757851.663125077,3512401,1683640
IC0000,2020,30,8,1.6,111435.37499996796,8582338.470625067,2853429,1374820
IC0000,2020,30,13,2.6,50029.29999998115,5992798.11000004,1592204,776430
IC0000,2020,30,20,4.0,26079.44999999448,3522310.358750021,677973,332320
IC0000,2020,30,30,6.0,19471.574999998207,1751378.1231250064,231367,112122
IC0000,2021,1,0,0.0,29291.149999966256,7578719.4262501085,5380941,2117997
IC0000,2021,1,2,0.4,-206183.55000004848,3284501.141250043,1524501,828071
IC0000,2021,1,4,0.8,-171388.1250000255,1630666.9756250272,624818,365191
IC0000,2021,1,6,1.2,-100734.87500000944,694247.8731250145,207958,131664
IC0000,2021,1,8,1.6,-57477.525000002846,342780.4956250066,83065,55534
IC0000,2021,1,13,2.6,-12730.050000000309,70691.39250000108,9861,7414
IC0000,2021,1,20,4.0,-1360.050000000013,9908.62750000001,691,557
IC0000,2021,1,30,6.0,-113.100000000004,979.7299999999725,45,38
IC0000,2021,2,0,0.0,107853.59999996136,8026018.768750121,5380455,2254564
IC0000,2021,2,2,0.4,-61411.200000064004,4150687.083750049,2015240,1024369
IC0000,2021,2,4,0.8,-85685.50000003242,2202400.278750033,882453,470530
IC0000,2021,2,6,1.2,-65685.80000001319,1035624.1587500144,331634,186734
IC0000,2021,2,8,1.6,-44884.500000004766,548181.3437500081,145081,85456
IC0000,2021,2,13,2.6,-12910.675000000525,113276.28312500143,18201,12064
IC0000,2021,2,20,4.0,-1722.7500000000118,17631.827499999956,1465,1026
IC0000,2021,2,30,6.0,-120.49999999999727,3134.009999999959,107,70
IC0000,2021,3,0,0.0,114506.99999996135,8306976.288750117,5379969,2359091
IC0000,2021,3,2,0.4,-4025.450000070423,4871897.1962500615,2452526,1219945
IC0000,2021,3,4,0.8,-42607.85000003911,2807690.3212500345,1184293,607875
IC0000,2021,3,6,1.2,-45661.50000001726,1457719.663750018,496862,265099
IC0000,2021,3,8,1.6,-36469.25000000643,831804.0962500091,237279,130999
IC0000,2021,3,13,2.6,-12866.650000000878,197368.22625000245,35352,21135
IC0000,2021,3,20,4.0,-1947.4000000000487,32337.440000000166,3011,1884
IC0000,2021,3,30,6.0,-170.30000000000655,4875.865000000016,243,143
IC0000,2021,5,0,0.0,121928.24999996062,8488674.59875012,5378997,2430098
IC0000,2021,5,2,0.4,54451.39999992728,5707603.486250075,2997805,1465847
IC0000,2021,5,4,0.8,8515.699999953307,3707546.006250044,1679641,836697
IC0000,2021,5,6,1.2,-15931.525000024969,2193205.2506250245,829404,423059
IC0000,2021,5,8,1.6,-21888.025000011796,1392356.2556250158,450907,235218
IC0000,2021,5,13,2.6,-12307.1250000023,423727.6206250042,89874,49306
IC0000,2021,5,20,4.0,-2242.0250000000933,89646.20062500043,10350,5857
IC0000,2021,5,30,6.0,-171.70000000000437,15696.599999999791,890,503
IC0000,2021,10,0,0.0,117995.24999996222,8625924.898750128,5376567,2484165
IC0000,2021,10,2,0.4,87083.5999999345,6641333.206250082,3653232,1765197
IC0000,2021,10,4,0.8,49753.099999948485,4979471.231250067,2470123,1204240
IC0000,2021,10,6,1.2,16058.599999966089,3488081.4112500376,1512087,747111
IC0000,2021,10,8,1.6,-393.20000002046436,2532979.066250026,971488,485501
IC0000,2021,10,13,2.6,-10807.750000006745,1054484.1587500076,287085,147727
IC0000,2021,10,20,4.0,-4426.225000000734,307487.9781250009,52149,27446
IC0000,2021,10,30,6.0,-635.300000000103,72288.8149999996,6723,3586
IC0000,2021,20,0,0.0,122875.34999996782,8682961.873750132,5371707,2496677
IC0000,2021,20,2,0.4,105904.59999994664,7305008.621250101,4158746,1985376
IC0000,2021,20,4,0.8,77134.99999995159,6035133.691250078,3207081,1537288
IC0000,2021,20,6,1.2,44411.44999996172,4763322.8437500615,2310584,1115583
IC0000,2021,20,8,1.6,20829.499999972722,3841693.2012500423,1710230,832817
IC0000,2021,20,13,2.6,-8050.5500000127295,2076076.8037500198,722437,358646
IC0000,2021,20,20,4.0,-11870.60000000286,832501.4512500064,202366,103131
IC0000,2021,20,30,6.0,-5845.0500000004895,255752.78875000088,39731,20791
IC0000,2021,30,0,0.0,107448.99999997328,8689037.831250135,5366847,2499221
IC0000,2021,30,2,0.4,97061.19999995494,7585724.731250112,4388800,2084089
IC0000,2021,30,4,0.8,76679.8999999566,6533974.481250087,3584494,1706276
IC0000,2021,30,6,1.2,52546.04999996316,5425236.2887500655,2776213,1326475
IC0000,2021,30,8,1.6,32246.199999971184,4572241.6262500575,2191167,1051769
IC0000,2021,30,13,2.6,-3357.850000016325,2798417.0337500274,1101462,537704
IC0000,2021,30,20,4.0,-14515.300000003792,1328268.3912500099,384478,192217
IC0000,2021,30,30,6.0,-9951.100000000977,487891.0862500022,94665,48860
IC0000,2022,1,0,0.0,161692.77499996318,11273613.860625124,5716520,2300313
IC0000,2022,1,2,0.4,-191508.4750000542,5197006.260625047,1764681,936494
IC0000,2022,1,4,0.8,-187476.4000000278,2867725.9087500297,788409,445838
IC0000,2022,1,6,1.2,-121687.37500001141,1413977.256875017,299185,179862
IC0000,2022,1,8,1.6,-73196.65000000433,780347.8087500092,129617,81220
IC0000,2022,1,13,2.6,-18389.75000000054,189873.43375000134,17565,11934
IC0000,2022,1,20,4.0,-2060.5000000000173,31930.5912499999,1455,1060
IC0000,2022,1,30,6.0,0.1750000000010914,4834.340625000039,118,74
IC0000,2022,2,0,0.0,269202.9749999569,11818797.780625122,5716036,2424927
IC0000,2022,2,2,0.4,41590.29999992957,6555724.660000053,2350453,1164232
IC0000,2022,2,4,0.8,-33603.92500003609,3757845.6418750305,1104125,566561
IC0000,2022,2,6,1.2,-48506.97500001598,1963184.0231250129,457042,244550
IC0000,2022,2,8,1.6,-38086.62500000617,1138683.521875008,216598,119735
IC0000,2022,2,13,2.6,-13047.975000000853,299724.1893750017,32312,19265
IC0000,2022,2,20,4.0,-1490.6500000000215,66799.39875000017,3219,1969
IC0000,2022,2,30,6.0,198.59999999999945,16994.475000000082,324,187
IC0000,2022,3,0,0.0,253810.92499995642,12152210.550625121,5715552,2524860
IC0000,2022,3,2,0.4,107084.19999992281,7649495.148750071,2844588,1389962
IC0000,2022,3,4,0.8,23770.0749999552,4782117.235625039,1494050,746885
IC0000,2022,3,6,1.2,-13409.050000021372,2741977.5175000182,696879,358409
IC0000,2022,3,8,1.6,-19796.17500000936,1706942.4843750095,361201,190188
IC0000,2022,3,13,2.6,-9983.50000000171,506494.52500000206,65063,35934
IC0000,2022,3,20,4.0,-724.725000000165,116131.188125,7042,3902
IC0000,2022,3,30,6.0,844.1499999999623,31504.237499999916,675,335
IC0000,2022,5,0,0.0,231597.29999995473,12362694.620000135,5714584,2597357
IC0000,2022,5,2,0.4,154833.2749999226,8834088.501875075,3423637,1659594
IC0000,2022,5,4,0.8,81187.37499994643,6152853.451875049,2079560,1021217
IC0000,2022,5,6,1.2,24770.5499999697,3983102.8012500308,1139026,570366
IC0000,2022,5,8,1.6,1469.4999999843276,2739411.323750011,673822,343459
IC0000,2022,5,13,2.6,-8380.750000003545,1023089.2200000038,165349,87619
IC0000,2022,5,20,4.0,-1168.5000000003683,287506.58250000095,25172,13538
IC0000,2022,5,30,6.0,1333.4249999999593,72822.0681250001,2763,1377
IC0000,2022,10,0,0.0,224674.59999995772,12527782.80750014,5712164,2648787
IC0000,2022,10,2,0.4,186689.57499993243,10048773.259375101,4073443,1961006
IC0000,2022,10,4,0.8,141448.4249999442,7918611.136875071,2914507,1410475
IC0000,2022,10,6,1.2,87097.19999996068,5927805.476250049,1929510,942574
IC0000,2022,10,8,1.6,53809.599999975355,4565748.591250029,1330298,655329
IC0000,2022,10,13,2.6,9353.149999990876,2232322.6512500104,472338,237964
IC0000,2022,10,20,4.0,-999.0750000015987,832114.8631250024,108832,56019
IC0000,2022,10,30,6.0,585.1249999999,262990.2981250015,18345,9453
IC0000,2022,20,0,0.0,222586.3999999669,12593484.997500148,5707324,2661538
IC0000,2022,20,2,0.4,205237.09999994695,10899978.607500097,4565460,2176462
IC0000,2022,20,4,0.8,174917.39999995136,9327461.46250008,3657493,1746972
IC0000,2022,20,6,1.2,135335.99999996022,7690728.5275000585,2773939,1330072
IC0000,2022,20,8,1.6,103598.99999997039,6455764.5025000535,2156317,1037564
IC0000,2022,20,13,2.6,44439.49999998469,3945448.5437500295,1052418,512575
IC0000,2022,20,20,4.0,6464.949999996118,1911780.6112500106,359550,179062
IC0000,2022,20,30,6.0,1447.8499999990854,759177.1187500028,87880,44312
IC0000,2022,30,0,0.0,186472.5999999717,12592340.880000148,5702484,2665258
IC0000,2022,30,2,0.4,176878.19999995458,11235523.950000111,4786071,2274193
IC0000,2022,30,4,0.8,156181.4999999562,9938170.7300001,4023111,1913162
IC0000,2022,30,6,1.2,128481.69999996187,8544836.720000086,3239404,1543738
IC0000,2022,30,8,1.6,101185.34999996974,7448201.957500067,2659449,1271230
IC0000,2022,30,13,2.6,46129.19999998232,5041647.940000037,1509270,728841
IC0000,2022,30,20,4.0,10632.499999995016,2780755.3637500177,629210,308678
IC0000,2022,30,30,6.0,4940.549999998253,1263915.8550000067,188744,92914
IC0000,2023,1,0,0.0,135676.74999996953,3694320.7825000677,4765294,1770361
IC0000,2023,1,2,0.4,-77061.65000004246,1063838.6025000152,838840,449545
IC0000,2023,1,4,0.8,-48014.90000001243,355975.3100000082,203170,120187
IC0000,2023,1,6,1.2,-16409.40000000246,106947.56000000284,37542,24217
IC0000,2023,1,8,1.6,-6057.300000000441,45164.390000000996,9947,6723
IC0000,2023,1,13,2.6,-807.5000000000373,7640.63000000008,741,530
IC0000,2023,1,20,4.0,-121.89999999999964,1385.1699999999748,69,52
IC0000,2023,1,30,6.0,-3.900000000001455,130.22999999999877,5,4
IC0000,2023,2,0,0.0,151852.0999999659,3922675.2750000716,4764860,1894274
IC0000,2023,2,2,0.4,-4512.900000060154,1528710.5200000165,1281271,635229
IC0000,2023,2,4,0.8,-23397.000000019394,587848.2350000078,373826,196367
IC0000,2023,2,6,1.2,-13649.800000004798,205984.1200000022,87582,49228
IC0000,2023,2,8,1.6,-6578.750000001235,92267.757500001,26470,15725
IC0000,2023,2,13,2.6,-546.6000000000931,16961.70000000044,1839,1120
IC0000,2023,2,20,4.0,-129.5000000000009,2757.450000000021,140,92
