hm,mean,sd,n,se
9:31,8.382194723477927e-05,0.00509191118759456,2605,9.976471272415446e-05
9:32,7.467088232799052e-05,0.004997328592548167,2608,9.785524605342409e-05
9:33,-0.000235034,0.004978588760747579,2598,9.767573343712164e-05
9:34,-2.02E-05,0.004924334758570967,2576,9.702298667586721e-05
9:35,-4.34E-05,0.0048789037444057085,2590,9.586771320524499e-05
9:36,0.0001290452827621349,0.004781700284114098,2597,9.383100680850273e-05
9:37,-4.52E-05,0.004803462627821395,2594,9.431253759823103e-05
9:38,-4.13E-05,0.004766721617156852,2589,9.368148450467565e-05
9:39,6.53354778665269e-05,0.004784214387862226,2567,9.442732752076819e-05
9:40,2.3858053878525055e-05,0.00488506792344287,2582,9.613742547285814e-05
9:41,7.004557860650209e-05,0.00487897865817822,2554,9.654248468747518e-05
9:42,-9.07E-05,0.004701715893095359,2578,9.260084000683308e-05
9:43,-0.000149243,0.0048087341113874065,2575,9.476373021714734e-05
9:44,-0.000100437,0.004769240517809881,2566,9.415012455390057e-05
9:45,-5.26E-05,0.0046445855511126665,2570,9.161791522256658e-05
9:46,-3.43E-06,0.00464084490174647,2560,9.172275098186986e-05
9:47,9.873676868822439e-05,0.00447342040743733,2570,8.824155506088355e-05
9:48,4.336293731265998e-05,0.004465431490011963,2552,8.839406281922475e-05
9:49,8.251419342824213e-06,0.004299690277019389,2570,8.48145986220204e-05
9:50,-0.000111115,0.004311351296495106,2552,8.53440161808671e-05
9:51,4.412805186740408e-05,0.004403832121672224,2552,8.717469164606342e-05
9:52,4.1483833521423204e-05,0.004224508428419432,2552,8.362494514523417e-05
9:53,7.24171924294579e-05,0.004214339906438337,2553,8.340731736655618e-05
9:54,-0.000158717,0.004317514986827296,2563,8.52824268984047e-05
9:55,7.718319199844665e-05,0.0042170777408682995,2556,8.341250856733449e-05
9:56,5.0626257890489026e-05,0.004174462611216918,2566,8.240854562146476e-05
9:57,-8.77E-05,0.004094980522175457,2550,8.109269805138735e-05
9:58,9.08681340760103e-05,0.004017981495771908,2563,7.936584221196065e-05
9:59,0.0001323779601832417,0.004030011193784582,2547,7.985309986912158e-05
10:00,3.230429687443868e-05,0.004055165282904324,2573,7.994451406482148e-05
10:01,-6.67E-05,0.004036701375729311,2548,7.996996590070361e-05
10:02,-7.10E-05,0.003967570866344969,2544,7.866220917509971e-05
10:03,1.1844898292993572e-05,0.003923233289245377,2557,7.758517955614417e-05
10:04,4.860484672863137e-05,0.0038958022006991967,2543,7.725448798020757e-05
10:05,4.2603879695869e-05,0.003846182731368026,2539,7.633058014176817e-05
10:06,-5.60E-06,0.0039001027696307375,2545,7.730937418838255e-05
10:07,4.085993374271845e-05,0.0037030952854553247,2561,7.317455633157674e-05
10:08,2.7609830591207042e-05,0.0036064488806564258,2518,7.187070712058358e-05
10:09,6.434086927032916e-05,0.003638650903942353,2524,7.242620267485223e-05
10:10,1.3282855750637077e-05,0.0036422213552754334,2553,7.208434042887789e-05
10:11,-0.000128021,0.0036007657986277778,2549,7.131977380756445e-05
10:12,-0.000157794,0.0036134125271497105,2543,7.165464781454204e-05
10:13,-8.75E-05,0.003628910706395225,2540,7.200446430546706e-05
10:14,4.517360442700326e-05,0.003631929762090209,2521,7.2335421803044e-05
10:15,-4.72E-05,0.0036176439603043363,2547,7.168220398460469e-05
10:16,2.6392269386876125e-05,0.0036183305999719396,2546,7.170988818776341e-05
10:17,-0.00012319,0.0035938578782595287,2528,7.147799533354255e-05
10:18,3.457788745558147e-05,0.003642783303533136,2534,7.236524421327736e-05
10:19,-6.20E-05,0.0037126823520409464,2518,7.398776879563777e-05
10:20,-1.28E-05,0.0036095787264855293,2523,7.186176722060575e-05
10:21,-6.47E-05,0.003558201229632566,2517,7.092329394199847e-05
