code,rank,q,mpb,n_total,cum1,cum5,cum10,cum20
IC0000,492933,0.01350338108436369,-5.25,36504413,-478636.0,-495176.0,-496110.5,-455544.0
IC0000,502062,0.013753460437783235,-5.25,36504413,-484201.0,-501272.5,-502239.5,-461404.5
IC0000,511190,0.014003512397254546,-5.25,36504413,-488758.0,-505626.5,-506978.5,-466136.0
IC0000,520318,0.014253564356725857,-5.25,36504413,-494116.0,-511915.0,-514336.5,-473026.0
IC0000,529447,0.014503643710145401,-5.25,36504413,-498704.0,-516332.0,-518143.5,-476690.5
IC0000,538575,0.014753695669616712,-5.25,36504413,-502298.5,-520949.0,-521516.0,-480648.0
IC0000,547704,0.015003775023036256,-5.25,36504413,-506865.5,-526377.5,-527734.5,-487266.0
IC0000,556832,0.015253826982507566,-5.25,36504413,-513050.5,-533174.0,-533810.5,-491782.5
IC0000,565960,0.015503878941978877,-5.25,36504413,-521682.5,-541040.5,-541637.5,-499402.5
IC0000,575089,0.015753958295398423,-5.0833335,36504413,-535588.0,-555484.5,-557862.0,-514866.5
IC0000,584217,0.016004010254869732,-5.0,36504413,-546264.0,-567287.5,-569871.5,-526880.0
IC0000,593346,0.016254089608289276,-5.0,36504413,-553407.5,-574642.0,-578350.5,-537412.0
IC0000,602474,0.01650414156776059,-5.0,36504413,-559233.5,-580765.0,-584447.5,-542395.5
IC0000,611602,0.0167541935272319,-5.0,36504413,-565017.0,-587690.0,-592195.5,-550124.0
IC0000,620731,0.017004272880651445,-5.0,36504413,-571555.0,-594998.5,-599675.5,-555472.0
IC0000,629859,0.017254324840122754,-5.0,36504413,-576628.0,-601853.0,-606898.0,-562822.5
IC0000,638987,0.017504376799594067,-5.0,36504413,-580017.5,-605275.0,-610536.5,-566520.0
IC0000,648116,0.01775445615301361,-5.0,36504413,-586638.0,-613753.0,-618998.5,-574633.5
IC0000,657244,0.01800450811248492,-5.0,36504413,-594509.5,-622598.5,-627727.5,-584860.5
IC0000,666373,0.018254587465904464,-5.0,36504413,-605303.5,-633832.0,-639252.0,-594261.5
IC0000,675501,0.018504639425375776,-4.8333335,36504413,-619806.5,-647673.0,-654374.0,-606884.0
IC0000,684629,0.018754691384847085,-4.75,36504413,-630333.5,-658977.5,-665535.5,-618106.5
IC0000,693758,0.019004770738266633,-4.75,36504413,-638258.5,-667803.0,-673934.0,-625806.0
IC0000,702886,0.01925482269773794,-4.75,36504413,-643878.0,-674210.0,-680603.5,-632523.0
IC0000,712015,0.019504902051157486,-4.75,36504413,-648339.0,-678288.0,-683731.5,-635600.5
IC0000,721143,0.019754954010628798,-4.75,36504413,-652932.5,-683407.5,-688841.0,-639662.5
IC0000,730271,0.020005005970100107,-4.75,36504413,-657911.0,-689648.0,-696261.5,-648431.5
IC0000,739400,0.02025508532351965,-4.75,36504413,-662412.0,-695412.5,-701513.0,-653521.0
IC0000,748528,0.020505137282990964,-4.75,36504413,-666808.0,-700607.0,-706396.0,-658964.0
IC0000,757656,0.020755189242462273,-4.75,36504413,-669953.0,-704061.0,-709753.0,-661098.5
IC0000,766785,0.02100526859588182,-4.75,36504413,-674641.5,-710448.0,-717705.0,-669050.0
IC0000,775913,0.02125532055535313,-4.75,36504413,-678930.0,-715533.0,-722996.5,-673621.0
IC0000,785042,0.021505399908772673,-4.75,36504413,-685585.5,-724651.0,-731366.0,-680982.0
IC0000,794170,0.021755451868243986,-4.75,36504413,-692724.0,-730643.5,-736517.0,-685256.0
IC0000,803298,0.022005503827715295,-4.7115383,36504413,-703591.0,-741769.5,-747447.0,-696071.5
IC0000,812427,0.02225558318113484,-4.5833335,36504413,-718009.5,-758348.0,-763428.5,-711234.5
IC0000,821555,0.02250563514060615,-4.5,36504413,-728153.0,-770301.5,-774815.5,-721818.5
IC0000,830684,0.022755714494025695,-4.5,36504413,-735978.5,-779035.0,-783810.5,-731117.5
IC0000,839812,0.023005766453497004,-4.5,36504413,-742286.5,-786017.0,-790593.5,-738216.0
IC0000,848940,0.023255818412968317,-4.5,36504413,-747179.0,-791288.5,-795374.5,-742328.0
IC0000,858069,0.02350589776638786,-4.5,36504413,-752366.0,-797100.5,-801225.0,-746659.5
IC0000,867197,0.023755949725859173,-4.5,36504413,-757660.5,-802648.5,-806400.0,-752253.0
IC0000,876325,0.024006001685330482,-4.5,36504413,-764259.0,-811618.0,-814237.0,-759319.0
IC0000,885454,0.024256081038750026,-4.5,36504413,-769030.0,-817455.5,-819397.5,-764855.5
IC0000,894582,0.02450613299822134,-4.5,36504413,-773215.5,-823109.5,-825035.5,-770047.0
IC0000,903711,0.024756212351640883,-4.5,36504413,-776584.5,-826621.5,-828801.0,-773045.5
IC0000,912839,0.025006264311112192,-4.5,36504413,-782027.5,-834060.0,-837983.0,-782572.5
IC0000,921967,0.025256316270583504,-4.5,36504413,-787681.0,-841177.0,-845338.0,-789405.0
IC0000,931096,0.02550639562400305,-4.5,36504413,-794916.0,-849506.5,-853520.0,-796864.5
IC0000,940224,0.02575644758347436,-4.5,36504413,-803080.0,-856636.5,-861325.5,-805041.0
IC0000,949353,0.026006526936893905,-4.45,36504413,-814750.5,-867798.5,-871937.5,-815616.5
IC0000,958481,0.026256578896365214,-4.35,36504413,-829305.5,-882931.0,-888103.0,-832501.5
IC0000,967609,0.026506630855836526,-4.25,36504413,-841820.5,-896823.0,-902287.5,-845966.0
IC0000,976738,0.02675671020925607,-4.25,36504413,-849124.5,-906080.0,-911571.5,-854051.0
IC0000,985866,0.02700676216872738,-4.25,36504413,-855721.5,-912967.0,-918060.5,-860279.0
IC0000,994994,0.027256814128198692,-4.25,36504413,-861241.5,-919197.5,-924223.0,-867609.0
IC0000,1004123,0.027506893481618236,-4.25,36504413,-865539.5,-924303.0,-929805.0,-872229.5
IC0000,1013251,0.02775694544108955,-4.25,36504413,-870102.5,-928948.0,-935215.0,-878278.5
IC0000,1022380,0.028007024794509092,-4.25,36504413,-874241.5,-933559.0,-939948.0,-881411.0
IC0000,1031508,0.0282570767539804,-4.25,36504413,-879228.0,-939786.5,-947217.0,-887980.0
IC0000,1040636,0.028507128713451714,-4.25,36504413,-884810.5,-946124.0,-953539.5,-893173.0
IC0000,1049765,0.028757208066871258,-4.25,36504413,-889174.0,-952046.0,-960197.0,-899410.0
IC0000,1058893,0.029007260026342567,-4.25,36504413,-893733.0,-957244.5,-965276.5,-905980.5
IC0000,1068022,0.02925733937976211,-4.25,36504413,-898274.0,-963108.0,-971687.0,-912045.5
IC0000,1077150,0.029507391339233423,-4.25,36504413,-900944.0,-965643.5,-973962.0,-913890.5
IC0000,1086278,0.029757443298704736,-4.25,36504413,-903506.5,-968137.0,-976555.0,-916512.5
IC0000,1095407,0.03000752265212428,-4.25,36504413,-908823.5,-975453.0,-984427.5,-924723.5
IC0000,1104535,0.03025757461159559,-4.25,36504413,-912637.5,-980362.5,-989214.5,-929480.5
IC0000,1113663,0.0305076265710669,-4.25,36504413,-918346.5,-988225.5,-995427.5,-936916.0
IC0000,1122792,0.030757705924486445,-4.25,36504413,-924638.0,-994990.0,-1.002096e+06,-943081.5
IC0000,1131920,0.031007757883957755,-4.25,36504413,-931386.5,-1.001744e+06,-1.009037e+06,-950842.5
IC0000,1141049,0.0312578372373773,-4.25,36504413,-940341.0,-1.010668e+06,-1.01741e+06,-958713.0
IC0000,1150177,0.03150788919684861,-4.2,36504413,-951633.0,-1.021752e+06,-1.029162e+06,-968926.5
IC0000,1159305,0.03175794115631992,-4.107143,36504413,-965797.5,-1.0369e+06,-1.0439055e+06,-983404.5
IC0000,1168434,0.032008020509739464,-4.05,36504413,-978078.0,-1.05079e+06,-1.057818e+06,-997315.0
IC0000,1177562,0.03225807246921078,-4.0,36504413,-986677.5,-1.060247e+06,-1.067156e+06,-1.0082665e+06
IC0000,1186691,0.032508151822630324,-4.0,36504413,-994423.0,-1.069742e+06,-1.0776715e+06,-1.0212855e+06
IC0000,1195819,0.03275820378210163,-4.0,36504413,-999657.0,-1.0759395e+06,-1.0837065e+06,-1.0272675e+06
IC0000,1204947,0.03300825574157294,-4.0,36504413,-1.0055055e+06,-1.083679e+06,-1.0906885e+06,-1.033844e+06
IC0000,1214076,0.033258335094992486,-4.0,36504413,-1.0100855e+06,-1.089448e+06,-1.0959525e+06,-1.0375035e+06
IC0000,1223204,0.0335083870544638,-4.0,36504413,-1.014481e+06,-1.0941815e+06,-1.100823e+06,-1.0420695e+06
IC0000,1232332,0.03375843901393511,-4.0,36504413,-1.018931e+06,-1.099339e+06,-1.1066325e+06,-1.0472155e+06
IC0000,1241461,0.034008518367354655,-4.0,36504413,-1.0249605e+06,-1.1079085e+06,-1.1162375e+06,-1.0569005e+06
IC0000,1250589,0.034258570326825964,-4.0,36504413,-1.0310725e+06,-1.1148315e+06,-1.12363e+06,-1.0627155e+06
