code,rank,q,oir,n_total,cum1,cum5,cum10,cum20
IC0000,483843,0.013253318671063923,-0.8181818,36507309,-128559.0,-131176.0,-122089.0,-56333.0
IC0000,492972,0.013503378186543413,-0.8181818,36507309,-131793.0,-136693.0,-127535.0,-62264.0
IC0000,502102,0.013753465093798066,-0.8181818,36507309,-133795.0,-140834.0,-132316.0,-67527.0
IC0000,511231,0.014003524609277555,-0.8181818,36507309,-135556.0,-145203.0,-136830.0,-71719.0
IC0000,520360,0.014253584124757045,-0.8181818,36507309,-137066.0,-147473.0,-138789.0,-73026.0
IC0000,529489,0.014503643640236534,-0.8181818,36507309,-137685.0,-148792.0,-140225.0,-74467.0
IC0000,538618,0.014753703155716023,-0.8181818,36507309,-139984.0,-150376.0,-141336.0,-73972.0
IC0000,547747,0.015003762671195513,-0.8181818,36507309,-142670.0,-153816.0,-145719.0,-78126.0
IC0000,556876,0.015253822186675002,-0.8181818,36507309,-144966.0,-156192.0,-149209.0,-81108.0
IC0000,566005,0.015503881702154491,-0.8181818,36507309,-147713.0,-159021.0,-152103.0,-84825.0
IC0000,575134,0.01575394121763398,-0.8095238,36507309,-150330.0,-161791.0,-154946.0,-86270.0
IC0000,584263,0.01600400073311347,-0.8,36507309,-152745.0,-163349.0,-156610.0,-87654.0
IC0000,593393,0.016254087640368124,-0.8,36507309,-156146.0,-167013.0,-160728.0,-91655.0
IC0000,602522,0.016504147155847613,-0.8,36507309,-159291.0,-170977.0,-164291.0,-94828.0
IC0000,611651,0.016754206671327102,-0.8,36507309,-163544.0,-176862.0,-170080.0,-99340.0
IC0000,620780,0.01700426618680659,-0.8,36507309,-167698.0,-182712.0,-176066.0,-104859.0
IC0000,629909,0.01725432570228608,-0.8,36507309,-170326.0,-186891.0,-181348.0,-110274.0
IC0000,639038,0.01750438521776557,-0.8,36507309,-172671.0,-191461.0,-185210.0,-113657.0
IC0000,648167,0.01775444473324506,-0.8,36507309,-174620.0,-195197.0,-189594.0,-116662.0
IC0000,657296,0.01800450424872455,-0.8,36507309,-176296.0,-197348.0,-191115.0,-115756.0
IC0000,666425,0.01825456376420404,-0.8,36507309,-178247.0,-199856.0,-193948.0,-118455.0
IC0000,675555,0.01850465067145869,-0.8,36507309,-180720.0,-202436.0,-197046.0,-121788.0
IC0000,684684,0.01875471018693818,-0.8,36507309,-183896.0,-206099.0,-199999.0,-123773.0
IC0000,693813,0.01900476970241767,-0.8,36507309,-186711.0,-208138.0,-201380.0,-125290.0
IC0000,702942,0.01925482921789716,-0.8,36507309,-189143.0,-210893.0,-203677.0,-124733.0
IC0000,712071,0.01950488873337665,-0.7894737,36507309,-191924.0,-212767.0,-204339.0,-124918.0
IC0000,721200,0.01975494824885614,-0.78571427,36507309,-193875.0,-212866.0,-204857.0,-124090.0
IC0000,730329,0.020005007764335628,-0.7777778,36507309,-196486.0,-214641.0,-206167.0,-124008.0
IC0000,739458,0.020255067279815117,-0.7777778,36507309,-199339.0,-218154.0,-209982.0,-128253.0
IC0000,748587,0.020505126795294606,-0.7777778,36507309,-202462.0,-222257.0,-214311.0,-131590.0
IC0000,757717,0.020755213702549263,-0.7777778,36507309,-207148.0,-228134.0,-219624.0,-136143.0
IC0000,766846,0.021005273218028753,-0.7777778,36507309,-210481.0,-232441.0,-223701.0,-140203.0
IC0000,775975,0.021255332733508242,-0.7777778,36507309,-214092.0,-238220.0,-230165.0,-145326.0
IC0000,785104,0.02150539224898773,-0.7777778,36507309,-216053.0,-241582.0,-233547.0,-147987.0
IC0000,794233,0.02175545176446722,-0.7777778,36507309,-217674.0,-244498.0,-237163.0,-152527.0
IC0000,803362,0.02200551127994671,-0.7777778,36507309,-219953.0,-247544.0,-241094.0,-155069.0
IC0000,812491,0.0222555707954262,-0.7777778,36507309,-222321.0,-250839.0,-243208.0,-157066.0
IC0000,821620,0.02250563031090569,-0.7777778,36507309,-223759.0,-252924.0,-245486.0,-158005.0
IC0000,830749,0.022755689826385178,-0.7777778,36507309,-225348.0,-255858.0,-249209.0,-161424.0
IC0000,839879,0.02300577673363983,-0.7777778,36507309,-228180.0,-259459.0,-251764.0,-162626.0
IC0000,849008,0.02325583624911932,-0.7777778,36507309,-230810.0,-263535.0,-256179.0,-168463.0
IC0000,858137,0.02350589576459881,-0.7777778,36507309,-233188.0,-267238.0,-259862.0,-171162.0
IC0000,867266,0.0237559552800783,-0.7777778,36507309,-235051.0,-270106.0,-263189.0,-175087.0
IC0000,876395,0.02400601479555779,-0.7777778,36507309,-237315.0,-272079.0,-264275.0,-175389.0
IC0000,885524,0.024256074311037278,-0.7777778,36507309,-239642.0,-274917.0,-265830.0,-177320.0
