code,J,k,bucket,mean_dy,n,nrows
IC0000,60,20,neg5,-0.27820653,1820615,36327910
IC0000,60,20,pos5,0.5099715,1869273,36327910
IC0000,60,20,pos1,0.6359516,371305,36327910
IC0000,60,20,pos0.1,1.0028895,36338,36327910
IC0000,60,60,neg0.1,1.8573508,36411,36161931
IC0000,60,60,neg1,0.6361547,367255,36161931
IC0000,60,60,neg5,0.15284158,1808572,36161931
IC0000,60,60,pos5,0.34092,1856544,36161931
IC0000,60,60,pos1,0.41702902,367972,36161931
IC0000,60,60,pos0.1,0.3135201,36945,36161931
IC0000,60,120,neg0.1,3.696393,36735,35834432
IC0000,60,120,neg1,1.7143961,358472,35834432
IC0000,60,120,neg5,0.5658072,1866961,35834432
IC0000,60,120,pos5,0.06011075,1829889,35834432
IC0000,60,120,pos1,-0.16972806,360512,35834432
IC0000,60,120,pos0.1,-0.53790224,35895,35834432
IC0000,60,240,neg0.1,4.473965,35606,35016996
IC0000,60,240,neg1,2.3584895,354016,35016996
IC0000,60,240,neg5,0.8474873,1799076,35016996
IC0000,60,240,pos5,0.054173302,1773069,35016996
IC0000,60,240,pos1,-0.050038677,359382,35016996
IC0000,60,240,pos0.1,-0.29182371,35285,35016996
IC0000,60,600,neg0.1,5.2232294,32881,32130589
IC0000,60,600,neg1,2.2623062,332455,32130589
IC0000,60,600,neg5,0.85597545,1606615,32130589
IC0000,60,600,pos5,0.0560247,1649808,32130589
IC0000,60,600,pos1,0.23570135,323125,32130589
IC0000,60,600,pos0.1,1.2053667,32795,32130589
IC0000,120,1,neg0.1,-0.16248646,36920,36208315
IC0000,120,1,neg1,-0.1318677,366625,36208315
IC0000,120,1,neg5,-0.097763784,1851790,36208315
IC0000,120,1,pos5,0.10258034,1817824,36208315
IC0000,120,1,pos1,0.126983,368506,36208315
IC0000,120,1,pos0.1,0.15087795,36904,36208315
IC0000,120,20,neg0.1,0.5547596,36715,36147728
IC0000,120,20,neg1,0.0038181092,365626,36147728
IC0000,120,20,neg5,-0.0558759,1848167,36147728
IC0000,120,20,pos5,0.271535,1813954,36147728
IC0000,120,20,pos1,0.2951292,367517,36147728
IC0000,120,20,pos0.1,0.26715085,36762,36147728
IC0000,120,60,neg0.1,2.8440008,36513,35983680
IC0000,120,60,neg1,0.96710515,361333,35983680
IC0000,120,60,neg5,0.3741644,1835800,35983680
IC0000,120,60,pos5,0.027425919,1801143,35983680
IC0000,120,60,pos1,-0.12388957,363711,35983680
IC0000,120,60,pos0.1,-0.77121407,36226,35983680
IC0000,120,120,neg0.1,5.034134,35771,35658507
IC0000,120,120,neg1,1.8922032,361968,35658507
IC0000,120,120,neg5,0.81917506,1806073,35658507
IC0000,120,120,pos5,-0.13505313,1828636,35658507
IC0000,120,120,pos1,-0.34543425,356612,35658507
IC0000,120,120,pos0.1,-1.3796507,35962,35658507
IC0000,120,240,neg0.1,5.8357453,35031,34846292
IC0000,120,240,neg1,2.3340266,351996,34846292
IC0000,120,240,neg5,0.9543253,1792438,34846292
IC0000,120,240,pos5,-0.05556823,1770814,34846292
IC0000,120,240,pos1,0.034986526,351421,34846292
IC0000,120,240,pos0.1,0.010706515,34932,34846292
IC0000,120,600,neg0.1,7.378354,32200,31975388
IC0000,120,600,neg1,2.552727,322074,31975388
IC0000,120,600,neg5,0.83876073,1649561,31975388
IC0000,120,600,pos5,0.014453412,1614982,31975388
IC0000,120,600,pos1,-0.3878448,321064,31975388
IC0000,120,600,pos0.1,0.2760049,32590,31975388
IF0000,1,1,neg0.1,-1.1611472,42818,36876946
IF0000,1,1,neg1,-0.77907735,402177,36876946
IF0000,1,1,neg5,-0.50833887,1898944,36876946
IF0000,1,1,pos5,0.5129735,1862570,36876946
IF0000,1,1,pos1,0.7924424,389039,36876946
IF0000,1,1,pos0.1,1.174903,40754,36876946
IF0000,1,20,neg0.1,-2.3979683,42722,36819515
IF0000,1,20,neg1,-1.6389594,401459,36819515
IF0000,1,20,neg5,-1.2087352,1895981,36819515
IF0000,1,20,pos5,1.2410139,1859789,36819515
IF0000,1,20,pos1,1.7363893,388444,36819515
IF0000,1,20,pos0.1,2.514031,40696,36819515
IF0000,1,60,neg0.1,-2.2104285,42499,36694175
IF0000,1,60,neg1,-1.5530317,399742,36694175
IF0000,1,60,neg5,-1.1716776,1888953,36694175
IF0000,1,60,pos5,1.2068129,1852718,36694175
IF0000,1,60,pos1,1.6433039,386769,36694175
IF0000,1,60,pos0.1,2.3621664,40509,36694175
IF0000,1,120,neg0.1,-2.0575368,42060,36494730
IF0000,1,120,neg1,-1.4384285,396653,36494730
IF0000,1,120,neg5,-1.1005393,1877027,36494730
IF0000,1,120,pos5,1.174546,1840523,36494730
IF0000,1,120,pos1,1.6076483,383750,36494730
IF0000,1,120,pos0.1,2.3299098,40114,36494730
IF0000,1,240,neg0.1,-1.6517797,41356,36066013
