code,J,k,bucket,mean_dy,n,nrows
IH0000,120,1,pos5,0.04676078,1588746,31711444
IH0000,120,1,pos1,0.058792602,319547,31711444
IH0000,120,1,pos0.1,0.08285972,32199,31711444
IH0000,120,20,neg0.1,0.0265242,31820,31654204
IH0000,120,20,neg1,-0.072136834,317175,31654204
IH0000,120,20,neg5,-0.06456336,1590732,31654204
IH0000,120,20,pos5,0.10961132,1585329,31654204
IH0000,120,20,pos1,0.11400326,318640,31654204
IH0000,120,20,pos0.1,0.1988847,32099,31654204
IH0000,120,60,neg0.1,0.51951754,31587,31532268
IH0000,120,60,neg1,0.2881459,315781,31532268
IH0000,120,60,neg5,0.13797891,1586054,31532268
IH0000,120,60,pos5,-0.04343231,1577282,31532268
IH0000,120,60,pos1,-0.13663565,316506,31532268
IH0000,120,60,pos0.1,-0.070598215,31828,31532268
IH0000,120,120,neg0.1,0.17689158,31997,31346383
IH0000,120,120,neg1,0.45310888,313876,31346383
IH0000,120,120,neg5,0.32654917,1577205,31346383
IH0000,120,120,pos5,-0.15891296,1624619,31346383
IH0000,120,120,pos1,-0.28978354,313886,31346383
IH0000,120,120,pos0.1,-0.018513218,31437,31346383
IH0000,120,240,neg0.1,-0.39876178,31658,30969016
IH0000,120,240,neg1,0.2749817,319974,30969016
IH0000,120,240,neg5,0.34669405,1554881,30969016
IH0000,120,240,pos5,-0.18636246,1602356,30969016
IH0000,120,240,pos1,-0.16838193,319096,30969016
IH0000,120,240,pos0.1,0.12916958,31478,30969016
IH0000,120,600,neg0.1,-0.80075806,30340,29776639
IH0000,120,600,neg1,0.26293457,298348,29776639
IH0000,120,600,neg5,0.11471911,1501232,29776639
IH0000,120,600,pos5,-0.0825752,1532930,29776639
IH0000,120,600,pos1,-0.17810695,302032,29776639
IH0000,120,600,pos0.1,-0.54716855,30179,29776639
IM0000,1,1,neg0.1,-2.0242283,23939,22319592
IM0000,1,1,neg1,-1.2841368,231920,22319592
IM0000,1,1,neg5,-0.76532537,1499216,22319592
IM0000,1,1,pos5,0.769307,1491567,22319592
IM0000,1,1,pos1,1.2995576,230076,22319592
IM0000,1,1,pos0.1,2.0608737,23097,22319592
IM0000,1,20,neg0.1,-3.1786222,23866,22281150
IM0000,1,20,neg1,-2.4482956,231238,22281150
IM0000,1,20,neg5,-1.7814566,1495863,22281150
IM0000,1,20,pos5,1.8513178,1488302,22281150
IM0000,1,20,pos1,2.6607618,229420,22281150
IM0000,1,20,pos0.1,3.7547326,23032,22281150
IM0000,1,60,neg0.1,-2.6650133,23589,22158606
IM0000,1,60,neg1,-2.025806,228862,22158606
IM0000,1,60,neg5,-1.591929,1484592,22158606
IM0000,1,60,pos5,1.7427639,1477168,22158606
IM0000,1,60,pos1,2.3872712,227107,22158606
IM0000,1,60,pos0.1,3.378,22791,22158606
IM0000,1,120,neg0.1,-2.0217898,23130,21920049
IM0000,1,120,neg1,-1.663397,224588,21920049
IM0000,1,120,neg5,-1.3834167,1463682,21920049
IM0000,1,120,pos5,1.5046458,1455948,21920049
IM0000,1,120,pos1,1.9477842,222825,21920049
IM0000,1,120,pos0.1,2.5778453,22352,21920049
IM0000,1,240,neg0.1,-1.2591269,22105,21336029
IM0000,1,240,neg1,-1.3157324,215670,21336029
IM0000,1,240,neg5,-1.2601713,1416528,21336029
IM0000,1,240,pos5,1.2378267,1408168,21336029
IM0000,1,240,pos1,1.5501411,213996,21336029
IM0000,1,240,pos0.1,1.8876047,21371,21336029
IM0000,1,600,neg0.1,-0.18873732,21771,19379740
IM0000,1,600,neg1,-0.47845215,244108,19379740
IM0000,1,600,neg5,-0.7673615,1268565,19379740
IM0000,1,600,pos5,1.0716598,1260177,19379740
IM0000,1,600,pos1,1.3460989,242006,19379740
IM0000,1,600,pos0.1,1.9363995,21069,19379740
IM0000,5,1,neg0.1,-1.1140907,22412,22312512
IM0000,5,1,neg1,-0.8663832,236340,22312512
IM0000,5,1,neg5,-0.6649948,1145024,22312512
IM0000,5,1,pos5,0.66897786,1143283,22312512
IM0000,5,1,pos1,0.869669,236659,22312512
IM0000,5,1,pos0.1,1.0540746,22358,22312512
IM0000,5,20,neg0.1,-1.4061143,22341,22274228
IM0000,5,20,neg1,-1.5468498,235785,22274228
IM0000,5,20,neg5,-1.4461447,1142598,22274228
IM0000,5,20,pos5,1.5634352,1140992,22274228
IM0000,5,20,pos1,1.922657,236117,22274228
IM0000,5,20,pos0.1,1.888316,22304,22274228
IM0000,5,60,neg0.1,-0.7938657,23344,22151897
IM0000,5,60,neg1,-1.0244321,233382,22151897
IM0000,5,60,neg5,-1.1096562,1133442,22151897
IM0000,5,60,pos5,1.3538042,1132177,22151897
IM0000,5,60,pos1,1.6246768,233977,22151897
IM0000,5,60,pos0.1,1.6289252,23343,22151897
IM0000,5,120,neg0.1,-0.19550975,22894,21913537
IM0000,5,120,neg1,-0.56208026,229010,21913537
IM0000,5,120,neg5,-0.7777921,1115865,21913537
IM0000,5,120,pos5,0.9694542,1114458,21913537
IM0000,5,120,pos1,1.0964261,229502,21913537
IM0000,5,120,pos0.1,0.7916248,22877,21913537
IM0000,5,240,neg0.1,-0.20043902,21867,21329986
IM0000,5,240,neg1,-0.1368986,219637,21329986
IM0000,5,240,neg5,-0.514882,1076468,21329986
IM0000,5,240,pos5,0.66706896,1074688,21329986
IM0000,5,240,pos1,0.6109332,220119,21329986
IM0000,5,240,pos0.1,0.5098953,21879,21329986
IM0000,5,600,neg0.1,0.07471149,19930,19374444
IM0000,5,600,neg1,0.3769358,216448,19374444
IM0000,5,600,neg5,-0.13214451,1127228,19374444
IM0000,5,600,pos5,0.7586738,1122004,19374444
IM0000,5,600,pos1,0.9208395,216901,19374444
IM0000,5,600,pos0.1,0.3689713,20278,19374444
IM0000,20,1,neg0.1,-0.445294,22365,22285962
IM0000,20,1,neg1,-0.37304977,228243,22285962
IM0000,20,1,neg5,-0.30152592,1170367,22285962
IM0000,20,1,pos5,0.31439036,1167892,22285962
IM0000,20,1,pos1,0.3934677,232047,22285962
IM0000,20,1,pos0.1,0.42499456,23005,22285962
IM0000,20,20,neg0.1,-0.59468555,22279,22247920
IM0000,20,20,neg1,-0.49141595,227573,22247920
IM0000,20,20,neg5,-0.5412065,1167547,22247920
IM0000,20,20,pos5,0.73192465,1165676,22247920
IM0000,20,20,pos1,0.81238097,231613,22247920
IM0000,20,20,pos0.1,1.3621209,22255,22247920
IM0000,20,60,neg0.1,0.40041348,22734,22126349
IM0000,20,60,neg1,0.26400945,224973,22126349
IM0000,20,60,neg5,-0.10735011,1157670,22126349
IM0000,20,60,pos5,0.35501993,1155983,22126349
IM0000,20,60,pos1,0.44995725,229324,22126349
IM0000,20,60,pos0.1,1.2013038,22702,22126349
IM0000,20,120,neg0.1,2.60381,22204,21889135
IM0000,20,120,neg1,0.62740535,220446,21889135
IM0000,20,120,neg5,0.25788337,1138534,21889135
IM0000,20,120,pos5,-0.119359896,1136504,21889135
IM0000,20,120,pos1,-0.20583849,224647,21889135
IM0000,20,120,pos0.1,0.17202082,22288,21889135
IM0000,20,240,neg0.1,2.154149,21836,21306755
IM0000,20,240,neg1,0.97076446,221340,21306755
IM0000,20,240,neg5,0.5644234,1095348,21306755
IM0000,20,240,pos5,-0.36163196,1092904,21306755
IM0000,20,240,pos1,-0.6079855,214413,21306755
IM0000,20,240,pos0.1,-0.59255356,21836,21306755
IM0000,20,600,neg0.1,0.4604773,19862,19354041
IM0000,20,600,neg1,0.8353933,202428,19354041
IM0000,20,600,neg5,0.6496773,969586,19354041
IM0000,20,600,pos5,0.1137504,1036770,19354041
IM0000,20,600,pos1,0.2385515,195899,19354041
IM0000,20,600,pos0.1,0.20715785,19531,19354041
IM0000,60,1,neg0.1,-0.25478783,22505,22215162
IM0000,60,1,neg1,-0.18225548,227845,22215162
IM0000,60,1,neg5,-0.14316016,1129106,22215162
IM0000,60,1,pos5,0.15522736,1133621,22215162
IM0000,60,1,pos1,0.18455863,222558,22215162
IM0000,60,1,pos0.1,0.23827828,22373,22215162
IM0000,60,20,neg0.1,-0.1472113,22376,22177432
IM0000,60,20,neg1,0.02346742,227166,22177432
IM0000,60,20,neg5,0.003359181,1126465,22177432
IM0000,60,20,pos5,0.31824365,1131215,22177432
IM0000,60,20,pos1,0.2531161,222072,22177432
IM0000,60,20,pos0.1,0.94231886,22347,22177432
IM0000,60,60,neg0.1,2.0980675,22097,22057185
IM0000,60,60,neg1,0.9169253,224256,22057185
IM0000,60,60,neg5,0.5466771,1115750,22057185
IM0000,60,60,pos5,-0.093999565,1121186,22057185
IM0000,60,60,pos1,-0.20365953,225548,22057185
IM0000,60,60,pos0.1,0.7253099,22185,22057185
IM0000,60,120,neg0.1,3.7565079,22050,21822729
IM0000,60,120,neg1,1.4687724,219405,21822729
IM0000,60,120,neg5,0.8115333,1097504,21822729
IM0000,60,120,pos5,-0.39752132,1101224,21822729
IM0000,60,120,pos1,-0.61617744,221123,21822729
IM0000,60,120,pos0.1,-0.4021862,22139,21822729
IM0000,60,240,neg0.1,3.0092554,21393,21243145
IM0000,60,240,neg1,1.3178825,214164,21243145
IM0000,60,240,neg5,1.0066426,1092191,21243145
IM0000,60,240,pos5,-0.5890204,1094519,21243145
IM0000,60,240,pos1,-1.1523961,216167,21243145
IM0000,60,240,pos0.1,-2.2065368,21662,21243145
IM0000,60,600,neg0.1,0.115839854,19432,19298690
IM0000,60,600,neg1,1.0821183,196156,19298690
IM0000,60,600,neg5,1.0072348,998789,19298690
IM0000,60,600,pos5,-0.02630399,996921,19298690
IM0000,60,600,pos1,0.21040052,197471,19298690
IM0000,60,600,pos0.1,-1.4450413,19733,19298690
IM0000,120,1,neg0.1,-0.15696923,22463,22108963
IM0000,120,1,neg1,-0.11323138,222456,22108963
IM0000,120,1,neg5,-0.085285544,1128081,22108963
IM0000,120,1,pos5,0.09155869,1111877,22108963
IM0000,120,1,pos1,0.11891957,223504,22108963
IM0000,120,1,pos0.1,0.16422683,22201,22108963
IM0000,120,20,neg0.1,0.48507062,22372,22071424
IM0000,120,20,neg1,0.2173176,221786,22071424
IM0000,120,20,neg5,0.15808156,1125147,22071424
IM0000,120,20,pos5,0.06838702,1109231,22071424
IM0000,120,20,pos1,0.06278735,222943,22071424
IM0000,120,20,pos0.1,0.6683043,22186,22071424
IM0000,120,60,neg0.1,2.7502818,22173,21953284
IM0000,120,60,neg1,1.1047816,223522,21953284
IM0000,120,60,neg5,0.6820054,1115258,21953284
IM0000,120,60,pos5,-0.23978806,1099375,21953284
IM0000,120,60,pos1,-0.3075602,220695,21953284
IM0000,120,60,pos0.1,0.6704566,22252,21953284
IM0000,120,120,neg0.1,2.4174163,21899,21721255
IM0000,120,120,neg1,1.5177997,218880,21721255
IM0000,120,120,neg5,0.9109303,1096175,21721255
IM0000,120,120,pos5,-0.33986676,1105392,21721255
IM0000,120,120,pos1,-0.49254394,220559,21721255
IM0000,120,120,pos0.1,0.2691832,21829,21721255
IM0000,120,240,neg0.1,0.74523455,21404,21145788
IM0000,120,240,neg1,1.285642,215406,21145788
IM0000,120,240,neg5,0.85135376,1076213,21145788
IM0000,120,240,pos5,-0.41272575,1060920,21145788
IM0000,120,240,pos1,-0.78118896,212992,21145788
IM0000,120,240,pos0.1,-2.237705,21228,21145788
IM0000,120,600,neg0.1,-0.33079848,19462,19213682
IM0000,120,600,neg1,0.836344,192868,19213682
IM0000,120,600,neg5,0.73490804,970882,19213682
IM0000,120,600,pos5,0.1993581,978044,19213682
IM0000,120,600,pos1,0.015362042,192878,19213682
IM0000,120,600,pos0.1,-1.0895461,19342,19213682
