hm,mean,sd,n,se,t
09:30,-0.0004122478082193326,0.003043479468850689,19,0.0006982220758663683,-0.5904250559649049
09:31,-0.00016746507882805007,0.0030763409937437074,19,0.0007057610267158058,-0.2372829789246559
09:32,0.00016462077628971996,0.0033349635489365783,19,0.0007650931100108582,0.21516436906271927
09:33,0.00033104658806662576,0.0030602474382349296,19,0.0007020689118681729,0.4715300485043927
09:34,0.000378337610453244,0.003106895959570595,19,0.0007127708166243711,0.5307984019955003
09:35,0.0005183252042231422,0.0031871482425711406,19,0.0007311819530237294,0.7088867580492934
09:36,0.00040778587668442213,0.003381999751110813,19,0.0007758839548511443,0.525575859810965
09:37,0.00015360395937752383,0.0035162565489313007,19,0.0008066845766502432,0.19041390380285206
09:38,0.0002969643556783112,0.003195817592000941,19,0.0007331708381853473,0.40504114486239007
09:39,0.00025927434353568475,0.003051929844820863,19,0.0007001607250710479,0.3703068941911519
09:40,9.70903198992433e-05,0.0032645392070453877,19,0.0007489366579335393,0.12963755862496332
09:41,9.414722499141523e-05,0.0030130230410981913,19,0.0006912348921424533,0.1362014939662694
09:42,0.00017625410855053999,0.0029084505796847277,19,0.0006672443241646325,0.2641522785093814
09:43,0.0001287873489454326,0.0028761999542788945,19,0.0006598455232693687,0.19517802940804033
09:44,0.00032904273383003606,0.0026628858857477484,19,0.0006109079196923806,0.5386126504886756
09:45,0.00018605346793119918,0.002588470819890974,19,0.0005938359327478225,0.3133078644639855
09:46,6.039406591351857e-05,0.002600108580400082,19,0.0005965058181156293,0.10124639874310752
09:47,-1.4593926889999573e-05,0.002571972011972528,19,0.0005900508466212227,-0.024733337768377103
09:48,4.364554146578479e-05,0.002485511470881798,19,0.0005702154381360471,0.0765421953647131
09:49,-0.00021365293825280398,0.0024489856469102835,19,0.0005618358394243951,-0.3802764495616601
09:50,-6.993770492177669e-06,0.00243198524372201,19,0.0005579356794508619,-0.012535083791488585
09:51,-0.0002092469171446164,0.002254626963635726,19,0.0005172468994668463,-0.4045397224426057
09:52,-0.00015248494505481746,0.002461815193372197,19,0.0005647791392411815,-0.2699903988304015
09:53,-0.00031259249771997357,0.00260669857749039,19,0.0005980176671343072,-0.5227144863761513
09:54,-0.00025086227661259744,0.0023510534821370704,19,0.0005393686599734156,-0.4651035464777689
09:55,-0.00040185705638046956,0.0020885256682809513,19,0.00047914064889617987,-0.8387037445189583
09:56,-0.00038147778684680415,0.001996833614492307,19,0.00045810504908615896,-0.8327299330312707
09:57,-0.0005099670535097376,0.0020038108981239055,19,0.0004597057477309252,-1.1093336466356982
09:58,-0.00047051575869272856,0.0018686105592948857,19,0.000428688662778917,-1.097569867238086
09:59,-0.0007589883121556137,0.0018213833941396237,19,0.00041785400802619635,-1.8163959123925186
10:00,-0.0006221039081489603,0.0020098265834373203,19,0.0004610858405918366,-1.349214947373889
10:01,-0.0007398612806622139,0.0021250572710711474,19,0.00048752157335976053,-1.5175970071712959
10:02,-0.0005441199585144039,0.0023485004352638067,19,0.0005387829508513799,-1.0099056728773443
10:03,-0.0006455300715903855,0.00221985676569052,19,0.0005092700689884223,-1.2675594167012805
10:04,-0.0007510915905803578,0.0021846859727999933,19,0.0005012013357266325,-1.498582579576407
10:05,-0.0005896686168938231,0.0021716779893974406,19,0.0004982170996681598,-1.183557564135344
10:06,-0.0005945020217533337,0.0023105052291830697,19,0.0005300662527648044,-1.12156172676988
10:07,-0.0004982737214973594,0.0022920637617123655,19,0.0005258354899713627,-0.9475848074166611
10:08,-0.0008022861052881846,0.002559722189329531,19,0.0005872405445697953,-1.3661967190564621
10:09,-0.0005814656529542932,0.002391374929860405,19,0.000548619034493588,-1.0598714524934862
10:10,-0.0005088341864955559,0.002244795662883855,19,0.0005149914443899537,-0.9880439608046468
10:11,-0.0007627298657084345,0.0025429726040305015,19,0.0005833979261663909,-1.3073921443644219
10:12,-0.0006133218332137523,0.0025621683707799958,19,0.0005878017370824343,-1.0434161631743173
