code,rank,q,voi,n_total,cum1,cum20,cum120
IC0000,549187,0.015253828379369581,-7.0,36003224,-618855.0,-1.290593e+06,-982911.0
IC0000,558190,0.015503889318356601,-7.0,36003224,-625248.0,-1.302459e+06,-992321.0
IC0000,567193,0.01575395025734362,-7.0,36003224,-631199.0,-1.314966e+06,-1.000509e+06
IC0000,576196,0.01600401119633064,-7.0,36003224,-638655.0,-1.331702e+06,-1.013775e+06
IC0000,585199,0.016254072135317658,-7.0,36003224,-648018.0,-1.349425e+06,-1.024004e+06
IC0000,594202,0.016504133074304678,-6.0,36003224,-655474.0,-1.366716e+06,-1.040067e+06
IC0000,603205,0.016754194013291698,-6.0,36003224,-664327.0,-1.390241e+06,-1.067558e+06
IC0000,612208,0.017004254952278718,-6.0,36003224,-670519.0,-1.401707e+06,-1.076578e+06
IC0000,621211,0.017254315891265738,-6.0,36003224,-676104.0,-1.415674e+06,-1.077514e+06
IC0000,630214,0.017504376830252757,-6.0,36003224,-687817.0,-1.443601e+06,-1.105065e+06
IC0000,639218,0.017754465544530123,-6.0,36003224,-697719.0,-1.460919e+06,-1.124957e+06
IC0000,648221,0.018004526483517143,-6.0,36003224,-705729.0,-1.475634e+06,-1.136065e+06
IC0000,657224,0.018254587422504163,-6.0,36003224,-714591.0,-1.498058e+06,-1.159767e+06
IC0000,666227,0.018504648361491183,-6.0,36003224,-722432.0,-1.510873e+06,-1.173264e+06
IC0000,675230,0.018754709300478203,-6.0,36003224,-729184.0,-1.528699e+06,-1.189511e+06
IC0000,684233,0.019004770239465223,-6.0,36003224,-735728.0,-1.542752e+06,-1.203454e+06
IC0000,693236,0.01925483117845224,-6.0,36003224,-742230.0,-1.562062e+06,-1.221816e+06
IC0000,702239,0.01950489211743926,-6.0,36003224,-748961.0,-1.579047e+06,-1.232025e+06
IC0000,711242,0.01975495305642628,-6.0,36003224,-755743.0,-1.592765e+06,-1.24676e+06
IC0000,720245,0.0200050139954133,-6.0,36003224,-761210.0,-1.60597e+06,-1.261734e+06
IC0000,729248,0.02025507493440032,-6.0,36003224,-766483.0,-1.619579e+06,-1.275364e+06
IC0000,738251,0.02050513587338734,-6.0,36003224,-773417.0,-1.639473e+06,-1.295607e+06
IC0000,747254,0.02075519681237436,-6.0,36003224,-779371.0,-1.652718e+06,-1.30991e+06
IC0000,756257,0.02100525775136138,-6.0,36003224,-784697.0,-1.665004e+06,-1.324732e+06
IC0000,765260,0.0212553186903484,-6.0,36003224,-793160.0,-1.687752e+06,-1.336164e+06
IC0000,774263,0.02150537962933542,-6.0,36003224,-800767.0,-1.705804e+06,-1.35454e+06
IC0000,783266,0.02175544056832244,-6.0,36003224,-806697.0,-1.718086e+06,-1.364055e+06
IC0000,792269,0.022005501507309455,-6.0,36003224,-811876.0,-1.728144e+06,-1.372626e+06
IC0000,801273,0.022255590221586824,-6.0,36003224,-817688.0,-1.741602e+06,-1.379094e+06
IC0000,810276,0.02250565116057384,-6.0,36003224,-825228.0,-1.757993e+06,-1.393417e+06
IC0000,819279,0.02275571209956086,-6.0,36003224,-831605.0,-1.768839e+06,-1.404939e+06
IC0000,828282,0.02300577303854788,-6.0,36003224,-839718.0,-1.790206e+06,-1.416577e+06
IC0000,837285,0.0232558339775349,-6.0,36003224,-848612.0,-1.806342e+06,-1.433049e+06
