code,factor,basis,J,k,bucket,mean_dy,n,nrows
IC0000,voi,last,20,20,neg5,-0.8265522,1984799,36447876
IC0000,voi,last,20,20,pos5,0.9978389,1837950,36447876
IC0000,voi,last,20,20,pos1,1.2151207,374097,36447876
IC0000,voi,last,20,20,pos0.1,1.5706685,37400,36447876
IC0000,voi,last,20,60,neg0.1,-0.0731011,36429,36280894
IC0000,voi,last,20,60,neg1,-0.30382577,381100,36280894
IC0000,voi,last,20,60,neg5,-0.50478756,1972721,36280894
IC0000,voi,last,20,60,pos5,0.940513,1827072,36280894
IC0000,voi,last,20,60,pos1,1.1683167,371401,36280894
IC0000,voi,last,20,60,pos0.1,1.1801512,37030,36280894
IC0000,voi,last,20,120,neg0.1,1.3550481,36826,35950568
IC0000,voi,last,20,120,neg1,0.5302423,373318,35950568
IC0000,voi,last,20,120,neg5,-0.113394745,1945972,35950568
IC0000,voi,last,20,120,pos5,0.65424865,1801578,35950568
IC0000,voi,last,20,120,pos1,0.58830017,364586,35950568
IC0000,voi,last,20,120,pos0.1,0.65140784,36154,35950568
IC0000,voi,last,20,240,neg0.1,2.4239073,36541,35129134
IC0000,voi,last,20,240,neg1,1.0923496,357955,35129134
IC0000,voi,last,20,240,neg5,0.26424786,1882581,35129134
IC0000,voi,last,20,240,pos5,0.46617576,1910361,35129134
IC0000,voi,last,20,240,pos1,0.36065793,351466,35129134
IC0000,voi,last,20,240,pos0.1,0.3194348,36023,35129134
IC0000,voi,last,20,600,neg0.1,2.9456248,32993,32232597
IC0000,voi,last,20,600,neg1,1.1478395,337704,32232597
IC0000,voi,last,20,600,neg5,0.36124867,1689083,32232597
IC0000,voi,last,20,600,pos5,0.31982133,1708998,32232597
IC0000,voi,last,20,600,pos1,0.37686744,328991,32232597
IC0000,voi,last,20,600,pos0.1,0.6656361,32345,32232597
IC0000,voi,last,60,1,neg0.1,-0.2776801,36398,36388672
IC0000,voi,last,60,1,neg1,-0.20191768,372117,36388672
IC0000,voi,last,60,1,neg5,-0.159772,1824212,36388672
IC0000,voi,last,60,1,pos5,0.16467758,1872884,36388672
IC0000,voi,last,60,1,pos1,0.20447904,371955,36388672
IC0000,voi,last,60,1,pos0.1,0.2651794,36398,36388672
IC0000,voi,last,60,5,neg0.1,-0.67067003,36386,36376591
IC0000,voi,last,60,5,neg1,-0.42927042,371966,36376591
IC0000,voi,last,60,5,neg5,-0.35117084,1823591,36376591
IC0000,voi,last,60,5,pos5,0.40041876,1872210,36376591
IC0000,voi,last,60,5,pos1,0.4905812,371863,36376591
IC0000,voi,last,60,5,pos0.1,0.70356125,36392,36376591
IC0000,voi,last,60,20,neg0.1,-0.3251197,37174,36327910
IC0000,voi,last,60,20,neg1,-0.22174402,371063,36327910
IC0000,voi,last,60,20,neg5,-0.27820653,1820615,36327910
IC0000,voi,last,60,20,pos5,0.5099715,1869273,36327910
IC0000,voi,last,60,20,pos1,0.6359516,371305,36327910
IC0000,voi,last,60,20,pos0.1,1.0028895,36338,36327910
IC0000,voi,last,60,60,neg0.1,1.8573508,36411,36161931
IC0000,voi,last,60,60,neg1,0.6361547,367255,36161931
IC0000,voi,last,60,60,neg5,0.15284158,1808572,36161931
IC0000,voi,last,60,60,pos5,0.34092,1856544,36161931
IC0000,voi,last,60,60,pos1,0.41702902,367972,36161931
IC0000,voi,last,60,60,pos0.1,0.3135201,36945,36161931
IC0000,voi,last,60,120,neg0.1,3.696393,36735,35834432
IC0000,voi,last,60,120,neg1,1.7143961,358472,35834432
IC0000,voi,last,60,120,neg5,0.5658072,1866961,35834432
IC0000,voi,last,60,120,pos5,0.06011075,1829889,35834432
IC0000,voi,last,60,120,pos1,-0.16972806,360512,35834432
IC0000,voi,last,60,120,pos0.1,-0.53790224,35895,35834432
IC0000,voi,last,60,240,neg0.1,4.473965,35606,35016996
IC0000,voi,last,60,240,neg1,2.3584895,354016,35016996
IC0000,voi,last,60,240,neg5,0.8474873,1799076,35016996
IC0000,voi,last,60,240,pos5,0.054173302,1773069,35016996
IC0000,voi,last,60,240,pos1,-0.050038677,359382,35016996
IC0000,voi,last,60,240,pos0.1,-0.29182371,35285,35016996
IC0000,voi,last,60,600,neg0.1,5.2232294,32881,32130589
IC0000,voi,last,60,600,neg1,2.2623062,332455,32130589
IC0000,voi,last,60,600,neg5,0.85597545,1606615,32130589
IC0000,voi,last,60,600,pos5,0.0560247,1649808,32130589
IC0000,voi,last,60,600,pos1,0.23570135,323125,32130589
IC0000,voi,last,60,600,pos0.1,1.2053667,32795,32130589
IC0000,voi,last,120,1,neg0.1,-0.16248646,36920,36208315
IC0000,voi,last,120,1,neg1,-0.1318677,366625,36208315
IC0000,voi,last,120,1,neg5,-0.097763784,1851790,36208315
IC0000,voi,last,120,1,pos5,0.10258034,1817824,36208315
IC0000,voi,last,120,1,pos1,0.126983,368506,36208315
IC0000,voi,last,120,1,pos0.1,0.15087795,36904,36208315
IC0000,voi,last,120,5,neg0.1,-0.2757303,36902,36196239
IC0000,voi,last,120,5,neg1,-0.2739494,366491,36196239
IC0000,voi,last,120,5,neg5,-0.1951784,1851173,36196239
IC0000,voi,last,120,5,pos5,0.24291573,1817091,36196239
IC0000,voi,last,120,5,pos1,0.29133183,368336,36196239
IC0000,voi,last,120,5,pos0.1,0.3855706,36883,36196239
IC0000,voi,last,120,20,neg0.1,0.5547596,36715,36147728
IC0000,voi,last,120,20,neg1,0.0038181092,365626,36147728
IC0000,voi,last,120,20,neg5,-0.0558759,1848167,36147728
IC0000,voi,last,120,20,pos5,0.271535,1813954,36147728
IC0000,voi,last,120,20,pos1,0.2951292,367517,36147728
IC0000,voi,last,120,20,pos0.1,0.26715085,36762,36147728
IC0000,voi,last,120,60,neg0.1,2.8440008,36513,35983680
IC0000,voi,last,120,60,neg1,0.96710515,361333,35983680
IC0000,voi,last,120,60,neg5,0.3741644,1835800,35983680
IC0000,voi,last,120,60,pos5,0.027425919,1801143,35983680
IC0000,voi,last,120,60,pos1,-0.12388957,363711,35983680
IC0000,voi,last,120,60,pos0.1,-0.77121407,36226,35983680
IC0000,voi,last,120,120,neg0.1,5.034134,35771,35658507
IC0000,voi,last,120,120,neg1,1.8922032,361968,35658507
IC0000,voi,last,120,120,neg5,0.81917506,1806073,35658507
IC0000,voi,last,120,120,pos5,-0.13505313,1828636,35658507
IC0000,voi,last,120,120,pos1,-0.34543425,356612,35658507
IC0000,voi,last,120,120,pos0.1,-1.3796507,35962,35658507
IC0000,voi,last,120,240,neg0.1,5.8357453,35031,34846292
IC0000,voi,last,120,240,neg1,2.3340266,351996,34846292
IC0000,voi,last,120,240,neg5,0.9543253,1792438,34846292
IC0000,voi,last,120,240,pos5,-0.05556823,1770814,34846292
IC0000,voi,last,120,240,pos1,0.034986526,351421,34846292
IC0000,voi,last,120,240,pos0.1,0.010706515,34932,34846292
IC0000,voi,last,120,600,neg0.1,7.378354,32200,31975388
IC0000,voi,last,120,600,neg1,2.552727,322074,31975388
IC0000,voi,last,120,600,neg5,0.83876073,1649561,31975388
IC0000,voi,last,120,600,pos5,0.014453412,1614982,31975388
IC0000,voi,last,120,600,pos1,-0.3878448,321064,31975388
IC0000,voi,last,120,600,pos0.1,0.2760049,32590,31975388
IC0000,voi,last,240,1,neg0.1,-0.102383174,36422,35847596
IC0000,voi,last,240,1,neg1,-0.07248864,359477,35847596
IC0000,voi,last,240,1,neg5,-0.05939623,1805384,35847596
IC0000,voi,last,240,1,pos5,0.062574685,1802582,35847596
IC0000,voi,last,240,1,pos1,0.083781205,360224,35847596
IC0000,voi,last,240,1,pos0.1,0.106774814,36001,35847596
IC0000,voi,last,240,5,neg0.1,-0.14215861,36403,35835525
IC0000,voi,last,240,5,neg1,-0.10440305,359319,35835525
IC0000,voi,last,240,5,neg5,-0.11055695,1804735,35835525
IC0000,voi,last,240,5,pos5,0.14488068,1801869,35835525
IC0000,voi,last,240,5,pos1,0.19309379,360053,35835525
IC0000,voi,last,240,5,pos0.1,0.22457768,35992,35835525
IC0000,voi,last,240,20,neg0.1,0.52739275,36214,35787256
IC0000,voi,last,240,20,neg1,0.21296653,358338,35787256
IC0000,voi,last,240,20,neg5,0.010597145,1801523,35787256
IC0000,voi,last,240,20,pos5,0.13729255,1798772,35787256
IC0000,voi,last,240,20,pos1,0.17786272,359204,35787256
IC0000,voi,last,240,20,pos0.1,0.10353753,35929,35787256
IC0000,voi,last,240,60,neg0.1,1.7111086,35747,35625249
IC0000,voi,last,240,60,neg1,1.0416427,360039,35625249
IC0000,voi,last,240,60,neg5,0.41436934,1787777,35625249
IC0000,voi,last,240,60,pos5,0.01733125,1787061,35625249
IC0000,voi,last,240,60,pos1,-0.06630201,361618,35625249
IC0000,voi,last,240,60,pos0.1,-0.27665633,36164,35625249
IC0000,voi,last,240,120,neg0.1,2.3362517,35637,35304264
IC0000,voi,last,240,120,neg1,1.8582643,357193,35304264
IC0000,voi,last,240,120,neg5,0.870076,1792887,35304264
IC0000,voi,last,240,120,pos5,-0.05342644,1798529,35304264
IC0000,voi,last,240,120,pos1,0.03222998,354887,35304264
IC0000,voi,last,240,120,pos0.1,-0.09249427,35786,35304264
IC0000,voi,last,240,240,neg0.1,3.342482,34504,34502714
IC0000,voi,last,240,240,neg1,2.4919794,345356,34502714
IC0000,voi,last,240,240,neg5,1.1345463,1726871,34502714
IC0000,voi,last,240,240,pos5,0.1944856,1741188,34502714
IC0000,voi,last,240,240,pos1,0.5177423,346601,34502714
IC0000,voi,last,240,240,pos0.1,0.8573232,34848,34502714
IC0000,voi,last,240,600,neg0.1,3.6644025,32095,31661544
IC0000,voi,last,240,600,neg1,1.3465165,316640,31661544
IC0000,voi,last,240,600,neg5,0.63917136,1607073,31661544
IC0000,voi,last,240,600,pos5,0.6954972,1607890,31661544
IC0000,voi,last,240,600,pos1,-0.07933948,317509,31661544
IC0000,voi,last,240,600,pos0.1,-1.397899,32081,31661544
IC0000,voi,last,600,1,neg0.1,-0.07047009,34951,34765437
IC0000,voi,last,600,1,neg1,-0.044550724,347716,34765437
IC0000,voi,last,600,1,neg5,-0.03196338,1750785,34765437
IC0000,voi,last,600,1,pos5,0.03596955,1747617,34765437
IC0000,voi,last,600,1,pos1,0.045090925,350514,34765437
IC0000,voi,last,600,1,pos0.1,0.05417556,35145,34765437
IC0000,voi,last,600,5,neg0.1,-0.12352992,34947,34753369
IC0000,voi,last,600,5,neg1,-0.079464085,347591,34753369
IC0000,voi,last,600,5,neg5,-0.055714555,1750189,34753369
IC0000,voi,last,600,5,pos5,0.08588007,1746843,34753369
IC0000,voi,last,600,5,pos1,0.09732487,350301,34753369
IC0000,voi,last,600,5,pos0.1,0.1011981,35139,34753369
IC0000,voi,last,600,20,neg0.1,0.28931215,34862,34705460
IC0000,voi,last,600,20,neg1,0.06256167,350662,34705460
IC0000,voi,last,600,20,neg5,0.02589151,1747175,34705460
IC0000,voi,last,600,20,pos5,0.11632035,1743676,34705460
IC0000,voi,last,600,20,pos1,0.039129887,349426,34705460
IC0000,voi,last,600,20,pos0.1,-0.017045291,34731,34705460
IC0000,voi,last,600,60,neg0.1,1.7882183,34630,34547626
IC0000,voi,last,600,60,neg1,0.5088612,346116,34547626
IC0000,voi,last,600,60,neg5,0.24139619,1733884,34547626
IC0000,voi,last,600,60,pos5,0.17886351,1731991,34547626
