code,rank,q,mpb,n_total,cum1,cum5,cum10,cum20
IC0000,86324,0.01475368957604079,-5.5,5851011,325650.0,505138.0,532053.0,542542.0
IC0000,87788,0.015003902744329143,-5.5,5851011,328431.0,511331.0,539026.0,549083.0
IC0000,89251,0.015253945001983418,-5.5,5851011,331248.0,517396.0,546053.0,556520.0
IC0000,90714,0.015503987259637694,-5.5,5851011,335915.0,522867.0,550857.0,561570.0
IC0000,92177,0.01575402951729197,-5.5,5851011,339675.0,528860.0,557792.0,568342.0
IC0000,93640,0.016004071774946244,-5.456897,5851011,343696.0,534840.0,564303.0,574656.0
IC0000,95103,0.01625411403260052,-5.25,5851011,346977.0,538913.0,568382.0,579263.0
IC0000,96566,0.016504156290254795,-5.25,5851011,349783.0,544688.0,574714.0,585307.0
IC0000,98029,0.01675419854790907,-5.25,5851011,353424.0,550843.0,581067.0,591811.0
IC0000,99493,0.01700441171619742,-5.25,5851011,357438.0,556401.0,586932.0,597465.0
IC0000,100956,0.0172544539738517,-5.25,5851011,360114.0,562807.0,594431.0,604895.0
IC0000,102419,0.017504496231505975,-5.25,5851011,362966.0,568988.0,601656.0,612501.0
IC0000,103882,0.01775453848916025,-5.25,5851011,365453.0,575163.0,609207.0,620694.0
IC0000,105345,0.018004580746814526,-5.25,5851011,369827.0,580632.0,614517.0,626296.0
IC0000,106808,0.0182546230044688,-5.25,5851011,373167.0,586071.0,620307.0,632160.0
IC0000,108271,0.018504665262123077,-5.25,5851011,377181.0,592368.0,626798.0,638998.0
IC0000,109734,0.018754707519777352,-5.15,5851011,380343.0,597099.0,632440.0,645212.0
IC0000,111197,0.019004749777431627,-5.0,5851011,383397.0,601586.0,637322.0,650286.0
IC0000,112661,0.01925496294571998,-5.0,5851011,386692.0,607352.0,643538.0,656894.0
IC0000,114124,0.019505005203374254,-5.0,5851011,390196.0,612180.0,648206.0,661169.0
IC0000,115587,0.01975504746102853,-5.0,5851011,393918.0,617631.0,654009.0,667256.0
IC0000,117050,0.020005089718682804,-5.0,5851011,395966.0,622937.0,660310.0,673696.0
IC0000,118513,0.02025513197633708,-5.0,5851011,398950.0,628700.0,667205.0,680708.0
IC0000,119976,0.020505174233991355,-5.0,5851011,401394.0,634335.0,673374.0,687265.0
IC0000,121439,0.02075521649164563,-5.0,5851011,405090.0,639750.0,679140.0,694192.0
IC0000,122902,0.021005258749299906,-5.0,5851011,408453.0,644629.0,683390.0,696504.0
IC0000,124366,0.02125547191758826,-5.0,5851011,412281.0,650048.0,689527.0,702431.0
IC0000,125829,0.021505514175242536,-5.0,5851011,415825.0,655727.0,695448.0,707971.0
IC0000,127292,0.02175555643289681,-4.8863635,5851011,418613.0,660080.0,700613.0,713136.0
IC0000,128755,0.022005598690551086,-4.75,5851011,421223.0,664273.0,704955.0,717377.0
IC0000,130218,0.02225564094820536,-4.75,5851011,423702.0,669399.0,710235.0,722457.0
IC0000,131681,0.022505683205859637,-4.75,5851011,426730.0,674395.0,715691.0,727812.0
IC0000,133144,0.022755725463513912,-4.75,5851011,430582.0,679030.0,720126.0,731844.0
IC0000,134607,0.023005767721168188,-4.75,5851011,433869.0,684474.0,726288.0,738446.0
IC0000,136071,0.02325598088945654,-4.75,5851011,436222.0,689725.0,732839.0,744996.0
IC0000,137534,0.023506023147110814,-4.75,5851011,438732.0,695361.0,738918.0,751806.0
IC0000,138997,0.02375606540476509,-4.75,5851011,441324.0,700666.0,744899.0,758066.0
IC0000,140460,0.024006107662419368,-4.75,5851011,443624.0,705861.0,751040.0,764520.0
IC0000,141923,0.024256149920073643,-4.75,5851011,445819.0,711216.0,757036.0,770308.0
IC0000,143386,0.02450619217772792,-4.75,5851011,449692.0,716795.0,761673.0,775598.0
IC0000,144849,0.024756234435382194,-4.75,5851011,452939.0,722199.0,767093.0,781389.0
IC0000,146312,0.02500627669303647,-4.75,5851011,456060.0,726652.0,771852.0,786686.0
IC0000,147775,0.025256318950690745,-4.75,5851011,459492.0,731897.0,777401.0,792111.0
IC0000,149239,0.025506532118979096,-4.714286,5851011,462446.0,737005.0,783068.0,797827.0
IC0000,150702,0.02575657437663337,-4.6,5851011,465180.0,740025.0,786457.0,801411.0
IC0000,152165,0.026006616634287646,-4.5,5851011,467773.0,743973.0,791182.0,806263.0
IC0000,153628,0.026256658891941922,-4.5,5851011,470245.0,749057.0,797152.0,812320.0
IC0000,155091,0.026506701149596197,-4.5,5851011,473250.0,754278.0,801969.0,817362.0
IC0000,156554,0.026756743407250472,-4.5,5851011,477236.0,758129.0,805312.0,820332.0
IC0000,158017,0.027006785664904748,-4.5,5851011,480435.0,762943.0,810614.0,825789.0
IC0000,159480,0.027256827922559023,-4.5,5851011,482676.0,767938.0,816550.0,831331.0
IC0000,160944,0.027507041090847378,-4.5,5851011,484868.0,773068.0,821869.0,836911.0
IC0000,162407,0.027757083348501653,-4.5,5851011,487249.0,778362.0,827801.0,842982.0
IC0000,163870,0.02800712560615593,-4.5,5851011,489852.0,783519.0,833561.0,849286.0
IC0000,165333,0.028257167863810204,-4.5,5851011,492025.0,788576.0,839885.0,855732.0
IC0000,166796,0.02850721012146448,-4.5,5851011,494651.0,793929.0,845532.0,862022.0
IC0000,168259,0.028757252379118754,-4.5,5851011,498207.0,798576.0,849864.0,866233.0
IC0000,169722,0.02900729463677303,-4.5,5851011,501339.0,803443.0,854369.0,870608.0
IC0000,171185,0.029257336894427305,-4.5,5851011,504309.0,808044.0,858755.0,875557.0
IC0000,172648,0.02950737915208158,-4.5,5851011,507465.0,812532.0,863889.0,880792.0
IC0000,174112,0.02975759232036993,-4.5,5851011,510223.0,817528.0,869088.0,885867.0
IC0000,175575,0.030007634578024207,-4.4,5851011,512937.0,821232.0,872764.0,889161.0
IC0000,177038,0.030257676835678482,-4.3,5851011,515168.0,823533.0,875519.0,891922.0
IC0000,178501,0.03050771909333276,-4.25,5851011,517063.0,827665.0,880571.0,896433.0
IC0000,179964,0.030757761350987036,-4.25,5851011,519199.0,832243.0,885414.0,901839.0
IC0000,181427,0.03100780360864131,-4.25,5851011,522303.0,837402.0,890563.0,906940.0
IC0000,182890,0.03125784586629558,-4.25,5851011,525105.0,841226.0,894931.0,909641.0
IC0000,184353,0.03150788812394986,-4.25,5851011,528841.0,845516.0,899533.0,914672.0
IC0000,185817,0.03175810129223822,-4.25,5851011,531642.0,850467.0,905120.0,920511.0
IC0000,187280,0.03200814354989249,-4.25,5851011,533759.0,855226.0,910717.0,926169.0
IC0000,188743,0.03225818580754677,-4.25,5851011,535522.0,859602.0,916061.0,931795.0
IC0000,190206,0.03250822806520104,-4.25,5851011,537466.0,863912.0,921109.0,936966.0
IC0000,191669,0.03275827032285532,-4.25,5851011,539677.0,868517.0,926418.0,942536.0
IC0000,193132,0.03300831258050959,-4.25,5851011,542093.0,873046.0,931588.0,947614.0
IC0000,194595,0.03325835483816387,-4.25,5851011,544257.0,878026.0,937028.0,953353.0
IC0000,196058,0.03350839709581814,-4.25,5851011,546303.0,882942.0,942657.0,959214.0
IC0000,197521,0.03375843935347242,-4.25,5851011,548375.0,887713.0,948184.0,964968.0
IC0000,198985,0.03400865252176077,-4.25,5851011,550787.0,892337.0,953345.0,970385.0
IC0000,200448,0.034258694779415046,-4.25,5851011,553883.0,896703.0,957321.0,974926.0
IC0000,201911,0.03450873703706932,-4.25,5851011,556819.0,901287.0,962584.0,979035.0
IC0000,203374,0.034758779294723596,-4.25,5851011,559574.0,905514.0,967636.0,983476.0
IC0000,204837,0.03500882155237787,-4.25,5851011,562526.0,910313.0,973019.0,988669.0
IC0000,206300,0.03525886381003215,-4.25,5851011,565753.0,914738.0,977132.0,992499.0
IC0000,207763,0.03550890606768642,-4.25,5851011,568575.0,919593.0,982341.0,998295.0
IC0000,209226,0.0357589483253407,-4.1666665,5851011,570834.0,923793.0,986375.0,1.003446e+06
IC0000,210690,0.03600916149362905,-4.1,5851011,573005.0,926641.0,989453.0,1.005934e+06
IC0000,212153,0.036259203751283324,-4.0277777,5851011,575513.0,929240.0,992087.0,1.009589e+06
IC0000,213616,0.0365092460089376,-4.0,5851011,576900.0,932914.0,995954.0,1.013118e+06
IC0000,215079,0.036759288266591875,-4.0,5851011,579057.0,937562.0,1.001096e+06,1.018104e+06
IC0000,216542,0.03700933052424615,-4.0,5851011,581797.0,941640.0,1.004984e+06,1.021871e+06
IC0000,218005,0.037259372781900425,-4.0,5851011,584303.0,945266.0,1.008642e+06,1.024941e+06
