code,year,month,sum_K20,n_K20,sum_K42,n_K42,sum_K60,n_K60,sum_K90,n_K90,sum_close,n_close
IH0000,2023,9,167.19999999999482,4502,101.69999999998754,4276,-41.29999999999109,3560,-104.00000000000409,1610,71.09999999998945,4504
IM0000,2023,9,292.300000000012,4657,317.600000000004,4596,240.90000000003874,4266,-193.29999999999745,2479,114.89999999998145,4657
IC0000,2023,10,-189.19999999993888,3944,-270.3999999999296,3883,-353.9999999999909,3490,-401.59999999996853,1612,-282.69999999995616,3944
IF0000,2023,10,-111.3999999999669,3897,-158.99999999998226,3868,-235.49999999999636,3640,-297.79999999999154,1887,-276.9999999999718,3897
IH0000,2023,10,-84.20000000001346,3854,-62.20000000001346,3646,-108.60000000002992,2862,-118.40000000000782,951,-80.70000000001619,3857
IM0000,2023,10,-50.39999999998054,3954,123.30000000004293,3927,-112.29999999995016,3629,-183.7999999999629,1677,-61.9999999999809,3954
IC0000,2023,11,105.69999999995707,5108,332.5999999999667,5093,217.89999999993051,4930,152.99999999998818,3477,306.49999999996453,5108
IF0000,2023,11,121.39999999997463,5037,168.09999999998627,5022,126.9999999999909,4887,-61.30000000001746,3382,110.79999999997335,5037
IH0000,2023,11,50.00000000002183,4953,81.40000000000146,4822,14.700000000008004,4220,-141.6999999999921,2007,51.49999999997999,4955
IM0000,2023,11,188.50000000000637,5121,471.1000000000049,5119,477.19999999997617,4970,137.50000000001728,3470,358.4999999999827,5121
IC0000,2023,12,552.5000000000236,4889,786.2000000000025,4884,750.5000000000055,4800,554.4999999999682,3792,810.2000000000053,4889
IF0000,2023,12,244.69999999998663,4849,352.0999999999658,4849,361.9999999999932,4833,251.29999999997062,4279,312.59999999999127,4849
IH0000,2023,12,161.19999999997754,4760,242.9999999999759,4751,181.59999999998809,4635,4.099999999999454,2963,201.399999999986,4760
IM0000,2023,12,618.4999999999764,4906,877.1000000000458,4889,874.9999999999864,4733,445.1000000000113,2992,801.6999999999844,4906
IC0000,2024,1,429.19999999996253,5131,330.6999999999689,5124,235.69999999996526,5020,-169.40000000007967,3713,-156.9000000000433,5131
IF0000,2024,1,221.9000000000292,5112,229.10000000003356,5111,183.00000000002183,4977,-84.99999999997954,3543,88.70000000001073,5112
IH0000,2024,1,164.90000000002328,5038,123.49999999998727,5013,-20.89999999999509,4726,-173.79999999998608,2630,30.800000000035197,5038
IM0000,2024,1,789.1999999999744,5145,912.5000000000564,5136,833.5000000000164,5059,427.3000000000102,3913,520.7999999999756,5145
IC0000,2024,2,804.5000000000091,3523,1486.8000000000093,3523,1616.0999999999985,3523,1651.6999999999962,3501,1413.7000000000116,3523
IF0000,2024,2,224.59999999999536,3480,452.0999999999922,3480,464.900000000011,3480,333.40000000001373,3356,348.19999999998936,3480
IH0000,2024,2,97.50000000000728,3456,138.19999999999072,3456,157.20000000000573,3438,78.90000000002055,2745,188.5999999999981,3456
IM0000,2024,2,1340.2000000000621,3527,1910.5000000000337,3527,2054.5000000000164,3527,2227.4000000000306,3526,1977.9000000000538,3527
IC0000,2024,3,422.2999999999802,4904,638.0000000000009,4904,620.599999999984,4886,445.2999999999829,4141,785.1999999999935,4904
IF0000,2024,3,121.80000000002656,4829,220.7000000000303,4819,178.00000000001728,4675,-20.59999999998081,3135,357.50000000002956,4829
IH0000,2024,3,108.40000000000691,4762,203.90000000000055,4712,134.70000000000073,4359,-68.70000000001392,2277,328.5000000000191,4762
IM0000,2024,3,685.9000000000324,4921,1033.8000000000138,4921,1014.4000000000506,4915,955.9000000000578,4631,1124.6000000000004,4921
IC0000,2024,4,-253.59999999991578,4674,-211.99999999998363,4674,-334.19999999996526,4641,-576.6999999999734,3768,-357.899999999986,4674
IF0000,2024,4,-15.299999999998363,4607,105.40000000000146,4600,71.30000000002883,4458,-134.59999999998445,2559,113.70000000000755,4607
IH0000,2024,4,-1.8999999999887223,4497,29.300000000000637,4371,-44.500000000001364,3657,-40.09999999998854,1273,113.39999999998554,4498
IM0000,2024,4,-200.60000000000673,4670,120.29999999997926,4670,314.29999999999745,4669,370.5000000000109,4437,505.4000000000151,4670
IC0000,2024,5,-59.50000000000637,4640,27.300000000026557,4639,-108.80000000004202,4608,-413.600000000004,3523,-305.0000000000309,4640
IF0000,2024,5,21.700000000000273,4584,67.69999999998254,4579,69.70000000001573,4460,-86.80000000001291,3111,74.40000000000737,4584
IH0000,2024,5,24.899999999961437,4471,26.700000000022555,4334,-6.500000000022737,3695,-90.60000000002356,1603,77.29999999994834,4472
IM0000,2024,5,87.79999999998472,4677,469.99999999997726,4677,466.79999999998563,4676,394.00000000000364,4426,258.8999999999569,4677
IC0000,2024,6,14.80000000003838,4419,127.50000000001728,4419,223.00000000003183,4397,-17.80000000002201,3605,92.99999999994452,4419
IF0000,2024,6,16.40000000003056,4347,15.100000000033106,4347,108.90000000001692,4274,-46.59999999999445,2861,109.80000000001974,4347
IH0000,2024,6,7.600000000010823,4260,-12.200000000014825,4195,-14.799999999970623,3702,-59.10000000000991,1708,33.600000000014916,4260
IM0000,2024,6,276.4999999999927,4442,605.8000000000575,4442,848.4000000000406,4439,692.2000000000435,4178,558.0000000000609,4442
IC0000,2024,7,307.9000000000033,5338,322.1000000000113,5329,349.2000000000198,5175,-124.89999999999509,3428,202.1000000000131,5338
IF0000,2024,7,191.40000000003465,5227,138.70000000003847,5198,69.40000000002601,4906,-116.29999999999518,2521,119.2000000000412,5227
IH0000,2024,7,87.80000000000427,5117,41.100000000015825,4770,-7.4000000000010004,3693,-105.29999999999609,1285,78.30000000000155,5132
IM0000,2024,7,273.3000000000293,5371,782.400000000056,5371,887.4000000000051,5361,446.0000000000582,4732,564.3000000000629,5371
IC0000,2024,8,249.299999999982,5122,346.6000000000231,5122,227.30000000008204,5048,-251.29999999996016,3742,53.90000000007058,5122
IF0000,2024,8,58.50000000000273,5017,117.00000000000546,5010,37.40000000001055,4867,-188.9000000000051,3179,61.000000000029104,5017
IH0000,2024,8,-15.899999999999636,4861,-54.399999999977354,4662,-89.79999999999245,3839,-206.10000000002083,1704,-92.19999999996526,4863
IM0000,2024,8,404.8000000000593,5107,772.5000000000691,5107,908.5000000000728,5103,483.50000000004275,4667,437.20000000004165,5107
IC0000,2024,9,4013.4000000000187,4343,7481.999999999995,4342,4357.400000000009,4305,9727.699999999999,3561,6762.999999999998,4343
IF0000,2024,9,2786.000000000019,4345,3096.699999999996,4343,3206.400000000009,4289,2994.8000000000065,3278,1045.2999999999993,4345
IH0000,2024,9,532.2999999999993,4286,823.5000000000041,4161,806.4000000000183,3710,702.0000000000041,2191,759.4999999999986,4289
IM0000,2024,9,4198.999999999987,4343,10481.000000000004,4343,10577.59999999997,4336,18920.799999999996,4057,12737.799999999957,4343
IC0000,2024,10,1314.1000000000395,4226,2147.5000000000455,4226,2377.6999999999944,4226,2417.100000000054,4179,2335.900000000076,4226
IF0000,2024,10,830.0000000000146,4215,1035.8999999999974,4215,1278.9000000000265,4215,1546.8999999999937,4156,1554.899999999987,4215
IH0000,2024,10,679.9999999999977,4182,801.1999999999775,4182,1049.3000000000143,4166,1049.800000000011,3534,1097.3000000000065,4182
IM0000,2024,10,1879.000000000029,4195,2730.700000000037,4195,6108.800000000053,4195,12153.800000000008,4193,8681.400000000109,4195
IC0000,2024,11,1072.2000000000216,4922,1494.6999999999362,4922,1192.7000000000098,4922,307.10000000001946,4798,92.49999999998454,4922
IF0000,2024,11,585.400000000051,4894,892.000000000005,4894,748.4000000000719,4894,556.2000000000148,4764,351.00000000003365,4894
IH0000,2024,11,230.49999999997453,4856,449.20000000001164,4856,413.5000000000141,4849,229.69999999996844,4287,273.7999999999979,4856
IM0000,2024,11,1626.3000000000657,4926,2273.100000000083,4926,2054.7000000001017,4926,1071.2000000000398,4831,605.7000000000353,4926
IC0000,2024,12,-423.3999999999787,3971,49.700000000039836,3970,62.60000000002401,3952,-227.09999999999764,3543,1.1000000000212822,3971
IF0000,2024,12,-153.69999999997708,3943,85.00000000000364,3943,87.50000000000546,3938,-15.49999999996271,3526,96.60000000001719,3943
IH0000,2024,12,-167.19999999999482,3888,-70.00000000000819,3871,-38.80000000000109,3700,-161.60000000000036,2263,33.800000000003365,3888
IM0000,2024,12,-423.899999999966,3975,313.40000000006876,3975,323.600000000014,3975,-6.899999999925058,3950,137.00000000003456,3975
IC0000,2025,1,-68.39999999999418,4208,1.499999999987267,4208,3.6000000000012733,4203,-439.09999999997854,3972,-271.3999999999942,4208
IF0000,2025,1,137.70000000005848,4161,152.6000000000563,4161,143.2000000000553,4160,-58.99999999994088,3930,-1.599999999982174,4161
IH0000,2025,1,80.00000000004093,4131,138.10000000003265,4122,184.10000000001992,4020,-8.500000000001364,2696,190.20000000003165,4131
IM0000,2025,1,-130.60000000001673,4216,269.0000000000282,4216,104.29999999999472,4216,-323.1000000000149,4214,-452.300000000012,4216
IC0000,2025,2,186.69999999996253,3970,527.5000000000264,3970,557.8000000000065,3970,445.3999999999887,3917,453.99999999999727,3970
IF0000,2025,2,133.50000000001364,3941,258.900000000016,3941,320.9999999999818,3940,246.60000000001128,3861,247.90000000001737,3941
IH0000,2025,2,47.999999999991815,3885,171.7000000000121,3883,209.19999999998845,3839,40.60000000000264,2960,178.600000000019,3885
