code,year,month,avg_spread,med_spread,n
IC0000,2020,1,0.8204069552349647,0.7999999999992724,13515
IF0000,2020,1,0.455906702181282,0.3999999999996362,13891
IH0000,2020,1,0.5192383150606005,0.40000000000009095,8665
IC0000,2020,2,0.825018670649787,0.6000000000003638,18746
IF0000,2020,2,0.5474803562074626,0.40000000000009095,19090
IH0000,2020,2,0.6255698270101868,0.599999999999909,13469
IC0000,2020,3,0.9361837455831121,0.8000000000001819,22640
IF0000,2020,3,0.6259431848732302,0.599999999999909,22318
IH0000,2020,3,0.6886107634543254,0.599999999999909,18377
IC0000,2020,4,0.6219149975574474,0.5999999999994543,20470
IF0000,2020,4,0.436664803617718,0.40000000000009095,19681
IH0000,2020,4,0.474983950353097,0.40000000000009095,14019
IC0000,2020,5,0.5710029447427944,0.4000000000005457,17319
IF0000,2020,5,0.40501680268844376,0.40000000000009095,16664
IH0000,2020,5,0.44507734303913704,0.40000000000009095,10990
IC0000,2020,6,0.5765309294374369,0.4000000000005457,19302
IF0000,2020,6,0.4179573154505389,0.40000000000009095,18789
IH0000,2020,6,0.4236552704421403,0.40000000000009095,13367
IC0000,2020,7,1.035329109013402,0.8000000000001819,23199
IF0000,2020,7,0.6287164612038243,0.5999999999994543,23443
IH0000,2020,7,0.7279108910891271,0.599999999999909,20200
IC0000,2020,8,0.9728366871224514,0.8000000000001819,21021
IF0000,2020,8,0.6059136435520492,0.5999999999994543,20867
IH0000,2020,8,0.6667017297802849,0.599999999999909,17112
IC0000,2020,9,0.8094120907034168,0.7999999999992724,21653
IF0000,2020,9,0.5503864207482139,0.4000000000005457,21091
IH0000,2020,9,0.5952796877903874,0.599999999999909,16143
IC0000,2020,10,0.8748690030623001,0.8000000000001819,14695
IF0000,2020,10,0.7453873946206591,0.6000000000003638,12455
IH0000,2020,10,0.8493303861656556,0.8000000000001819,7691
IC0000,2020,11,0.8445391693091825,0.8000000000001819,19237
IF0000,2020,11,0.6706460597455265,0.6000000000003638,18311
IH0000,2020,11,0.6537027989111517,0.599999999999909,14327
IC0000,2020,12,0.80262101425873,0.7999999999992724,21671
IF0000,2020,12,0.5695259279855823,0.5999999999994543,21579
IH0000,2020,12,0.561340488445959,0.599999999999909,18262
IC0000,2021,1,1.3401240889103685,1.199999999999818,16601
IF0000,2021,1,1.0134907645546427,1.0,17108
IH0000,2021,1,0.7587904191616993,0.6000000000003638,16700
IC0000,2021,2,1.129953111340741,1.0,12583
IF0000,2021,2,0.8259106326500844,0.8000000000001819,13562
IH0000,2021,2,0.8365528236972437,0.8000000000001819,11917
IC0000,2021,3,1.056402755496885,1.0,21194
IF0000,2021,3,0.6841725994096545,0.6000000000003638,23036
IH0000,2021,3,0.8072991952432375,0.7999999999997272,19509
IC0000,2021,4,1.1708490635872797,1.199999999999818,13509
IF0000,2021,4,0.5879912436151783,0.5999999999994543,19186
IH0000,2021,4,0.5995121629639562,0.599999999999909,15169
IC0000,2021,5,0.9974439525917711,1.0,14006
IF0000,2021,5,0.6137672244094726,0.5999999999994543,16256
IH0000,2021,5,0.6221316425120894,0.599999999999909,13248
IC0000,2021,6,0.8642079207921217,0.8000000000001819,16160
IF0000,2021,6,0.627673155035127,0.6000000000003638,18957
