tod,avg_spread,n,code,year,month
574,0.452686868686866,2475,IF0000,2020,4
575,0.431078904991948,2484,IF0000,2020,4
576,0.42865236746257157,2471,IF0000,2020,4
577,0.42735462735462804,2442,IF0000,2020,4
578,0.40924092409241636,2424,IF0000,2020,4
579,0.42487725040916907,2444,IF0000,2020,4
580,0.4340202020202155,2475,IF0000,2020,4
581,0.44334012219960195,2455,IF0000,2020,4
582,0.45182481751825565,2466,IF0000,2020,4
583,0.4258677685950437,2420,IF0000,2020,4
584,0.41276595744681305,2444,IF0000,2020,4
585,0.41626213592233785,2472,IF0000,2020,4
570,0.750325581395364,2150,IC0000,2020,5
571,0.6634168987929598,2154,IC0000,2020,5
572,0.6392175128085957,2147,IC0000,2020,5
573,0.6037558685446172,2130,IC0000,2020,5
574,0.6223055295220342,2134,IC0000,2020,5
575,0.6614232209737909,2136,IC0000,2020,5
576,0.6640831758034189,2116,IC0000,2020,5
577,0.6222540592168139,2094,IC0000,2020,5
578,0.6337564645040185,2127,IC0000,2020,5
579,0.6379196217494184,2115,IC0000,2020,5
580,0.6481498829040013,2135,IC0000,2020,5
581,0.619241706161154,2110,IC0000,2020,5
582,0.609224916785563,2103,IC0000,2020,5
583,0.6083173996176132,2092,IC0000,2020,5
584,0.6223584905660458,2120,IC0000,2020,5
585,0.647695202257776,2126,IC0000,2020,5
570,0.5020901068276867,2153,IF0000,2020,5
571,0.41005586592179244,2148,IF0000,2020,5
572,0.4457595526561092,2146,IF0000,2020,5
573,0.445258215962449,2130,IF0000,2020,5
574,0.431194379391119,2135,IF0000,2020,5
575,0.43684950773560405,2133,IF0000,2020,5
576,0.44017053529133404,2111,IF0000,2020,5
577,0.4271090047393293,2110,IF0000,2020,5
578,0.4228327806726738,2111,IF0000,2020,5
579,0.4201323251417795,2116,IF0000,2020,5
580,0.42201138519925346,2108,IF0000,2020,5
581,0.43594339622642403,2120,IF0000,2020,5
582,0.43352435530087097,2094,IF0000,2020,5
583,0.40433070866142445,2032,IF0000,2020,5
584,0.4275307473983124,2114,IF0000,2020,5
585,0.4252721249408462,2113,IF0000,2020,5
570,0.763423799582482,2395,IC0000,2020,6
571,0.63921240050273,2387,IC0000,2020,6
572,0.6459595959596183,2376,IC0000,2020,6
573,0.5984006734006965,2376,IC0000,2020,6
574,0.5935674989420138,2363,IC0000,2020,6
575,0.6067425200168698,2373,IC0000,2020,6
576,0.6070856178827789,2371,IC0000,2020,6
577,0.6010989010989214,2366,IC0000,2020,6
578,0.5969217614365295,2339,IC0000,2020,6
579,0.6249681528662583,2355,IC0000,2020,6
580,0.6316856780735303,2367,IC0000,2020,6
581,0.6457892509521933,2363,IC0000,2020,6
582,0.6385994876174519,2342,IC0000,2020,6
583,0.60572419774501,2306,IC0000,2020,6
584,0.6158484065460946,2322,IC0000,2020,6
585,0.6358450404427445,2349,IC0000,2020,6
570,0.5675427617855842,2397,IF0000,2020,6
571,0.4622129436325694,2395,IF0000,2020,6
572,0.42576584137642787,2383,IF0000,2020,6
573,0.44258714825704887,2381,IF0000,2020,6
574,0.4420963651732938,2366,IF0000,2020,6
575,0.4717345653087039,2381,IF0000,2020,6
576,0.43182011030972317,2357,IF0000,2020,6
577,0.40907933814170816,2357,IF0000,2020,6
578,0.4226592560923551,2339,IF0000,2020,6
579,0.41860862142552097,2343,IF0000,2020,6
580,0.4344798301486266,2355,IF0000,2020,6
581,0.4277873070325959,2332,IF0000,2020,6
582,0.4400851063829918,2350,IF0000,2020,6
583,0.42739726027397945,2336,IF0000,2020,6
584,0.42239316239315716,2340,IF0000,2020,6
585,0.43566878980892493,2355,IF0000,2020,6
570,1.031483496554248,2757,IC0000,2020,7
571,0.9461147421931975,2754,IC0000,2020,7
572,0.9962305183037449,2759,IC0000,2020,7
573,1.0359216255442747,2756,IC0000,2020,7
574,1.0769119246103696,2759,IC0000,2020,7
575,1.0448238285506937,2753,IC0000,2020,7
576,1.0333938294011038,2755,IC0000,2020,7
577,1.0394756008740182,2746,IC0000,2020,7
578,1.0738528769118971,2746,IC0000,2020,7
579,1.0828540225700818,2747,IC0000,2020,7
580,1.0145137880987156,2756,IC0000,2020,7
581,0.9979658554304454,2753,IC0000,2020,7
582,1.0136247723133047,2745,IC0000,2020,7
583,1.0389959985449324,2749,IC0000,2020,7
584,1.0015429831006963,2722,IC0000,2020,7
585,1.002188982123345,2741,IC0000,2020,7
570,0.7106598984771818,2758,IF0000,2020,7
571,0.5904313156941086,2759,IF0000,2020,7
572,0.6414793328498978,2758,IF0000,2020,7
573,0.6428882438316625,2756,IF0000,2020,7
574,0.6579920260964374,2759,IF0000,2020,7
575,0.6761524500907521,2755,IF0000,2020,7
576,0.6486015256084454,2753,IF0000,2020,7
577,0.63219227967955,2746,IF0000,2020,7
578,0.638662790697695,2752,IF0000,2020,7
579,0.693095930232566,2752,IF0000,2020,7
580,0.6841148673209798,2751,IF0000,2020,7
581,0.6512932604735877,2745,IF0000,2020,7
582,0.6610726012404305,2741,IF0000,2020,7
583,0.667928649435764,2747,IF0000,2020,7
584,0.624890510948921,2740,IF0000,2020,7
585,0.6294353369763406,2745,IF0000,2020,7
570,1.1114558472553908,2514,IC0000,2020,8
571,0.9488279698053447,2517,IC0000,2020,8
572,1.0198649185538426,2517,IC0000,2020,8
573,1.0594916600476794,2518,IC0000,2020,8
574,1.1171314741035971,2510,IC0000,2020,8
575,1.0994839221913597,2519,IC0000,2020,8
576,1.028946322067622,2515,IC0000,2020,8
577,1.0773885350318593,2512,IC0000,2020,8
578,1.010547343188179,2503,IC0000,2020,8
579,1.0087824351297678,2505,IC0000,2020,8
580,0.997298371076688,2517,IC0000,2020,8
581,0.9292897047086992,2506,IC0000,2020,8
582,0.9136909527622107,2498,IC0000,2020,8
583,0.9442622950819958,2501,IC0000,2020,8
584,0.9715654952076714,2504,IC0000,2020,8
585,1.0906474820144112,2502,IC0000,2020,8
570,0.733174224343687,2514,IF0000,2020,8
571,0.6561111111111381,2520,IF0000,2020,8
572,0.6808426073132114,2516,IF0000,2020,8
573,0.6911402463250115,2517,IF0000,2020,8
574,0.6879777070063922,2512,IF0000,2020,8
575,0.6791068580542394,2508,IF0000,2020,8
576,0.6973726114649946,2512,IF0000,2020,8
577,0.7013949780789254,2509,IF0000,2020,8
578,0.6732530120482105,2490,IF0000,2020,8
579,0.6557915831663362,2495,IF0000,2020,8
580,0.6387250996016052,2510,IF0000,2020,8
581,0.6437350359138136,2506,IF0000,2020,8
582,0.6398553635998672,2489,IF0000,2020,8
583,0.6670131947221253,2501,IF0000,2020,8
584,0.6648000000000153,2500,IF0000,2020,8
585,0.68785942492014,2504,IF0000,2020,8
570,0.9754652487656789,2633,IC0000,2020,9
571,0.75629742033385,2636,IC0000,2020,9
572,0.7833396728794303,2629,IC0000,2020,9
573,0.8025865348041157,2629,IC0000,2020,9
574,0.8171188383645602,2617,IC0000,2020,9
575,0.839148612694805,2631,IC0000,2020,9
576,0.8118095238095349,2625,IC0000,2020,9
577,0.8315346345197183,2613,IC0000,2020,9
578,0.8043259945925172,2589,IC0000,2020,9
579,0.7727237802535695,2603,IC0000,2020,9
580,0.8164948453608399,2619,IC0000,2020,9
581,0.8071155317521121,2614,IC0000,2020,9
582,0.8355880092236786,2602,IC0000,2020,9
583,0.7824710424710517,2590,IC0000,2020,9
584,0.784656900539737,2594,IC0000,2020,9
585,0.783879676050931,2593,IC0000,2020,9
570,0.625522218002286,2633,IF0000,2020,9
571,0.5493911719939305,2628,IF0000,2020,9
572,0.543933054393328,2629,IF0000,2020,9
573,0.5857415173465694,2623,IF0000,2020,9
574,0.5612754514022442,2603,IF0000,2020,9
575,0.5801223241590299,2616,IF0000,2020,9
576,0.579907975460156,2608,IF0000,2020,9
577,0.570986460348192,2585,IF0000,2020,9
578,0.5487417731320422,2583,IF0000,2020,9
