date,c1115,c1119,c1120,c1129,o1121,code,ym
2020-02-20,5583.1,5592.5,5586.5,5596.6,5586.3,IC0000,2020-02
2020-02-21,5723.6,5726.9,5721.9,5761.2,5722.3,IC0000,2020-02
2020-02-24,5773.5,5779.4,5774.3,5793.200000000001,5774.1,IC0000,2020-02
2020-02-25,5665.9,5680.2,5682.4,5699.2,5682.200000000001,IC0000,2020-02
2020-02-26,5785.799999999999,5776.5,5774.5,5797.9,5774.6,IC0000,2020-02
2020-02-27,5724.9,5743.9,5740.1,5769.3,5740.3,IC0000,2020-02
2020-02-28,5434.3,5438.8,5424.1,5391.799999999999,5423.700000000001,IC0000,2020-02
2020-02-03,3618.0,3622.3,3622.6,3628.0,3622.7,IF0000,2020-02
2020-02-04,3721.4,3723.8,3735.5,3740.3999999999996,3735.7,IF0000,2020-02
2020-02-05,3818.8,3823.9,3820.4,3824.6000000000004,3820.4,IF0000,2020-02
2020-02-06,3848.7,3841.8999999999996,3842.5,3845.7,3842.9,IF0000,2020-02
2020-02-07,3852.2,3866.9,3866.6000000000004,3861.4,3866.8999999999996,IF0000,2020-02
2020-02-10,3899.0,3885.3,3882.3999999999996,3872.1000000000004,3882.5,IF0000,2020-02
2020-02-11,3931.9,3933.6000000000004,3934.9,3928.8,3934.9,IF0000,2020-02
2020-02-12,3946.1000000000004,3948.6000000000004,3946.3,3946.8,3946.3999999999996,IF0000,2020-02
2020-02-13,3970.3,3968.9,3964.8,3954.3999999999996,3964.8,IF0000,2020-02
2020-02-14,3994.2,3994.1000000000004,3993.5,3988.3999999999996,3993.3999999999996,IF0000,2020-02
2020-02-17,4022.8,4028.3999999999996,4028.8999999999996,4032.9,4028.8,IF0000,2020-02
2020-02-18,4041.5,4033.8,4032.2,4038.8,4032.3,IF0000,2020-02
2020-02-19,4072.1000000000004,4070.4,4071.8999999999996,4076.3,4071.8999999999996,IF0000,2020-02
2020-02-20,4077.0,4081.2,4079.3,4079.8,4079.2,IF0000,2020-02
2020-02-21,4145.8,4147.6,4144.5,4167.6,4144.6,IF0000,2020-02
2020-02-24,4125.2,4128.8,4127.4,4135.799999999999,4127.299999999999,IF0000,2020-02
2020-02-25,4050.5,4052.8,4052.6000000000004,4059.1000000000004,4053.5,IF0000,2020-02
2020-02-26,4104.5,4100.1,4100.6,4117.7,4100.6,IF0000,2020-02
2020-02-27,4083.4,4096.1,4095.8,4102.700000000001,4095.8,IF0000,2020-02
2020-02-28,3930.3999999999996,3932.8999999999996,3923.1,3917.3,3923.5,IF0000,2020-02
2020-02-03,2692.3,2691.8999999999996,2694.2,2704.7,2694.1,IH0000,2020-02
2020-02-04,2747.7,2747.7,2758.6,2757.8,2759.0,IH0000,2020-02
2020-02-05,2802.0,2805.6000000000004,2803.2,2805.7,2803.0,IH0000,2020-02
2020-02-06,2818.5,2813.4,2813.8999999999996,2815.1000000000004,2814.3,IH0000,2020-02
2020-02-07,2817.1,2825.6000000000004,2825.2,2822.2,2825.3,IH0000,2020-02
2020-02-10,2832.8999999999996,2828.1000000000004,2826.0,2821.5,2825.9,IH0000,2020-02
2020-02-11,2866.3,2867.5,2866.7,2863.0,2867.0,IH0000,2020-02
2020-02-12,2872.8999999999996,2873.9,2872.5,2871.1,2872.6000000000004,IH0000,2020-02
2020-02-13,2875.1,2874.5,2872.2,2866.8,2872.1000000000004,IH0000,2020-02
2020-02-14,2884.7,2884.2,2884.7,2882.7,2884.5,IH0000,2020-02
2020-02-17,2908.2,2912.1,2912.4,2914.2,2912.7,IH0000,2020-02
2020-02-18,2916.8,2912.4,2911.3999999999996,2913.6,2911.3,IH0000,2020-02
2020-02-19,2931.8,2930.0,2931.2,2934.3999999999996,2931.5,IH0000,2020-02
2020-02-20,2930.8999999999996,2934.0,2932.8999999999996,2931.2,2933.0,IH0000,2020-02
2020-02-21,2965.3999999999996,2966.0,2963.9,2975.4,2964.3,IH0000,2020-02
2020-02-24,2934.5,2936.3999999999996,2936.1000000000004,2938.4,2936.2,IH0000,2020-02
2020-02-25,2886.6,2887.0,2887.2,2887.1,2887.0,IH0000,2020-02
2020-02-26,2922.1,2919.1,2918.9,2927.1,2918.9,IH0000,2020-02
2020-02-27,2914.5,2921.3999999999996,2921.3,2918.7,2921.3,IH0000,2020-02
2020-02-28,2822.8,2822.3,2817.5,2816.7,2817.4,IH0000,2020-02
2020-03-02,5576.8,5576.9,5585.5,5614.5,5585.6,IC0000,2020-03
2020-03-03,5737.9,5739.4,5736.0,5721.3,5737.1,IC0000,2020-03
2020-03-04,5629.3,5641.1,5634.4,5620.9,5635.1,IC0000,2020-03
2020-03-05,5667.4,5666.5,5658.700000000001,5693.299999999999,5659.1,IC0000,2020-03
2020-03-06,5672.7,5668.200000000001,5661.5,5705.9,5661.700000000001,IC0000,2020-03
2020-03-09,5521.0,5522.700000000001,5515.4,5503.799999999999,5515.5,IC0000,2020-03
2020-03-10,5478.0,5504.6,5508.299999999999,5558.700000000001,5508.1,IC0000,2020-03
2020-03-11,5624.5,5634.9,5634.9,5629.299999999999,5634.8,IC0000,2020-03
2020-03-12,5469.799999999999,5454.799999999999,5448.1,5443.3,5448.3,IC0000,2020-03
2020-03-13,5296.799999999999,5291.299999999999,5285.700000000001,5251.1,5286.200000000001,IC0000,2020-03
2020-03-16,5384.5,5368.9,5363.4,5352.4,5363.4,IC0000,2020-03
2020-03-17,5169.2,5184.1,5193.6,5235.200000000001,5192.6,IC0000,2020-03
2020-03-18,5301.1,5315.6,5321.0,5304.8,5320.2,IC0000,2020-03
2020-03-19,5057.4,5091.2,5099.9,5068.799999999999,5098.5,IC0000,2020-03
2020-03-20,5088.2,5081.9,5074.700000000001,5096.4,5075.7,IC0000,2020-03
2020-03-23,5029.1,5015.200000000001,5030.0,5077.9,5029.9,IC0000,2020-03
2020-03-24,5004.0,5008.7,5005.299999999999,5017.6,5005.6,IC0000,2020-03
2020-03-25,5134.200000000001,5139.7,5122.3,5120.3,5123.6,IC0000,2020-03
2020-03-26,5122.5,5127.1,5126.9,5126.5,5126.8,IC0000,2020-03
2020-03-27,5121.1,5126.1,5147.9,5177.7,5148.8,IC0000,2020-03
2020-03-30,4910.700000000001,4921.3,4930.299999999999,4940.799999999999,4930.4,IC0000,2020-03
2020-03-31,4999.1,4993.299999999999,4995.5,5004.6,4995.9,IC0000,2020-03
2020-03-02,4045.6000000000004,4043.8,4047.1000000000004,4064.4,4047.7,IF0000,2020-03
2020-03-03,4117.4,4116.1,4115.7,4105.5,4115.8,IF0000,2020-03
2020-03-04,4087.9,4094.2,4090.3,4086.0,4090.7,IF0000,2020-03
2020-03-05,4147.9,4149.0,4146.2,4169.9,4146.2,IF0000,2020-03
2020-03-06,4126.1,4124.4,4122.6,4141.1,4122.299999999999,IF0000,2020-03
2020-03-09,3997.9,3998.6,3994.1,3990.4,3994.1,IF0000,2020-03
2020-03-10,3993.3999999999996,4008.8,4013.5,4047.3,4013.5,IF0000,2020-03
2020-03-11,4066.9,4069.9,4069.5,4065.7,4069.7,IF0000,2020-03
2020-03-12,3942.8999999999996,3932.8,3930.5,3932.0,3930.6000000000004,IF0000,2020-03
2020-03-13,3797.1,3797.1000000000004,3795.2,3783.4,3795.3,IF0000,2020-03
2020-03-16,3830.2,3819.3,3817.3,3814.3,3817.3,IF0000,2020-03
2020-03-17,3688.3,3699.7,3711.5,3724.9,3711.1,IF0000,2020-03
2020-03-18,3752.7,3759.1,3761.0,3753.3999999999996,3760.8999999999996,IF0000,2020-03
2020-03-19,3528.3999999999996,3550.8,3556.0,3538.3,3555.9,IF0000,2020-03
2020-03-20,3569.0,3565.1,3564.5,3574.6,3564.9,IF0000,2020-03
2020-03-23,3520.5,3518.0,3527.6,3561.1000000000004,3527.7,IF0000,2020-03
2020-03-24,3575.7,3579.0,3578.5,3582.4,3577.5,IF0000,2020-03
2020-03-25,3680.4,3681.7,3671.6000000000004,3670.1000000000004,3671.5,IF0000,2020-03
2020-03-26,3687.7,3691.3,3691.6,3689.2,3691.5,IF0000,2020-03
2020-03-27,3704.1,3706.8999999999996,3714.9,3744.6000000000004,3715.3999999999996,IF0000,2020-03
2020-03-30,3619.3,3624.7,3629.5,3627.8,3629.5,IF0000,2020-03
2020-03-31,3671.9,3668.0,3669.0,3671.3999999999996,3669.3,IF0000,2020-03
2020-03-02,2898.7,2899.1000000000004,2900.9,2907.5,2901.0,IH0000,2020-03
2020-03-03,2934.5,2933.6000000000004,2933.4,2929.7,2933.4,IH0000,2020-03
2020-03-04,2934.7,2939.1000000000004,2937.0,2935.4,2937.5,IH0000,2020-03
2020-03-05,2992.1,2991.0,2990.2,3004.9,2989.9,IH0000,2020-03
2020-03-06,2968.1,2966.8,2966.2,2975.6,2966.2,IH0000,2020-03
2020-03-09,2861.3,2864.1000000000004,2860.8999999999996,2860.3999999999996,2861.1,IH0000,2020-03
2020-03-10,2877.1000000000004,2886.8,2891.0,2909.8999999999996,2891.6000000000004,IH0000,2020-03
2020-03-11,2918.8,2919.9,2919.4,2916.7,2919.3,IH0000,2020-03
2020-03-12,2842.8,2835.6,2835.3,2836.4,2835.6000000000004,IH0000,2020-03
2020-03-13,2727.8,2726.1,2726.4,2723.4,2726.5,IH0000,2020-03
2020-03-16,2757.9,2750.5,2750.3,2750.9,2750.3,IH0000,2020-03
2020-03-17,2667.6000000000004,2676.0,2686.5,2692.5,2685.7,IH0000,2020-03
2020-03-18,2698.7,2702.0,2704.2,2699.7,2704.8999999999996,IH0000,2020-03
2020-03-19,2532.0,2546.0,2552.6000000000004,2536.7,2552.0,IH0000,2020-03
2020-03-20,2557.2,2555.1,2554.5,2560.1,2553.8,IH0000,2020-03
2020-03-23,2534.5,2535.2,2543.0,2566.2,2543.3,IH0000,2020-03
2020-03-24,2603.2,2606.8,2605.7,2608.3999999999996,2605.3,IH0000,2020-03
2020-03-25,2677.9,2678.9,2672.3999999999996,2670.3999999999996,2672.4,IH0000,2020-03
2020-03-26,2684.0,2687.7,2687.3999999999996,2683.8,2687.3999999999996,IH0000,2020-03
2020-03-27,2698.1,2698.7,2702.7,2723.6000000000004,2702.9,IH0000,2020-03
2020-03-30,2658.7,2662.5,2665.0,2657.7,2665.3,IH0000,2020-03
2020-03-31,2685.8999999999996,2684.0,2684.4,2687.3,2684.3,IH0000,2020-03
2020-04-01,5062.4,5044.2,5037.299999999999,5011.9,5038.2,IC0000,2020-04
2020-04-02,5026.7,5033.6,5033.1,5024.1,5033.299999999999,IC0000,2020-04
2020-04-03,5067.3,5063.3,5058.5,5068.7,5058.5,IC0000,2020-04
2020-04-07,5214.3,5208.5,5193.1,5203.799999999999,5193.7,IC0000,2020-04
2020-04-08,5210.200000000001,5203.7,5202.4,5203.1,5201.5,IC0000,2020-04
2020-04-09,5256.4,5261.9,5261.2,5263.1,5261.2,IC0000,2020-04
2020-04-10,5244.8,5223.5,5220.5,5215.9,5220.7,IC0000,2020-04
2020-04-13,5151.5,5143.9,5140.9,5159.4,5140.6,IC0000,2020-04
2020-04-14,5217.6,5212.200000000001,5215.6,5213.2,5215.7,IC0000,2020-04
2020-04-15,5294.7,5300.9,5294.4,5292.2,5294.0,IC0000,2020-04
2020-04-16,5287.5,5277.8,5282.3,5266.1,5282.200000000001,IC0000,2020-04
2020-04-17,5305.0,5310.6,5313.799999999999,5308.799999999999,5313.9,IC0000,2020-04
2020-04-20,5298.3,5303.9,5304.9,5292.0,5304.9,IC0000,2020-04
2020-04-21,5215.7,5220.3,5218.299999999999,5192.5,5219.0,IC0000,2020-04
2020-04-22,5238.4,5225.200000000001,5222.6,5236.799999999999,5222.7,IC0000,2020-04
2020-04-23,5276.9,5271.1,5271.200000000001,5275.3,5271.5,IC0000,2020-04
2020-04-24,5239.0,5240.8,5236.9,5232.700000000001,5237.1,IC0000,2020-04
2020-04-27,5240.9,5245.5,5248.1,5251.9,5247.799999999999,IC0000,2020-04
2020-04-28,5180.799999999999,5197.700000000001,5208.299999999999,5206.3,5208.5,IC0000,2020-04
2020-04-29,5177.299999999999,5174.0,5174.0,5177.4,5174.1,IC0000,2020-04
2020-04-30,5330.6,5323.9,5323.1,5336.1,5322.5,IC0000,2020-04
2020-04-01,3715.3999999999996,3706.3999999999996,3703.9,3688.5,3703.9,IF0000,2020-04
2020-04-02,3672.0,3675.8999999999996,3676.3,3670.5,3676.1,IF0000,2020-04
2020-04-03,3709.3999999999996,3705.1,3702.2,3706.7,3702.5,IF0000,2020-04
2020-04-07,3784.7,3779.7,3769.0,3774.6,3769.0,IF0000,2020-04
2020-04-08,3762.1000000000004,3758.7,3757.3999999999996,3758.9,3757.1,IF0000,2020-04
2020-04-09,3774.3,3775.8,3776.0,3775.9,3776.0,IF0000,2020-04
2020-04-10,3793.2,3783.9,3784.0,3778.3,3784.1,IF0000,2020-04
2020-04-13,3751.0,3749.1,3748.2,3753.8,3748.2,IF0000,2020-04
2020-04-14,3782.3,3778.9,3780.5,3780.2,3780.7,IF0000,2020-04
2020-04-15,3809.9,3810.1000000000004,3807.0,3805.1,3806.8,IF0000,2020-04
2020-04-16,3787.2,3782.3999999999996,3784.1,3777.6,3784.1,IF0000,2020-04
2020-04-17,3824.7,3828.3,3829.1,3826.8,3829.0,IF0000,2020-04
2020-04-20,3805.3,3808.3999999999996,3808.3999999999996,3803.0,3808.3999999999996,IF0000,2020-04
2020-04-21,3750.1,3752.3999999999996,3751.5,3739.5,3751.3999999999996,IF0000,2020-04
2020-04-22,3754.7,3750.7,3747.7,3756.7,3747.3,IF0000,2020-04
2020-04-23,3782.8,3781.1000000000004,3780.1000000000004,3783.1,3780.7,IF0000,2020-04
2020-04-24,3778.2,3779.7,3778.7,3776.3,3778.6000000000004,IF0000,2020-04
2020-04-27,3815.3999999999996,3816.2,3817.8,3819.9,3817.8999999999996,IF0000,2020-04
2020-04-28,3820.5,3827.0,3829.3999999999996,3834.3,3829.4,IF0000,2020-04
2020-04-29,3837.4,3833.3999999999996,3833.5,3836.7,3833.2,IF0000,2020-04
2020-04-30,3903.8,3897.6000000000004,3897.1000000000004,3904.6,3897.1000000000004,IF0000,2020-04
