tod,n,mean,std,t,hit,minute,code,ym
572,20,-0.8199999999998908,4.107195226864694,-0.8928602806880833,0.4,09:32,IC0000,2023-05
573,20,-0.9750000000000909,3.4534307884371818,-1.2626089310155901,0.35,09:33,IC0000,2023-05
574,19,-1.5263157894736363,2.9945955217993654,-2.221687781810498,0.3157894736842105,09:34,IC0000,2023-05
575,19,0.9157894736842392,5.157439411815654,0.7739952814962092,0.6842105263157895,09:35,IC0000,2023-05
576,19,0.32105263157901437,4.2408828938438115,0.32998694178567883,0.5263157894736842,09:36,IC0000,2023-05
577,20,0.015000000000145518,4.523072430387104,0.014831077847653064,0.45,09:37,IC0000,2023-05
578,20,-0.755000000000291,2.6186527271221185,-1.289389238616872,0.3,09:38,IC0000,2023-05
579,20,-0.48999999999987265,2.9926049205544394,-0.7322538978995042,0.55,09:39,IC0000,2023-05
580,20,0.009999999999990905,4.068738327657068,0.01099145630623716,0.45,09:40,IC0000,2023-05
581,20,-0.9449999999999819,2.6116086996330994,-1.6182242301720962,0.4,09:41,IC0000,2023-05
582,20,-1.2150000000000545,2.7166688192866286,-2.0001132073034786,0.35,09:42,IC0000,2023-05
583,20,0.20999999999994542,3.382602548334562,0.27764082156564956,0.45,09:43,IC0000,2023-05
584,20,0.13999999999996363,2.95837793393636,0.21163591930484127,0.45,09:44,IC0000,2023-05
585,19,0.057894736841932935,3.221337850002883,0.07833928603814126,0.5789473684210527,09:45,IC0000,2023-05
586,20,0.2349999999999909,3.6744172470286816,0.28601867419240784,0.4,09:46,IC0000,2023-05
587,20,-0.3200000000000728,2.796162784207768,-0.511802643852746,0.5,09:47,IC0000,2023-05
588,20,0.5300000000001546,3.1546290131371473,0.7513504904316376,0.5,09:48,IC0000,2023-05
589,20,-1.3449999999999362,2.5098699903424087,-2.3965475831891796,0.2,09:49,IC0000,2023-05
590,20,-0.6099999999999909,4.079847778378144,-0.6686531166695052,0.5,09:50,IC0000,2023-05
591,20,-1.0849999999999909,2.3656032945886767,-2.051175496024239,0.4,09:51,IC0000,2023-05
592,20,2.0899999999999634,3.489065626692592,2.6788731270753092,0.7,09:52,IC0000,2023-05
593,20,-1.2799999999998817,3.5216025060370364,-1.625491239453,0.35,09:53,IC0000,2023-05
594,20,-0.8349999999999909,3.511076458115913,-1.06355801902088,0.35,09:54,IC0000,2023-05
595,20,-1.3750000000002274,2.6098749717986895,-2.3561231877278415,0.3,09:55,IC0000,2023-05
596,20,0.48000000000006365,3.232825064047826,0.664009099122824,0.6,09:56,IC0000,2023-05
597,19,-0.45789473684190424,2.8422048932073136,-0.7022424348938121,0.42105263157894735,09:57,IC0000,2023-05
598,20,-0.45000000000009094,2.9274562336608687,-0.687443643600976,0.6,09:58,IC0000,2023-05
599,20,0.375,3.55288985415945,0.47202447921696195,0.45,09:59,IC0000,2023-05
600,20,0.11499999999996362,3.5300626205869006,0.1456902299198543,0.55,10:00,IC0000,2023-05
601,20,0.03499999999989996,2.0079512994722926,0.07795246750539915,0.4,10:01,IC0000,2023-05
602,20,-0.6049999999998817,2.157111860555126,-1.2542892662404297,0.45,10:02,IC0000,2023-05
603,20,1.6649999999998726,2.8899599341605136,2.5765431129538143,0.7,10:03,IC0000,2023-05
604,20,0.8949999999999818,2.7696617692038608,1.4451445747742255,0.6,10:04,IC0000,2023-05
605,20,-1.6300000000001091,4.232095412316064,-1.722452094401268,0.4,10:05,IC0000,2023-05
606,19,-1.1368421052629856,3.0179482593155327,-1.6419697840436995,0.2631578947368421,10:06,IC0000,2023-05
607,20,0.259999999999809,2.412991155348448,0.4818730254032484,0.5,10:07,IC0000,2023-05
608,20,-0.5900000000001455,2.206903045589275,-1.195594078645113,0.45,10:08,IC0000,2023-05
609,20,1.2700000000002547,2.253675360733898,2.5201556363473165,0.75,10:09,IC0000,2023-05
610,18,0.7999999999999798,2.488325683242076,1.364014595257122,0.6111111111111112,10:10,IC0000,2023-05
