code,tod,avg_ticks,ndays
IC0000,570,118.98868928809048,1503
IC0000,571,118.26746506986028,1503
IC0000,572,117.94876912840985,1503
IC0000,573,117.48170326014638,1503
IC0000,574,116.70924817032602,1503
IC0000,575,117.08383233532935,1503
IC0000,576,116.3433133732535,1503
IC0000,577,115.63406520292747,1503
IC0000,578,114.97804391217565,1503
IC0000,579,114.81170991350632,1503
IC0000,580,115.63872255489022,1503
IC0000,581,114.59347970725216,1503
IC0000,582,113.60013306719894,1503
IC0000,583,112.60146373918829,1503
IC0000,584,112.30605455755156,1503
IC0000,585,113.96872920825017,1503
IC0000,586,112.39387890884898,1503
IC0000,587,111.71590153027279,1503
IC0000,588,111.01530272787758,1503
IC0000,589,110.66333998669327,1503
IC0000,590,112.93945442448437,1503
IC0000,591,111.31337325349301,1503
IC0000,592,110.33266799733866,1503
IC0000,593,109.47571523619428,1503
IC0000,594,109.0499001996008,1503
IC0000,595,110.2375249500998,1503
IC0000,596,108.56353958749169,1503
IC0000,597,108.15701929474385,1503
IC0000,598,107.94743845642049,1503
IC0000,599,108.39720558882236,1503
IC0000,600,112.64114513981359,1502
IC0000,601,110.55792276964048,1502
IC0000,602,109.55089820359281,1503
IC0000,603,108.99733865602128,1503
IC0000,604,108.22554890219561,1503
IC0000,605,109.10445775116433,1503
IC0000,606,108.22155688622755,1503
IC0000,607,107.04657351962742,1503
IC0000,608,106.62674650698602,1503
IC0000,609,106.57884231536926,1503
IC0000,610,108.53226879574186,1503
IC0000,611,106.90951430472388,1503
IC0000,612,105.65735196274119,1503
IC0000,613,104.91084497671324,1503
IC0000,614,104.87491683300067,1503
IC0000,615,107.20425815036593,1503
IC0000,616,105.90286094477712,1503
IC0000,617,104.50166333998669,1503
IC0000,618,103.92215568862275,1503
IC0000,619,103.47904191616766,1503
IC0000,620,106.583499667332,1503
IC0000,621,104.57152361942781,1503
IC0000,622,103.69394544244844,1503
IC0000,623,102.89221556886227,1503
IC0000,624,102.45642049234864,1503
IC0000,625,103.82834331337325,1503
IC0000,626,102.82834331337325,1503
IC0000,627,102.31004657351963,1503
IC0000,628,101.41450432468396,1503
IC0000,629,102.39454424484364,1503
IC0000,630,108.53692614770459,1503
IC0000,631,105.62075848303394,1503
IC0000,632,104.08582834331337,1503
IC0000,633,103.41916167664671,1503
IC0000,634,102.37391882900864,1503
IC0000,635,103.9061876247505,1503
IC0000,636,102.75914836992682,1503
IC0000,637,101.45242847638058,1503
IC0000,638,100.78775781769794,1503
IC0000,639,101.28210246174318,1503
IC0000,640,103.60013306719894,1503
IC0000,641,101.34264803725881,1503
IC0000,642,100.94477711244178,1503
IC0000,643,100.09580838323353,1503
IC0000,644,99.77578176979375,1503
IC0000,645,102.45575515635396,1503
IC0000,646,101.21823020625416,1503
IC0000,647,100.29274783765801,1503
IC0000,648,99.91017964071857,1503
IC0000,649,99.28343313373253,1503
IC0000,650,102.56021290751829,1503
IC0000,651,100.66400532268796,1503
IC0000,652,99.21623419827013,1503
IC0000,653,98.09780439121757,1503
IC0000,654,98.4018629407851,1503
IC0000,655,99.76779773785762,1503
IC0000,656,98.71989354624085,1503
IC0000,657,97.67332002661344,1503
IC0000,658,96.92614770459082,1503
IC0000,659,98.29407850964738,1503
IC0000,660,104.10645375914837,1503
IC0000,661,101.69261477045909,1503
IC0000,662,99.63206919494344,1503
IC0000,663,98.98602794411178,1503
IC0000,664,98.54424484364604,1503
IC0000,665,99.51696606786427,1503
IC0000,666,98.82302062541584,1503
IC0000,667,97.89886892880905,1503
IC0000,668,97.60212907518297,1503
IC0000,669,97.3433133732535,1503
IC0000,670,99.42581503659348,1503
IC0000,671,98.187624750499,1503
IC0000,672,97.46773120425814,1503
IC0000,673,96.75781769793745,1503
IC0000,674,96.74118429807052,1503
IC0000,675,99.71457085828344,1503
IC0000,676,98.40053226879574,1503
IC0000,677,97.82834331337325,1503
IC0000,678,97.47904191616766,1503
IC0000,679,97.50964737192282,1503
IC0000,680,100.51363938789089,1503
IC0000,681,98.46839654025283,1503
IC0000,682,97.05056553559548,1503
IC0000,683,96.48103792415169,1503
IC0000,684,95.9940119760479,1503
IC0000,685,98.23020625415835,1503
IC0000,686,96.21889554224883,1503
IC0000,687,94.81170991350632,1503
IC0000,688,92.3812375249501,1503
IC0000,689,98.44510978043913,1503
IC0000,690,1.0,1002
IC0000,780,108.57684630738522,1503
IC0000,781,103.18629407850965,1503
IC0000,782,101.89620758483034,1503
IC0000,783,101.54158349966733,1503
IC0000,784,100.39121756487026,1503
IC0000,785,103.29274783765801,1503
IC0000,786,100.76713240186294,1503
IC0000,787,99.41583499667333,1503
IC0000,788,98.45043246839654,1503
IC0000,789,98.57817697937459,1503
IC0000,790,101.50166333998669,1503
IC0000,791,98.87890884896873,1503
IC0000,792,97.96806387225548,1503
IC0000,793,96.49500998003992,1503
IC0000,794,96.69727212242182,1503
IC0000,795,99.5921490352628,1503
IC0000,796,96.85961410512309,1503
IC0000,797,95.85562208915502,1503
IC0000,798,95.95675316034597,1503
IC0000,799,95.69993346640054,1503
IC0000,800,99.44045242847638,1503
IC0000,801,96.9913506320692,1503
IC0000,802,95.59281437125749,1503
IC0000,803,95.25681969394545,1503
IC0000,804,96.12574850299401,1503
IC0000,805,97.42381902860944,1503
IC0000,806,95.62475049900199,1503
IC0000,807,95.65801729873586,1503
IC0000,808,94.96739853626082,1503
IC0000,809,95.97870924817033,1503
IC0000,810,102.60944777112442,1503
IC0000,811,100.395874916833,1503
IC0000,812,98.33333333333333,1503
IC0000,813,97.99334664005323,1503
IC0000,814,97.36260811709913,1503
IC0000,815,98.92880904856953,1503
IC0000,816,97.90419161676647,1503
IC0000,817,96.3459747172322,1503
IC0000,818,96.06719893546241,1503
IC0000,819,96.19294743845641,1503
IC0000,820,98.58749168330007,1503
IC0000,821,96.55489021956087,1503
IC0000,822,95.94011976047904,1503
IC0000,823,95.270126413839,1503
IC0000,824,95.40053226879574,1503
IC0000,825,97.96540252827678,1503
IC0000,826,96.44510978043913,1503
IC0000,827,95.48369926813041,1503
IC0000,828,95.68263473053892,1503
IC0000,829,95.06520292747838,1503
IC0000,830,97.85362608117099,1503
IC0000,831,96.0146373918829,1503
IC0000,832,94.76047904191617,1503
