date,o1415,c1429,minmove_sum,code,ym
2020-02-13,3953.6000000000004,3961.0,6.5999999999989996,IF0000,2020-02
2020-02-14,3970.5,3962.5,-7.100000000001728,IF0000,2020-02
2020-02-17,4073.3,4067.3,-4.200000000000273,IF0000,2020-02
2020-02-18,4050.7,4039.8,-11.999999999999545,IF0000,2020-02
2020-02-19,4045.5,4052.6,7.299999999997908,IF0000,2020-02
2020-02-20,4118.3,4139.299999999999,18.599999999999454,IF0000,2020-02
2020-02-21,4160.1,4153.7,-4.900000000002365,IF0000,2020-02
2020-02-24,4131.700000000001,4144.9,11.399999999997817,IF0000,2020-02
2020-02-25,4094.1,4104.6,11.400000000001,IF0000,2020-02
2020-02-26,4081.1,4089.1,6.199999999999363,IF0000,2020-02
2020-02-27,4081.1000000000004,4077.3999999999996,-4.700000000001637,IF0000,2020-02
2020-02-28,3952.9,3930.3,-21.799999999998363,IF0000,2020-02
2020-02-03,2700.8,2692.8,-7.000000000002274,IH0000,2020-02
2020-02-04,2781.9,2773.9,-8.59999999999809,IH0000,2020-02
2020-02-05,2790.8,2788.7,-2.300000000002001,IH0000,2020-02
2020-02-06,2852.7,2832.8,-21.699999999998454,IH0000,2020-02
2020-02-07,2827.4,2833.6000000000004,6.200000000001182,IH0000,2020-02
2020-02-10,2831.3,2828.4,-3.0000000000013642,IH0000,2020-02
2020-02-11,2875.3,2874.8,0.5999999999989996,IH0000,2020-02
2020-02-12,2882.2,2879.8,-2.09999999999809,IH0000,2020-02
2020-02-13,2865.0,2868.6000000000004,2.5000000000009095,IH0000,2020-02
2020-02-14,2877.7,2872.8,-4.399999999999636,IH0000,2020-02
2020-02-17,2941.2,2938.3,-2.9999999999990905,IH0000,2020-02
2020-02-18,2918.8,2912.5,-7.599999999999909,IH0000,2020-02
2020-02-19,2916.0,2918.3999999999996,2.1000000000008185,IH0000,2020-02
2020-02-20,2955.3,2969.8999999999996,13.800000000001546,IH0000,2020-02
2020-02-21,2973.2,2968.8,-4.199999999997999,IH0000,2020-02
2020-02-24,2926.8,2935.9,8.699999999999818,IH0000,2020-02
2020-02-25,2896.3999999999996,2901.7,4.700000000001182,IH0000,2020-02
2020-02-26,2909.8,2914.8,6.500000000000455,IH0000,2020-02
2020-02-27,2906.7,2907.1,1.0999999999985448,IH0000,2020-02
2020-02-28,2830.8999999999996,2822.0,-7.199999999998909,IH0000,2020-02
2020-03-02,5645.2,5648.7,2.1999999999970896,IC0000,2020-03
2020-03-03,5619.5,5638.9,17.19999999999891,IC0000,2020-03
2020-03-04,5587.299999999999,5607.9,19.699999999998,IC0000,2020-03
2020-03-05,5732.7,5727.200000000001,-3.600000000002183,IC0000,2020-03
2020-03-06,5702.4,5699.3,-4.0000000000009095,IC0000,2020-03
2020-03-09,5508.0,5470.6,-37.200000000004366,IC0000,2020-03
2020-03-10,5619.7,5622.700000000001,5.199999999997999,IC0000,2020-03
2020-03-11,5549.9,5563.1,13.300000000000182,IC0000,2020-03
2020-03-12,5419.0,5419.7,0.5999999999985448,IC0000,2020-03
2020-03-13,5390.7,5431.6,42.400000000003274,IC0000,2020-03
2020-03-16,5209.5,5207.799999999999,-7.499999999998181,IC0000,2020-03
2020-03-17,5170.6,5170.9,-1.300000000000182,IC0000,2020-03
2020-03-18,5134.9,5134.1,1.3999999999959982,IC0000,2020-03
2020-03-19,5143.4,5133.1,-14.200000000003456,IC0000,2020-03
2020-03-20,5132.4,5165.9,37.099999999998545,IC0000,2020-03
2020-03-23,4990.4,4982.4,-9.399999999999636,IC0000,2020-03
2020-03-24,5015.5,5048.6,33.89999999999691,IC0000,2020-03
2020-03-25,5169.1,5164.200000000001,-4.199999999998909,IC0000,2020-03
2020-03-26,5100.0,5099.9,1.0,IC0000,2020-03
2020-03-27,5097.9,5102.1,5.799999999999272,IC0000,2020-03
2020-03-30,4991.7,4965.6,-26.399999999999636,IC0000,2020-03
2020-03-31,4971.9,4972.700000000001,3.5999999999994543,IC0000,2020-03
2020-03-02,4082.4,4083.2,2.0000000000013642,IF0000,2020-03
2020-03-03,4071.6,4081.5,9.499999999999545,IF0000,2020-03
2020-03-04,4073.3999999999996,4084.3,10.00000000000091,IF0000,2020-03
2020-03-05,4193.6,4187.2,-5.100000000002183,IF0000,2020-03
2020-03-06,4136.1,4136.9,-0.20000000000345608,IF0000,2020-03
2020-03-09,3998.4,3983.2,-15.700000000001182,IF0000,2020-03
2020-03-10,4077.7,4073.7,-4.800000000000637,IF0000,2020-03
2020-03-11,4018.1,4026.8,10.999999999999545,IF0000,2020-03
2020-03-12,3919.1,3920.6000000000004,3.700000000000273,IF0000,2020-03
2020-03-13,3853.3999999999996,3877.3999999999996,26.800000000000637,IF0000,2020-03
2020-03-16,3730.1000000000004,3724.7,-3.2000000000011823,IF0000,2020-03
2020-03-17,3684.8,3688.8999999999996,2.9999999999990905,IF0000,2020-03
2020-03-18,3642.6,3641.1,-1.1999999999993634,IF0000,2020-03
2020-03-19,3590.0,3583.9,-3.3999999999987267,IF0000,2020-03
2020-03-20,3605.1000000000004,3629.7,22.099999999998545,IF0000,2020-03
2020-03-23,3523.1,3516.9,-8.199999999999818,IF0000,2020-03
2020-03-24,3581.9,3611.2,27.099999999998545,IF0000,2020-03
2020-03-25,3709.0,3701.3999999999996,-7.4000000000010004,IF0000,2020-03
2020-03-26,3676.5,3677.0,0.8000000000010914,IF0000,2020-03
2020-03-27,3701.3,3701.8,1.2000000000002728,IF0000,2020-03
2020-03-30,3658.8999999999996,3649.5,-9.199999999999363,IF0000,2020-03
2020-03-31,3657.5,3664.6,5.299999999998363,IF0000,2020-03
2020-03-02,2917.3,2917.2,-0.6000000000008185,IH0000,2020-03
2020-03-03,2916.5,2920.4,3.3000000000006366,IH0000,2020-03
2020-03-04,2931.2,2936.3999999999996,5.400000000000546,IH0000,2020-03
2020-03-05,3019.2,3015.9,-1.7999999999992724,IH0000,2020-03
2020-03-06,2971.3,2971.6000000000004,0.8999999999987267,IH0000,2020-03
2020-03-09,2867.3999999999996,2862.7,-5.199999999998909,IH0000,2020-03
2020-03-10,2928.0,2926.3,-0.49999999999954525,IH0000,2020-03
2020-03-11,2889.8,2895.7,6.799999999999727,IH0000,2020-03
2020-03-12,2832.3,2832.3,1.199999999999818,IH0000,2020-03
2020-03-13,2769.6000000000004,2783.5,13.199999999998454,IH0000,2020-03
2020-03-16,2697.3,2691.1,-4.700000000000728,IH0000,2020-03
2020-03-17,2666.6,2671.8,2.900000000000091,IH0000,2020-03
2020-03-18,2627.9,2625.1000000000004,-2.3000000000010914,IH0000,2020-03
2020-03-19,2571.1000000000004,2569.3999999999996,1.1999999999993634,IH0000,2020-03
2020-03-20,2586.2,2601.3,13.500000000001819,IH0000,2020-03
2020-03-23,2546.9,2544.1,-4.000000000000455,IH0000,2020-03
2020-03-24,2610.8,2632.7,22.10000000000082,IH0000,2020-03
