win,mean,n,code,year,month
660,-0.38409785932720014,327,IF0000,2020,3
675,0.25107033639141896,327,IF0000,2020,3
780,0.05547703180208736,283,IF0000,2020,3
795,0.05640243902440272,328,IF0000,2020,3
810,0.06257668711657027,326,IF0000,2020,3
825,0.11183800623052846,321,IF0000,2020,3
840,0.09068322981365415,322,IF0000,2020,3
855,0.04447852760734104,326,IF0000,2020,3
870,0.30122324159021546,327,IF0000,2020,3
885,0.10218068535824043,321,IF0000,2020,3
570,-0.1837455830388564,283,IH0000,2020,3
585,-0.1033846153846249,325,IH0000,2020,3
600,0.08348623853210647,327,IH0000,2020,3
615,-0.11335403726708357,322,IH0000,2020,3
630,-0.0647239263803734,326,IH0000,2020,3
645,0.020426829268282425,328,IH0000,2020,3
660,-0.14359756097559978,328,IH0000,2020,3
675,-0.06203703703703956,324,IH0000,2020,3
780,-9.709907848109554e-15,281,IH0000,2020,3
795,0.028482972136216717,323,IH0000,2020,3
810,-0.020552147239246508,326,IH0000,2020,3
825,0.11512345679008612,324,IH0000,2020,3
840,-0.07993827160493294,324,IH0000,2020,3
855,0.03093749999999602,320,IH0000,2020,3
870,0.0956386292834347,321,IH0000,2020,3
885,0.13333333333336364,327,IH0000,2020,3
570,-0.47169117647056213,272,IC0000,2020,4
585,-0.26398713826366677,311,IC0000,2020,4
600,-0.35723472668807776,311,IC0000,2020,4
615,-0.20319488817894976,313,IC0000,2020,4
630,0.03858520900320666,311,IC0000,2020,4
645,0.13003194888174496,313,IC0000,2020,4
660,0.2375000000000449,312,IC0000,2020,4
675,0.4273311897106185,311,IC0000,2020,4
780,0.21865671641791182,268,IC0000,2020,4
795,0.06217948717946561,312,IC0000,2020,4
810,-0.3277070063693908,314,IC0000,2020,4
825,-0.07324840764336714,314,IC0000,2020,4
840,0.32315112540189417,311,IC0000,2020,4
855,0.10096774193544339,310,IC0000,2020,4
870,0.24083601286175563,311,IC0000,2020,4
885,-0.09968051118210514,313,IC0000,2020,4
570,-0.029999999999999662,270,IF0000,2020,4
585,0.19774919614144693,311,IF0000,2020,4
600,-0.029641693811053884,307,IF0000,2020,4
615,-0.01540983606558063,305,IF0000,2020,4
630,-0.024758842443754175,311,IF0000,2020,4
645,0.03665594855306811,311,IF0000,2020,4
660,-0.015359477124169038,306,IF0000,2020,4
675,0.12039473684211843,304,IF0000,2020,4
780,0.06654275092936499,269,IF0000,2020,4
795,-0.02103559870548837,309,IF0000,2020,4
810,-0.1263665594855165,311,IF0000,2020,4
825,-0.04336569579285995,309,IF0000,2020,4
840,0.13672131147542116,305,IF0000,2020,4
855,0.18608414239482937,309,IF0000,2020,4
870,0.10681818181815997,308,IF0000,2020,4
885,-0.006535947712412356,306,IF0000,2020,4
570,0.031954887218022886,266,IH0000,2020,4
585,0.1814935064934994,308,IH0000,2020,4
600,-0.035504885993472304,307,IH0000,2020,4
615,0.0147540983606453,305,IH0000,2020,4
630,0.13815789473682416,304,IH0000,2020,4
645,-0.02426229508199435,305,IH0000,2020,4
660,-0.016393442622915037,305,IH0000,2020,4
675,0.08580858085805129,303,IH0000,2020,4
780,0.010861423220974123,267,IH0000,2020,4
795,-0.043243243243243856,296,IH0000,2020,4
810,-0.04721311475411357,305,IH0000,2020,4
825,-0.01400651465800623,307,IH0000,2020,4
840,0.11045751633987433,306,IH0000,2020,4
855,0.04252491694352069,301,IH0000,2020,4
870,0.06776315789474252,304,IH0000,2020,4
885,0.06710963455146873,301,IH0000,2020,4
570,-0.051931330472135794,233,IC0000,2020,5
585,-0.2550561797753061,267,IC0000,2020,5
600,-0.3130597014925156,268,IC0000,2020,5
615,-0.09924812030075393,266,IC0000,2020,5
630,-0.03544776119399931,268,IC0000,2020,5
645,-0.009665427509318699,269,IC0000,2020,5
660,0.14962686567164654,268,IC0000,2020,5
675,0.20858208955223065,268,IC0000,2020,5
780,-0.009482758620743754,232,IC0000,2020,5
795,-0.22798507462681614,268,IC0000,2020,5
810,-0.08127340823968947,267,IC0000,2020,5
825,-0.26052631578947094,266,IC0000,2020,5
840,0.05820895522390231,268,IC0000,2020,5
855,-0.16022304832711862,269,IC0000,2020,5
870,-0.2932835820895095,268,IC0000,2020,5
885,-0.05955056179775144,267,IC0000,2020,5
570,0.09482758620689068,232,IF0000,2020,5
585,-0.010037174721217653,269,IF0000,2020,5
600,-0.1283018867924511,265,IF0000,2020,5
615,-0.026691729323326734,266,IF0000,2020,5
630,0.1443609022556326,266,IF0000,2020,5
645,0.011787072243378514,263,IF0000,2020,5
660,0.07519083969464538,262,IF0000,2020,5
675,0.16754716981132625,265,IF0000,2020,5
780,-0.07008928571428896,224,IF0000,2020,5
795,-0.0911877394635883,261,IF0000,2020,5
810,-0.10269230769233148,260,IF0000,2020,5
825,0.11353383458647404,266,IF0000,2020,5
840,0.1191729323308281,266,IF0000,2020,5
855,0.04083969465644967,262,IF0000,2020,5
870,-0.06153846153843005,260,IF0000,2020,5
885,0.00038910505836009654,257,IF0000,2020,5
570,0.1573913043478253,230,IH0000,2020,5
585,0.0661654135338599,266,IH0000,2020,5
600,-0.006896551724152567,261,IH0000,2020,5
615,-0.08294573643411417,258,IH0000,2020,5
630,0.09073359073356967,259,IH0000,2020,5
645,0.016153846153861194,260,IH0000,2020,5
660,0.10725190839691325,262,IH0000,2020,5
675,0.09000000000001435,260,IH0000,2020,5
780,0.0466666666666889,225,IH0000,2020,5
795,-0.07921568627450731,255,IH0000,2020,5
810,-0.029961089494139715,257,IH0000,2020,5
825,0.059842519685040445,254,IH0000,2020,5
840,0.0064393939394018634,264,IH0000,2020,5
855,0.13011583011585398,259,IH0000,2020,5
870,0.013740458015259886,262,IH0000,2020,5
885,0.007171314741027522,251,IH0000,2020,5
570,-0.099999999999993,260,IC0000,2020,6
585,-0.08619528619527211,297,IC0000,2020,6
600,0.08054607508531306,293,IC0000,2020,6
615,0.1430976430976339,297,IC0000,2020,6
630,-0.10136054421769387,294,IC0000,2020,6
645,0.146822742474903,299,IC0000,2020,6
660,0.19794520547942465,292,IC0000,2020,6
675,0.5053691275167309,298,IC0000,2020,6
780,-0.05642023346304564,257,IC0000,2020,6
795,-0.08129251700675508,294,IC0000,2020,6
810,-0.25202702702701596,296,IC0000,2020,6
825,-0.21554054054051966,296,IC0000,2020,6
840,0.12601351351349568,296,IC0000,2020,6
855,0.09057239057241079,297,IC0000,2020,6
870,-0.0664406779660536,295,IC0000,2020,6
885,-0.027027027026990155,296,IC0000,2020,6
570,0.05568627450980321,255,IF0000,2020,6
585,-0.181972789115671,294,IF0000,2020,6
600,0.18156996587029722,293,IF0000,2020,6
615,0.016608996539796163,289,IF0000,2020,6
630,-0.11130136986300591,292,IF0000,2020,6
645,0.027931034482737923,290,IF0000,2020,6
660,0.17830508474576087,295,IF0000,2020,6
675,0.19525423728811062,295,IF0000,2020,6
780,-0.15598455598455985,259,IF0000,2020,6
795,0.004406779661014483,295,IF0000,2020,6
810,-0.15326460481100718,291,IF0000,2020,6
825,-0.09797297297297912,296,IF0000,2020,6
840,0.006228373702421201,289,IF0000,2020,6
855,0.02760942760943312,297,IF0000,2020,6
870,0.009621993127154642,291,IF0000,2020,6
885,0.10448275862068558,290,IF0000,2020,6
570,0.10705882352941783,255,IH0000,2020,6
585,-0.07344827586205391,290,IH0000,2020,6
600,0.07945205479451525,292,IH0000,2020,6
615,-0.05000000000003979,288,IH0000,2020,6
630,-0.0017123287671232876,292,IH0000,2020,6
645,-0.11340206185567635,291,IH0000,2020,6
660,0.06539792387543127,289,IH0000,2020,6
675,0.07711267605634796,284,IH0000,2020,6
780,-0.08440000000001055,250,IH0000,2020,6
795,0.024914675767938887,293,IH0000,2020,6
810,-0.10210526315791994,285,IH0000,2020,6
825,-0.04517241379311411,290,IH0000,2020,6
840,0.08209459459460136,296,IH0000,2020,6
855,0.01586206896551379,290,IH0000,2020,6
870,-0.02604166666669351,288,IH0000,2020,6
885,0.018794326241138623,282,IH0000,2020,6
570,0.3565217391304117,299,IC0000,2020,7
585,-0.1484057971014461,345,IC0000,2020,7
600,0.03633720930230178,344,IC0000,2020,7
615,0.8284057971014287,345,IC0000,2020,7
630,-0.49212827988345936,343,IC0000,2020,7
645,0.45321637426897926,342,IC0000,2020,7
660,-0.19619883040936575,342,IC0000,2020,7
675,0.036151603498578336,343,IC0000,2020,7
780,-0.5334448160535239,299,IC0000,2020,7
795,-0.0026239067055807233,343,IC0000,2020,7
810,-0.821282798833877,343,IC0000,2020,7
825,-0.18416422287392484,341,IC0000,2020,7
840,0.837500000000009,344,IC0000,2020,7
855,0.09735294117646096,340,IC0000,2020,7
870,-0.23002915451898914,343,IC0000,2020,7
885,-0.1123529411765075,340,IC0000,2020,7
570,-0.10436241610738377,298,IF0000,2020,7
585,-0.4320699708454593,343,IF0000,2020,7
600,-0.45275362318843165,345,IF0000,2020,7
615,0.37888563049851187,341,IF0000,2020,7
630,-0.6985380116958868,342,IF0000,2020,7
645,-0.05994152046786019,342,IF0000,2020,7
660,0.14941860465121462,344,IF0000,2020,7
675,-0.260932944606475,343,IF0000,2020,7
780,-0.12474576271190202,295,IF0000,2020,7
795,0.03119533527690376,343,IF0000,2020,7
810,-0.7254385964912478,342,IF0000,2020,7
825,-0.2491176470587909,340,IF0000,2020,7
840,0.03187134502927593,342,IF0000,2020,7
855,-0.04868804664726691,343,IF0000,2020,7
870,0.03128654970763638,342,IF0000,2020,7
885,-0.47999999999994597,340,IF0000,2020,7
570,0.1575757575757582,297,IH0000,2020,7
585,-0.5431952662722012,338,IH0000,2020,7
600,-0.3069767441860476,344,IH0000,2020,7
615,-0.054970760233916,342,IH0000,2020,7
630,-0.6124999999999915,344,IH0000,2020,7
645,0.06988304093566082,342,IH0000,2020,7
660,-0.042521994134921366,341,IH0000,2020,7
675,-0.3182890855457136,339,IH0000,2020,7
780,-0.27617449664431115,298,IH0000,2020,7
795,-0.02189349112426735,338,IH0000,2020,7
810,-0.5348973607038059,341,IH0000,2020,7
825,-0.06686217008799974,341,IH0000,2020,7
840,0.026176470588238236,340,IH0000,2020,7
855,0.021052631578966783,342,IH0000,2020,7
870,0.01364985163201887,337,IH0000,2020,7
885,-5.215015015015041,333,IH0000,2020,7
570,-0.18222222222218787,270,IC0000,2020,8
585,-0.7190476190475815,315,IC0000,2020,8
600,-0.13333333333336947,312,IC0000,2020,8
615,-0.41093247588425375,311,IC0000,2020,8
630,0.5413461538461147,312,IC0000,2020,8
645,-0.02076677316290443,313,IC0000,2020,8
660,-0.30477707006371973,314,IC0000,2020,8
675,0.516666666666637,312,IC0000,2020,8
780,-0.16937269372696614,271,IC0000,2020,8
795,-0.1140127388534777,314,IC0000,2020,8
810,-0.24504792332269185,313,IC0000,2020,8
825,-0.22411575562700614,311,IC0000,2020,8
840,0.08184713375793223,314,IC0000,2020,8
