method,t1,t2,r,x,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss,rhits
norm,5,20,1.5,5,3663664,3069305.6000000467,691120861.0100005,115278.39999998303,348121246.6199998,12387350.000000007,120757856.40000005,1628431
norm,5,20,2.0,5,1111956,973104.3250000165,386494459.2006247,29368.97499999462,108648977.10062523,3457465.9999999995,35445420.80000002,500282
norm,5,20,3.0,5,100598,72667.05000000162,10119657.597500013,2090.149999999643,95166.23750000163,169424.59999999983,1698952.439999996,45527
norm,5,20,ALL,10,22284501,25806318.050000165,3367479637.058749,846759.7749998491,1920366642.3856251,74905201.50000006,602893201.2899995,10013179
norm,5,20,1.5,10,3662548,4346899.325000038,1048644934.6893753,101776.17499997764,591368740.1568744,11762344.699999996,98050581.18999991,1675682
norm,5,20,2.0,10,1111750,1331492.5000000102,492764146.8462502,17241.149999993617,222081972.35625044,3171730.7000000007,26334049.890000027,514591
norm,5,20,3.0,10,100590,97191.30000000093,10204992.009999987,2761.399999999614,164751.8200000015,146501.2999999999,1021195.99,46321
norm,5,20,ALL,20,22266801,37213161.6000001,5093710357.191242,843255.8749998342,2779238201.030634,74759788.0999999,560425288.5249999,10181143
norm,5,20,1.5,20,3660504,5991692.900000016,1019732501.9225011,128462.84999997528,547066658.4424984,11246555.999999996,81906254.94000013,1706114
norm,5,20,2.0,20,1111205,1766346.3250000137,396659807.628125,38261.72499999224,180054762.6681249,2948175.7999999993,20352432.955000002,522970
norm,5,20,3.0,20,100529,133403.7500000012,10359150.087500012,-296.65000000054897,10350401.677500023,131888.09999999995,685330.7349999999,46958
norm,5,20,ALL,40,22231401,53498015.90000012,8329102977.773751,838373.7249998172,4540640716.885609,74489687.85000005,524239684.530001,10274742
norm,5,20,1.5,40,3655281,8458877.825000012,1491470360.550625,153757.1249999715,708030176.9981253,10807810.125000007,69960383.29937498,1722964
norm,5,20,2.0,40,1109837,2483893.300000008,597578657.5912497,37517.39999999127,215832057.41875026,2770837.6500000027,16346157.493749982,527442
norm,5,20,3.0,40,100470,196386.30000000118,42601058.79999998,1282.899999999378,10620279.600000007,122114.3999999998,492554.37875000015,47134
