code,n,k_ticks,k_pts,h,s_sum,s_ss,s_n,hits
IM0000,5,8,1.6,5,-1323.1000000526892,638104731.2500004,2642410,1294136
IM0000,5,8,1.6,10,-77560.50000005608,1038096698.9300008,2641800,1288853
IM0000,5,8,1.6,20,-58486.30000005954,1266172583.2499979,2640778,1289836
IM0000,5,8,1.6,40,-35814.4000000619,1772223401.9200006,2638992,1300827
IM0000,5,8,1.6,80,-87164.00000006224,2970965364.8200064,2635858,1299973
IM0000,5,8,1.6,120,-37968.600000063074,3699579257.980002,2631444,1298574
IM0000,5,12,2.4,5,-98841.80000001864,531124809.4600003,949549,463301
IM0000,5,12,2.4,10,-190171.10000002012,886872464.7899991,949376,458993
IM0000,5,12,2.4,20,-173801.2000000212,1012034654.0599991,949085,461362
IM0000,5,12,2.4,40,-156310.30000002106,1324246626.4499989,948616,468136
IM0000,5,12,2.4,80,-227921.600000022,2196233986.960002,947774,467592
IM0000,5,12,2.4,120,-189298.1000000219,2664043715.7500033,946329,467561
IM0000,5,16,3.2,5,-136518.00000000745,529322137.74000025,393432,192847
IM0000,5,16,3.2,10,-228633.70000000866,859707208.1100011,393370,189817
IM0000,5,16,3.2,20,-195141.50000000786,879672197.9300001,393259,191234
IM0000,5,16,3.2,40,-197845.60000000836,1115764957.7399998,393099,194431
IM0000,5,16,3.2,80,-288368.70000000834,1818763011.2700002,392832,194007
IM0000,5,16,3.2,120,-274694.80000000837,2062378587.8799987,392232,193772
IM0000,5,20,4.0,5,-139972.20000000164,501195444.15999943,176628,87921
IM0000,5,20,4.0,10,-234392.90000000218,795001716.8699999,176598,85663
IM0000,5,20,4.0,20,-207185.20000000202,811944677.3199992,176558,86356
IM0000,5,20,4.0,40,-201576.90000000235,965645139.3699988,176509,88085
IM0000,5,20,4.0,80,-276045.00000000215,1561377233.899997,176406,87379
IM0000,5,20,4.0,120,-268162.3000000019,1638970447.8899992,176136,87233
IM0000,10,0,0.0,5,483521.0999998897,1372488459.9899962,22311051,10386586
IM0000,10,0,0.0,10,632069.399999863,2129317568.9200025,22302201,10538422
IM0000,10,0,0.0,20,610229.6999998447,3056721229.1100016,22284501,10600232
IM0000,10,0,0.0,40,535446.199999826,4851677934.120007,22249101,10620831
IM0000,10,0,0.0,80,389734.799999824,7755339654.400006,22178301,10579082
IM0000,10,0,0.0,120,340605.8999998145,9942338824.310001,22107501,10556773
