method,t1,t2,r,h,n_peak,a_sum,a_ss,g_sum,g_ss,v_sum,v_ss
norm,10,60,2.0,20,1118363,1965130.6000000094,652019188.3800008,-6951.50000000633,174710645.77000004,4029087.599999997,34762837.37499999
norm,10,60,3.0,20,118628,259110.90000000168,257532799.83000013,-37297.30000000059,115670229.78999996,394245.9999999999,3521911.620000005
norm,10,60,ALL,60,22125201,65596844.999999985,10989606491.519989,471465.39999982057,6421904619.060004,73614028.14999995,491472419.92916644
norm,10,60,1.5,60,3334662,9820074.100000026,2355302839.3099976,-7431.1000000243785,1069785366.330001,11076215.949999996,76156809.69694442
norm,10,60,2.0,60,1116516,3276615.1000000047,1176262491.4300041,-44489.800000008225,487341988.1200003,3494282.5000000005,23653691.013888877
norm,10,60,3.0,60,118495,413773.90000000113,388398088.5299999,-73725.80000000057,222287640.62000006,325906.78333333344,2160291.194166666
norm,10,90,ALL,10,22160601,25572613.400000155,3430350681.279995,606750.6999998644,2127935978.8100023,73718534.39999999,575326341.4800011
norm,10,90,1.5,10,3535018,4496501.200000034,1173363851.6599972,23879.59999998358,552765382.4800016,14446920.10000001,141513221.59000018
norm,10,90,2.0,10,1377366,1788016.30000002,614553527.110001,-14308.600000006829,202995385.86000007,5787805.400000002,60173496.53999994
norm,10,90,3.0,10,226101,368240.20000000217,351582013.99999964,-43151.300000000694,155909781.03000036,991490.7000000003,11284861.250000002
norm,10,90,ALL,20,22142901,36861672.50000013,5130864393.129999,581453.1999998449,3053893944.019997,73616045.35000005,535395309.37749964
norm,10,90,1.5,20,3532777,6219900.40000001,1446829685.8800032,23837.399999979752,560935460.0200007,13621361.249999976,117912638.18749993
norm,10,90,2.0,20,1376734,2453650.9000000074,781859081.3899992,-6375.900000007214,179194093.84999958,5343193.099999999,47993989.56000003
norm,10,90,3.0,20,226020,480014.1000000017,411618551.42999965,-39427.60000000091,141143831.36000016,888607.7999999998,8449618.045000007
norm,10,90,ALL,60,22072101,65326906.70000001,10986758394.590008,455742.09999982006,6419086802.569993,73179741.50000009,483529901.45888966
norm,10,90,1.5,60,3523829,10445978.50000001,2599247875.3699913,-39960.20000002677,1200728216.5999992,12170735.266666645,86099454.88722219
norm,10,90,2.0,60,1374218,4081088.9000000064,1401315558.9100018,-40059.50000001026,533618082.0700005,4612625.61666667,32669090.024166636
norm,10,90,3.0,60,225740,779398.0000000021,649429382.1799997,-79955.70000000116,322441745.05000037,731799.649999999,5224802.496944437
norm,10,120,ALL,10,22107501,25472707.30000018,3429972693.449996,599414.9999998648,2127562731.840003,73304342.70000018,567512830.2099994
norm,10,120,1.5,10,3565534,4522975.400000051,1211010236.2799993,-4718.700000016719,576339004.2699996,14866126.90000001,147048368.67000005
norm,10,120,2.0,10,1460310,1936519.3000000159,778220685.4700005,-19111.30000000658,259836410.0100002,6366004.7999999905,67321429.95999996
norm,10,120,3.0,10,284599,459135.4000000029,422478950.0400005,-41688.20000000069,173472874.21999988,1319648.6999999976,15394821.209999992
norm,10,120,ALL,20,22089801,36706196.20000008,5129954069.659995,574005.1999998451,3052995207.380002,73176619.89999998,526868960.6000004
norm,10,120,1.5,20,3563017,6299734.900000028,1616590710.4500012,-19404.500000019747,639918988.6900011,14008267.5,122688031.99500014
norm,10,120,2.0,20,1459506,2657061.500000009,991782049.4899998,-22373.00000000751,272737906.5999992,5878785.250000006,53918148.54750008
norm,10,120,3.0,20,284472,611625.4000000041,521241223.9599999,-34383.20000000106,148800863.61999995,1185193.0999999982,11623402.084999995
norm,10,120,ALL,60,22019001,65056956.50000015,10983839793.969986,446583.39999982115,6416201482.960005,72732992.61666675,475162885.91083384
norm,10,120,1.5,60,3552117,10627176.500000041,2830448256.7700033,-55348.40000002652,1308801309.0799994,12539187.899999978,90295867.14277796
norm,10,120,2.0,60,1456140,4436372.000000005,1714656467.4600005,-29894.10000001068,664731091.1900007,5088298.016666664,37123649.24638893
norm,10,120,3.0,60,284025,1029232.9000000024,917934741.4900008,-55812.3000000018,428858732.4500001,980379.3666666667,7313691.286111112
norm,10,180,ALL,10,22001301,25268596.30000017,3429157666.110007,577606.6999998654,2126756550.8899987,72459929.20000002,551250862.1999998
norm,10,180,1.5,10,3632522,4654273.200000042,1275655446.9400024,-20580.40000001739,689861312.16,15687603.999999994,157979537.2999999
norm,10,180,2.0,10,1594160,2133924.1000000197,836839780.8099991,-21652.100000006925,294762594.8500002,7312663.399999996,79472287.94000007
norm,10,180,3.0,10,366151,597029.1000000024,519406034.7500011,-18844.90000000086,140954960.82999995,1833874.3000000005,22154234.929999966
norm,10,180,ALL,20,21983601,36416543.50000016,5128318420.630009,548233.3999998462,3051380258.659994,72367117.04999997,512387500.78750044
norm,10,180,1.5,20,3629247,6517819.600000013,1796038795.5200016,-49371.500000019936,769728606.0499994,14791842.050000003,132513099.99750003
norm,10,180,2.0,20,1593043,2969741.6000000103,1169077115.4200025,-37223.70000000816,349862530.0499998,6763079.8500000015,64089513.22249998
norm,10,180,3.0,20,365972,815197.9000000039,694483514.1499989,-34610.60000000121,175023590.85999975,1651339.299999999,16879722.26000001
norm,10,180,ALL,60,21912801,64579610.20000005,10979345642.820002,432211.1999998215,6411763581.419995,72021171.1166667,464484824.0147219
norm,10,180,1.5,60,3616614,10933335.800000012,3034972185.779992,4953.899999973611,1416314670.7300012,13202590.766666668,97696863.68222213
norm,10,180,2.0,60,1588739,4941889.199999997,1997995370.3399987,-16830.20000001172,801936549.600001,5844384.616666674,44330850.2541667
norm,10,180,3.0,60,365272,1315480.800000003,1079203130.1000004,-58451.700000002165,470205211.6900003,1364929.8833333335,10685003.261944437
norm,20,120,ALL,10,22107501,25472707.30000018,3429972693.449996,310808.99999988946,2198358529.1400027,73304342.70000018,567512830.2099994
norm,20,120,1.5,10,2837905,3576536.300000022,976908179.1500002,-37664.60000001169,356303397.1600009,11948562.700000003,118168844.11000009
norm,20,120,2.0,10,782801,1123255.0000000105,676082868.8799994,-66034.60000000187,217312263.8599999,3604989.1999999965,39024812.64
norm,20,120,3.0,10,50695,175529.50000000055,357839813.5099995,-43569.000000000065,133708324.40000004,254263.5000000005,3221188.1899999967
norm,20,120,ALL,20,22089801,36706196.20000008,5129954069.659995,232119.6999998649,3199786737.43,73176619.89999998,526868960.6000004
norm,20,120,1.5,20,2835848,5022152.800000027,1434117215.8199995,-75658.30000001358,482956223.2900003,11302688.000000004,99441745.49000008
norm,20,120,2.0,20,782484,1570798.6000000078,973366529.1799996,-78962.10000000315,256815448.29000026,3337766.050000003,31439840.46250005
norm,20,120,3.0,20,50677,226264.50000000032,439802084.5500006,-58564.50000000035,171937389.93000013,227652.5500000004,2401969.3925000005
norm,20,120,ALL,60,22019001,65056956.50000015,10983839793.969986,-24957.400000158323,6621145624.03998,72732992.61666675,475162885.91083384
norm,20,120,1.5,60,2828756,8398387.800000006,2306443336.7800026,-83779.50000001668,971703519.4100008,10121689.76666666,73488302.8338888
norm,20,120,2.0,60,781160,2603759.600000001,1632079546.1400018,-100039.200000004,748791637.0999993,2880057.4166666623,21710949.473055553
norm,20,120,3.0,60,50628,360064.7000000006,676539766.0899997,-108380.10000000021,413569189.5499995,185180.21666666688,1474834.260833333
norm,30,120,ALL,10,22107501,25472707.30000018,3429972693.449996,35911.19999990365,2338248776.399998,73304342.70000018,567512830.2099994
norm,30,120,1.5,10,2187984,2825916.4000000213,1036543448.0599985,-94730.50000000701,381701501.4500006,9235667.300000008,91328554.30999999
norm,30,120,2.0,10,348017,608993.8000000038,626379218.3600006,-76027.9000000011,225961596.32999992,1670449.499999996,18336580.549999986
norm,30,120,3.0,10,2395,55031.899999999936,161980594.68999997,-34710.90000000002,108626555.42999998,12359.5,185714.88999999998
norm,30,120,ALL,20,22089801,36706196.20000008,5129954069.659995,124945.29999988059,3328765259.010001,73176619.89999998,526868960.6000004
norm,30,120,1.5,20,2186854,3912025.400000015,1332503390.7000003,-59701.30000001024,453630720.06999975,8759455.7,77152033.13499992
norm,30,120,2.0,20,347924,854264.7000000043,886650248.3300008,-87800.30000000185,311973318.8900001,1551833.349999996,14930068.822499994
norm,30,120,3.0,20,2395,52670.30000000001,151876060.71000004,-28419.59999999998,88525460.94000003,10987.199999999999,139396.52500000002
norm,30,120,ALL,60,22019001,65056956.50000015,10983839793.969986,-156132.10000014343,6939792818.450004,72732992.61666675,475162885.91083384
norm,30,120,1.5,60,2181919,6590848.000000023,2295908639.8400016,-57417.00000001077,1037253041.2799995,7862018.216666666,57160135.19138886
norm,30,120,2.0,60,347495,1418380.3000000045,1474997152.9300008,-92391.80000000139,797270994.3399988,1337767.1333333335,10362812.14444444
norm,30,120,3.0,60,2395,54621.40000000003,151337995.88000003,-38685.30000000001,118557144.37000003,8738.849999999993,80617.54472222223
norm,40,120,ALL,10,22107501,25472707.30000018,3429972693.449996,7475.99999991219,2212425986.320001,73304342.70000018,567512830.2099994
norm,40,120,1.5,10,1511110,2023785.4000000176,968519849.6600015,-70442.10000000411,396160389.5499998,6468915.7,64582401.37
norm,40,120,2.0,10,94836,278077.00000000105,514076927.5399995,-62662.800000000345,194070393.6000003,472308.6000000001,5467389.739999996
norm,40,120,3.0,10,3,1.5,0.75,-0.5,0.75,0.6000000000000001,0.12000000000000002
norm,40,120,ALL,20,22089801,36706196.20000008,5129954069.659995,22368.699999892764,3288639406.170002,73176619.89999998,526868960.6000004
norm,40,120,1.5,20,1510478,2838243.0000000177,1376699958.7399976,-70830.10000000625,588459458.59,6143690.649999993,54700699.5625
norm,40,120,2.0,20,94818,344173.9000000008,580811438.3499999,-76338.10000000018,234092728.93000033,437335.35,4427239.497499996
norm,40,120,3.0,20,3,1.5999999999985448,0.9599999999982537,1.5999999999985448,0.9599999999982537,0.85,0.2475
norm,40,120,ALL,60,22019001,65056956.50000015,10983839793.969986,-405478.3000001344,7026676301.830006,72732992.61666675,475162885.91083384
norm,40,120,1.5,60,1507496,4765880.200000012,2299095025.3200006,-57014.40000000655,1135853444.2999947,5513176.750000007,40437117.797500014
norm,40,120,2.0,60,94702,586833.1000000002,976328646.0699998,-116453.20000000056,618338858.6799998,373635.4,3009360.158333329
norm,40,120,3.0,60,3,5.300000000000182,9.470000000000692,5.300000000000182,9.470000000000692,0.7,0.16333333333333333
norm,60,120,ALL,10,22107501,25472707.30000018,3429972693.449996,-213835.40000007369,2437831910.300007,73304342.70000018,567512830.2099994
norm,60,120,1.5,10,346765,644794.4000000025,784243195.0999976,-88141.20000000055,450351978.64000094,1533768.0000000019,16250073.800000032
norm,60,120,ALL,20,22089801,36706196.20000008,5129954069.659995,-223705.80000009065,3542338156.039998,73176619.89999998,526868960.6000004
norm,60,120,1.5,20,346647,841270.500000002,898713555.3299992,-88239.30000000079,592499003.3300003,1450240.4999999995,13649216.560000017
norm,60,120,ALL,60,22019001,65056956.50000015,10983839793.969986,-938920.5000001133,7659155367.249994,72732992.61666675,475162885.91083384
norm,60,120,1.5,60,345888,1378029.0999999968,1349135854.9100027,-93632.90000000082,853420693.4699998,1295467.2833333344,9987735.299166663
total,5,120,ALL,10,22107501,25472707.30000018,3429972693.449996,792769.1999998501,1954893625.1000004,73304342.70000018,567512830.2099994
total,5,120,0.3,10,14557,66443.20000000032,153792038.49999994,-9708.700000000033,28413667.37000003,64653.70000000002,963502.6500000003
total,5,120,0.5,10,473,6873.399999999989,20082695.87999999,-77.7000000000071,1363.7699999999297,1646.8000000000004,28981.960000000003
total,5,120,0.7,10,16,25.400000000002365,125.07999999999984,-15.99999999999909,125.07999999999984,46.300000000000004,854.0300000000001
total,5,120,ALL,20,22089801,36706196.20000008,5129954069.659995,783597.5999998343,2802873230.660004,73176619.89999998,526868960.6000004
total,5,120,0.3,20,14547,71215.40000000026,148515222.70000002,-12438.700000000112,38458324.05000009,53589.649999999965,591285.8574999995
total,5,120,0.5,20,471,3790.500000000007,10047559.650000006,-3252.0000000000086,10047542.500000006,1300.45,16074.412499999997
total,5,120,0.7,20,16,30.299999999998363,167.40999999997752,-26.899999999998727,167.40999999997752,43.800000000000004,746.705
total,5,120,ALL,60,22019001,65056956.50000015,10983839793.969986,837810.7999998156,6105727794.840007,72732992.61666675,475162885.91083384
total,5,120,0.3,60,14517,111235.90000000033,226944125.57000023,-31565.500000000102,92742405.3699999,40610.73333333335,293818.3161111113
total,5,120,0.5,60,471,4131.900000000002,10050996.810000008,-3360.6999999999985,10050944.850000009,931.416666666667,7188.018055555556
total,5,120,0.7,60,16,54.400000000001455,637.4600000000006,-46.399999999999636,637.4600000000006,32.46666666666667,407.81611111111107
total,10,20,ALL,10,22284501,25832623.700000156,3431472836.9700027,629027.6999998651,2129048350.9700005,74905201.50000006,602893201.2899995
total,10,20,0.3,10,19810848,23400014.0000002,3197614920.4399996,596704.0999998836,2005931787.11,70269288.89999996,582135742.65
total,10,20,0.5,10,10516273,12675612.000000091,2192191017.439998,282223.8999999421,1329243523.5500016,38119840.89999995,328050398.6100001
total,10,20,0.7,10,2451475,2798368.0000000205,728753599.4600011,1204.4999999862303,441849342.77000016,6824241.900000002,53387778.310000055
total,10,20,ALL,20,22266801,37228722.1000001,5133176077.489992,606651.399999844,3056184082.8200088,74759788.0999999,560425288.5249999
total,10,20,0.3,20,19794527,33645479.90000004,4617814516.41,566533.4999998634,2734869086.2699986,69966834.44999991,539723080.9025
total,10,20,0.5,20,10507890,18059355.80000008,2924832293.6999946,267629.19999993325,1612369876.9199991,37463282.14999996,295361345.85750026
total,10,20,0.7,20,2450204,3842433.700000025,691152818.4299998,28323.59999998455,404694512.7400008,6531471.150000007,44227925.26750006
total,10,20,ALL,60,22196001,65951246.30000001,10993631873.529985,484256.7999998199,6425896448.379994,74243674.78333326,504215958.0486109
total,10,20,0.3,60,19728423,59543143.20000003,9924912993.899982,412223.39999984304,5797049283.919996,69205090.85000001,483181226.91527694
total,10,20,0.5,60,10472843,31626603.300000075,5829397618.65002,126786.29999991725,3360756140.989999,36302712.633333296,252607241.9105555
total,10,20,0.7,60,2444854,6625333.500000001,1307438346.469998,-33261.60000001893,709101602.1399992,6101207.116666659,33714216.195833296
total,10,30,ALL,10,22266801,25787903.800000165,3431253257.0199957,625089.9999998637,2128830388.0199983,74690278.60000005,596791291.9600009
total,10,30,0.3,10,12449485,15061227.200000092,2397683131.7399974,309164.99999993114,1481002161.8999994,46008759.899999954,400597096.77000004
total,10,30,0.5,10,2461498,2987336.900000025,860052609.2500006,-6222.500000012697,521203554.66999924,8284312.799999994,72933241.75999995
total,10,30,0.7,10,287614,344288.7000000027,173035680.37000012,-16263.900000001491,84728627.03000008,703267.2999999989,6146746.35
total,10,30,ALL,20,22249101,37163184.200000055,5132681962.779997,602807.1999998443,3055694486.4800034,74553696.89999998,554908148.9849997
total,10,30,0.3,20,12438173,21528166.30000005,3362112952.7500024,266640.9999999184,1834705265.26,45256579.24999995,362312253.7075007
total,10,30,0.5,20,2460156,4109101.100000019,941509127.4100018,17671.29999998574,466552224.0899993,7855229.900000002,60209739.14500005
total,10,30,0.7,20,287487,456663.50000000227,175119371.77,-15770.600000002103,85182638.82000002,643190.8999999999,4584504.795
total,10,30,ALL,60,22178301,65854834.20000011,10992395663.880009,482533.4999998206,6424670601.309998,74068281.41666669,500281541.6197223
total,10,30,0.3,60,12394374,37689484.50000007,6823827289.930007,117647.89999990242,3879236182.03,43835604.73333331,311062411.5899999
total,10,30,0.5,60,2454871,6949268.200000009,1564251435.6799974,-64094.000000019005,818132517.8399999,7182725.483333329,44846078.94027779
total,10,30,0.7,60,287150,756779.0000000021,266800800.90000015,-14771.300000001891,95142420.65,562123.7499999999,2995850.7474999996
total,10,40,ALL,10,22249101,25745059.40000014,3431045481.2199974,619123.7999998652,2128624342.640001,74493019.10000014,591608442.2099998
total,10,40,0.3,10,6328412,7780905.100000043,1632373047.7099962,124298.09999996767,891652724.0299996,23343198.499999966,208888677.1700001
total,10,40,0.5,10,733148,932186.7000000098,411180383.1300002,-22529.80000000337,181102032.52000022,2512598.6999999983,23972135.810000017
total,10,40,0.7,10,59214,90714.70000000075,100164475.98999995,-11683.800000000372,38513297.51999991,143658.59999999986,1422070.34
total,10,40,ALL,20,22231401,37105674.70000012,5132273256.850003,597205.2999998442,3055289775.690002,74366119.20000009,550282468.4950007
total,10,40,0.3,20,6323534,10944743.900000025,2082555707.0700002,135028.29999996224,931802196.790002,22521033.949999973,180851954.85749984
total,10,40,0.5,20,732795,1242814.2000000079,428825626.00000024,-14722.800000004276,159027350.9000002,2314547.749999996,18682899.36749998
total,10,40,0.7,20,59194,110220.80000000095,91901419.38000016,-14988.100000000453,48652895.289999895,128739.70000000004,1026604.5300000012
total,10,40,ALL,60,22160601,65765011.200000085,10991329756.460007,479696.19999982027,6423614097.619996,73906324.05000007,496928980.8013885
total,10,40,0.3,60,6304954,18739258.300000004,3703606759.9300027,61996.599999953236,1839638579.1000018,21087646.23333332,143852599.39666685
total,10,40,0.5,60,731816,2037345.6000000045,630398809.6000001,-55857.40000000523,286850475.9199999,2018071.349999997,12639188.726388894
total,10,40,0.7,60,59143,180309.10000000033,141877989.8700003,-11084.70000000039,40660459.07000004,108327.25000000012,611551.2380555555
total,10,60,ALL,10,22213701,25671096.50000019,3430729697.5299983,614618.3999998649,2128311041.4999971,74150538.20000008,583653875.8799995
total,10,60,0.3,10,1763384,2248069.1000000155,737207963.0300003,1204.899999990912,256005828.38999987,6806173.400000005,66783359.799999945
total,10,60,0.5,10,116967,219962.20000000135,287615823.0600002,-47398.60000000049,147305830.45999983,438441.20000000007,4796988.6400000015
total,10,60,0.7,10,5748,17656.200000000055,36718220.20000002,-9459.800000000072,28397213.41999998,15590.200000000013,202086.37999999992
total,10,60,ALL,20,22196001,37001403.80000006,5131626512.100008,590949.0999998443,3054648375.5499945,74034981.34999995,543040697.9425011
total,10,60,0.3,20,1762511,3083708.6000000113,886649433.3199983,8764.499999990188,234727522.67000002,6344656.300000014,53981194.69499994
total,10,60,0.5,20,116924,256816.8000000015,257527336.50000015,-37225.20000000058,115664836.51999992,391593.49999999953,3509743.615000004
total,10,60,0.7,20,5742,16744.000000000142,28405462.79999999,-9437.800000000061,28405324.31999999,13505.049999999996,138764.54750000002
total,10,60,ALL,60,22125201,65596844.999999985,10989606491.519989,471465.39999982057,6421904619.060004,73614028.14999995,491472419.92916644
total,10,60,0.3,60,1759191,5157463.2000000095,1583206528.3200035,-39231.30000001348,615822685.5899984,5586752.816666661,37871591.54805556
total,10,60,0.5,60,116791,410010.4000000013,388383544.1999997,-73409.80000000035,222273297.4,323536.76666666684,2151858.1072222213
total,10,60,0.7,60,5740,24167.09999999998,36750577.47000005,-6769.1000000000295,20115183.090000007,10703.983333333332,74585.70583333336
total,10,90,ALL,10,22160601,25572613.400000155,3430350681.279995,606750.6999998644,2127935978.8100023,73718534.39999999,575326341.4800011
total,10,90,0.3,10,388246,570171.3000000058,405277490.22999924,-44165.0000000015,166342495.41999987,1677161.9000000018,18612503.39000003
total,10,90,0.5,10,15945,74305.2000000001,173466843.94000039,-24964.200000000055,76827442.57999982,68728.39999999997,903402.6999999994
total,10,90,0.7,10,544,557.6000000000104,1370.299999999957,-116.800000000002,1366.6199999999558,1651.5,22828.61
total,10,90,ALL,20,22142901,36861672.50000013,5130864393.129999,581453.1999998449,3053893944.019997,73616045.35000005,535395309.37749964
total,10,90,0.3,20,388107,756695.5000000031,480894394.4500008,-38100.70000000184,141885661.58999956,1514588.3999999994,14154513.08
total,10,90,0.5,20,15935,74532.1000000002,155039998.60999995,-27941.700000000164,86874384.21000016,60149.10000000004,642573.1200000001
total,10,90,0.7,20,544,723.6999999999935,2008.129999999912,-99.19999999999527,2006.6199999999108,1417.2,15409.554999999997
total,10,90,ALL,60,22072101,65326906.70000001,10986758394.590008,455742.09999982006,6419086802.569993,73179741.50000009,483529901.45888966
total,10,90,0.3,60,387621,1257429.0000000028,834652312.3200004,-61653.8000000027,407914645.82000023,1262366.7166666684,8963365.878611112
total,10,90,0.5,60,15926,126454.0000000001,263036337.17999998,-46480.000000000124,137235981.82000005,46939.6333333333,347952.1616666671
total,10,90,0.7,60,544,1112.0000000000036,6885.339999999894,-249.19999999999163,6879.759999999896,1011.3833333333333,7262.209722222222
total,10,120,ALL,10,22107501,25472707.30000018,3429972693.449996,599414.9999998648,2127562731.840003,73304342.70000018,567512830.2099994
total,10,120,0.3,10,115609,220998.1000000012,282768369.7499993,-30325.100000000282,97120640.51000014,539694.5999999999,6513139.760000003
total,10,120,0.5,10,3568,57914.90000000001,163436385.35000008,-24933.30000000004,76799768.73000008,16984.000000000007,284395.89999999997
total,10,120,0.7,10,78,106.70000000000528,447.3699999999867,-62.50000000000273,446.3699999999867,339.00000000000006,6376.959999999999
total,10,120,ALL,20,22089801,36706196.20000008,5129954069.659995,574005.1999998451,3052995207.380002,73176619.89999998,526868960.6000004
total,10,120,0.3,20,115544,291031.2000000012,352653744.2600007,-39874.60000000042,122288597.27999984,479329.1999999998,4790211.329999997
total,10,120,0.5,20,3561,53216.30000000004,145001263.4299999,-27963.400000000038,86823953.22000007,14673.700000000006,197187.21000000002
total,10,120,0.7,20,78,102.50000000000091,364.28999999998973,-47.30000000000109,364.1299999999893,296.7,4593.51
total,10,120,ALL,60,22019001,65056956.50000015,10983839793.969986,446583.39999982115,6416201482.960005,72732992.61666675,475162885.91083384
