n,k_ticks,k_pts,x,s_sum,s_ss,s_n,hits
13,0,0.0,2,182155.42499992502,564945453.166876,22311051,9956387
13,0,0.0,5,407782.52499989327,1316766717.4531243,22305741,10438747
13,0,0.0,10,523860.77499987104,2151561438.2581296,22296891,10594996
13,0,0.0,20,529736.5249998469,3086768208.4106226,22279191,10653917
13,0,0.0,40,451102.77499982866,4951368634.603117,22243791,10667338
13,0,0.0,80,164788.74999982456,7891747839.038742,22172991,10625179
13,0,0.0,120,79950.39999981712,10138794743.163748,22102191,10601918
13,1,0.2,2,164209.17499978462,488534561.3793749,19167477,8881941
13,1,0.2,5,366863.9749997484,1190175622.350626,19163190,9284868
13,1,0.2,10,478657.9499997242,1951943091.28,19156108,9407124
13,1,0.2,20,477811.2999997026,2730682798.117497,19142140,9446549
13,1,0.2,40,399050.2749996839,4262314411.3131304,19114622,9453259
13,1,0.2,80,165789.34999968176,6718513097.860004,19059335,9412343
13,1,0.2,120,106309.89999967531,8885393036.30251,19003716,9392536
13,2,0.4,2,154196.19999982446,471106693.9362506,16499776,7713772
13,2,0.4,5,335203.4749997896,1106690048.4106233,16496281,8032472
13,2,0.4,10,427664.0749997647,1744138644.031875,16490672,8117610
13,2,0.4,20,416160.2749997428,2441547244.7418704,16479660,8136735
13,2,0.4,40,320529.34999972675,3836890046.990003,16458526,8138196
13,2,0.4,80,136048.89999972307,5963624894.862508,16415705,8100981
13,2,0.4,120,94760.99999971638,7893478397.802502,16372486,8084397
13,4,0.8,2,135344.04999984647,425615592.09375006,12270679,5824262
13,4,0.8,5,237723.39999982127,989172602.2474995,12268414,6021454
13,4,0.8,10,262839.6749998002,1526340906.7668753,12264915,6053517
13,4,0.8,20,255066.22499978537,2137553386.7243717,12258088,6047815
13,4,0.8,40,177366.2749997746,3312374943.304372,12245362,6049396
13,4,0.8,80,39036.64999976859,5164155923.314998,12219054,6021113
13,4,0.8,120,-27078.95000023589,6743042492.084986,12191787,6008752
13,8,1.6,2,44303.049999926734,415838864.38,6257202,3037823
13,8,1.6,5,21811.674999913062,921497448.8293761,6256369,3093757
13,8,1.6,10,-57553.600000098515,1371642145.9312487,6255060,3079731
13,8,1.6,20,-76957.77500010515,1812057729.6181262,6252689,3065588
13,8,1.6,40,-96281.50000011253,2688510774.952504,6248046,3074471
13,8,1.6,80,-184551.10000011325,4203463900.7187448,6238378,3065645
13,8,1.6,120,-170334.15000011667,5460220616.562483,6226996,3057749
13,16,3.2,2,-51085.17500002084,379383342.86312586,1637438,820696
13,16,3.2,5,-171961.95000002393,847075936.0137513,1637294,816346
13,16,3.2,10,-281315.7000000244,1197082972.1837478,1637064,801061
13,16,3.2,20,-303039.65000002686,1442223873.9962494,1636677,797653
13,16,3.2,40,-272741.3500000287,2010810071.4012508,1635970,804937
13,16,3.2,80,-336538.9500000281,3142993100.396248,1634394,802092
13,16,3.2,120,-309707.92500002997,3908989869.3793755,1631770,800393
13,30,6.0,2,-86572.12500000092,341242624.59437484,244400,128214
13,30,6.0,5,-215298.75000000148,765912533.6500015,244380,126600
13,30,6.0,10,-310426.85000000166,1082503312.20625,244362,123248
13,30,6.0,20,-302162.6250000018,1176378523.0431216,244318,122574
13,30,6.0,40,-315661.8250000016,1472087340.6743708,244257,123780
13,30,6.0,80,-459460.47500000277,2409226811.1643744,244150,121480
13,30,6.0,120,-437232.6500000018,2703402045.1062603,243769,121236
13,45,9.0,2,-92384.75000000038,311237328.2600005,53782,29625
13,45,9.0,5,-212114.57500000033,690232470.0318753,53777,29452
13,45,9.0,10,-283409.3499999998,929918646.3700012,53773,28182
13,45,9.0,20,-268222.82499999955,933021485.2018746,53764,27694
13,45,9.0,40,-332048.7000000008,1206854973.1349986,53749,28012
13,45,9.0,80,-477987.7750000002,2008861802.551877,53732,27345
13,45,9.0,120,-438758.4000000001,2089297588.3737476,53650,26988
13,90,18.0,2,-91808.90000000011,277727834.45625013,3022,1655
13,90,18.0,5,-200741.95000000004,611182287.6312504,3022,1668
13,90,18.0,10,-265598.8,816753550.9062501,3022,1506
13,90,18.0,20,-256376.25000000006,790276129.2537496,3022,1554
13,90,18.0,40,-326870.9999999999,995916186.79375,3020,1489
13,90,18.0,80,-437507.10000000015,1344836719.1987507,3018,1428
13,90,18.0,120,-436885.2249999999,1325320908.2981248,3018,1328
20,0,0.0,2,111150.77499993592,564425856.9418751,22298661,10022608
20,0,0.0,5,278285.62499990966,1287817793.745625,22293351,10524808
20,0,0.0,10,350051.2749998886,2170875007.8181243,22284501,10672234
20,0,0.0,20,267571.32499986415,3195535795.848127,22266801,10722764
20,0,0.0,40,277302.5999998496,5080010419.491262,22231401,10723730
20,0,0.0,80,-178199.50000016065,7996448083.896249,22160601,10673329
20,0,0.0,120,-259551.87500016668,10360336438.268114,22089801,10647418
20,1,0.2,2,104797.72499982746,498201990.6131241,19814618,9167754
20,1,0.2,5,277765.4499997957,1111686987.252498,19810139,9607025
20,1,0.2,10,362131.72499977367,1894163683.6343791,19802716,9728668
20,1,0.2,20,290044.6249997485,2792966393.314381,19788183,9765130
20,1,0.2,40,275325.0999997324,4428166532.419994,19759214,9759055
20,1,0.2,80,-115117.7750002731,6978317611.938115,19700918,9710070
20,1,0.2,120,-205297.75000027896,9275646917.175001,19642502,9686420
20,2,0.4,2,110828.4999998541,450790218.5525003,17639281,8215623
20,2,0.4,5,261122.44999982291,1036171923.9625,17635522,8586538
20,2,0.4,10,328736.7749997992,1755507951.636876,17629402,8678386
20,2,0.4,20,256194.02499977642,2618268877.434379,17617536,8698857
20,2,0.4,40,242576.89999976027,4131044657.9150014,17593869,8689749
20,2,0.4,80,-104906.72500024765,6459007457.265613,17545982,8643157
20,2,0.4,120,-153703.40000024973,8560173931.622495,17498072,8623242
20,4,0.8,2,87463.89999986297,426928460.55750006,14009402,6600314
20,4,0.8,5,199349.97499983845,973373766.7818762,14006819,6863728
20,4,0.8,10,217760.2249998187,1639248855.5056226,14002599,6908191
20,4,0.8,20,134474.37499979982,2389513645.4618697,13994440,6907703
20,4,0.8,40,120334.39999978531,3731057138.4700003,13978546,6898746
20,4,0.8,80,-167636.47500022218,5651007614.098116,13945737,6859813
20,4,0.8,120,-235122.27500022246,7559823480.943127,13912817,6844951
20,8,1.6,2,31747.799999921583,414768706.3475003,8234684,3956272
20,8,1.6,5,32194.224999905688,916065309.5056239,8233602,4066772
20,8,1.6,10,-38288.17500010688,1498357708.7243755,8231787,4059522
20,8,1.6,20,-113562.60000011732,2086253044.4412506,8228172,4042555
20,8,1.6,40,-91100.40000012566,3072779821.218751,8221320,4043820
20,8,1.6,80,-269568.6750001298,4705558863.419366,8206660,4024659
